Paper Title,Total Authors,Female Authors,lead?,Local_Collaboration?,national_collaboration?,International_collaboration?,Study Domain Terms,Author Name,Gender,Affiliation,Country,Conceptualization,Data Curation,Formal Analysis,Funding Acquisition,Investigation,Methodology,Project Administration,Resources,Software,Supervision,Validation,Visualization,Writing – Original Draft,Writing – Review & Editing,Total Authors,Female Authors
,,,,,,,,Antonio Guerriero,Male,"Università degli Studi di Napoli Federico II, Via Claudio 21, 80125, Napoli, Italy",Italy,1,0,1,0,1,1,0,0,0,0,1,1,1,0,,
,,,,,,,,Roberto Pietrantuono,Male,"Università degli Studi di Napoli Federico II, Via Claudio 21, 80125, Napoli, Italy",Italy,0,0,1,1,0,1,1,0,0,1,0,1,0,1,,
,,,,,,,,Stefano Russo,Male,"Università degli Studi di Napoli Federico II, Via Claudio 21, 80125, Napoli, Italy",Italy,0,0,0,1,0,1,0,1,0,1,0,1,0,1,,
Automated program repair for variability bugs in software product line systems,5,1,1,0,0,1,"SPL, Bug fixing, Fault localization, Heuristic rules, Source code repair",Thu-Trang Nguyen,Female,"Faculty of Information Technology, VNU University of Engineering and Technology",Viet Nam,1,0,1,0,0,1,0,0,1,0,1,0,1,1,5,1
,,,,,,,,Xiao-Yi Zhang,Male,University of Science and Technology Beijing,China,1,0,0,0,0,1,0,0,0,0,1,0,1,1,,
,,,,,,,,Paolo Arcaini,Male,National Institute of Informatics,Japan,1,0,1,0,0,1,1,0,0,0,1,0,1,1,,
,,,,,,,,Fuyuki Ishikawa,Male,National Institute of Informatics,Japan,1,0,1,0,0,1,1,0,0,0,1,0,0,1,,
,,,,,,,,Hieu Dinh Vo,Male,"Faculty of Information Technology, VNU University of Engineering and Technology",Viet Nam,1,0,0,0,0,1,0,0,0,1,0,0,0,1,,
Automatic testing of runtime enforcers with Test4Enforcers,3,1,0,1,1,0,"Health, productivity, entertainment, business, software enforcers",Oliviero Riganelli,Male,"University of Milano - Bicocca, Milan, Italy",Italy,1,0,0,0,0,0,0,0,0,0,1,0,1,1,3,1
,,,,,,,,Daniela Micucci,Female,"University of Milano - Bicocca, Milan, Italy",Italy,1,0,0,0,0,0,0,0,0,0,0,0,1,1,,
,,,,,,,,Leonardo Mariani,Male,"University of Milano - Bicocca, Milan, Italy",Italy,1,0,0,0,0,0,0,0,0,0,0,0,1,1,,
Automating the correctness assessment of AI-generated code for security contexts,5,1,0,1,1,0,"AI, Code Generation, Security, Symbolic Execution, Assembly Code",Domenico Cotroneo,Male,"University of Naples Federico II, Naples, Italy",Italy,1,0,0,1,0,0,1,1,0,1,0,0,0,1,5,1
,,,,,,,,Alessio Foggia,Male,"University of Naples Federico II, Naples, Italy",Italy,0,1,1,0,1,0,0,0,0,0,1,1,0,0,,
,,,,,,,,Cristina Improta,Female,"University of Naples Federico II, Naples, Italy",Italy,1,0,1,0,1,1,0,0,1,0,1,1,1,1,,
,,,,,,,,Pietro Liguori,Male,"University of Naples Federico II, Naples, Italy",Italy,1,0,0,0,1,1,0,0,0,1,1,1,1,1,,
,,,,,,,,Roberto Natella,Male,"University of Naples Federico II, Naples, Italy",Italy,1,0,0,1,1,1,0,1,0,1,0,0,1,0,,
A vulnerability detection framework with enhanced graph feature learning,4,0,0,0,1,0,"Blockchain, Graph Neural Networks, Vulnerability Detection, Smart Contracts, Feature Learning",Jianxin Cheng,Male,"Key Laboratory of High Confidence Software Technologies (Peking University), Ministry of Education; School of Computer Science, Peking University, Beijing, China",China,1,1,0,0,1,1,0,0,0,0,0,1,1,0,4,0
,,,,,,,,Yizhou Chen,Male,"Key Laboratory of High Confidence Software Technologies (Peking University), Ministry of Education; School of Computer Science, Peking University, Beijing, China",China,0,0,1,0,1,0,0,1,0,0,1,0,0,1,,
,,,,,,,,Yongzhi Cao,Male,"Key Laboratory of High Confidence Software Technologies (Peking University), Ministry of Education; School of Computer Science, Peking University, Beijing, China; Zhongguancun Laboratory, Beijing, China",China,0,0,0,1,0,0,1,0,0,1,1,0,0,1,,
,,,,,,,,Hanpin Wang,Male,"School of Computer Science and Cyber Engineering, Guangzhou University, Guangzhou, China, Key Laboratory of High Confidence Software Technologies (Peking University), Ministry of Education; School of Computer Science, Peking University, Beijing, China",China,0,0,0,0,0,0,1,0,0,1,1,0,0,0,,
A vulnerability severity prediction method based on bimodal data and multi-task learning,4,1,0,1,1,0,"Software security, Vulnerability analysis, Bimodal data, Multi-task learning, Severity prediction",Xiaozhi Du,Male,"School of Software Engineering, Xi'an Jiao Tong University, Xi'an Shaanxi, 710049, China",China,1,0,0,0,1,1,0,0,0,0,0,0,1,0,4,1
,,,,,,,,Shiming Zhang,Male,"School of Software Engineering, Xi'an Jiao Tong University, Xi'an Shaanxi, 710049, China",China,1,0,0,0,0,1,0,0,0,0,1,0,1,0,,
,,,,,,,,Yanrong Zhou,Female,"School of Software Engineering, Xi'an Jiao Tong University, Xi'an Shaanxi, 710049, China",China,0,1,0,0,0,0,0,0,1,0,1,0,0,1,,
,,,,,,,,Hongyuan Du,Male,"School of Software Engineering, Xi'an Jiao Tong University, Xi'an Shaanxi, 710049, China",China,0,1,0,0,0,0,0,0,1,0,1,0,0,1,,
Barriers to device longevity and reuse: A vintage device empirical study,2,1,0,1,1,0,"app installation, functionality, vintage devices, Apple, reuse",Craig Goodwin,Male,"Keele University, Staffordshire, UK",UK,1,1,0,0,1,1,0,0,0,0,0,0,1,1,2,1
,,,,,,,,Sandra Woolley,Female,"Keele University, Staffordshire, UK",UK,0,1,0,0,0,0,0,0,0,1,0,0,0,1,,
Benchmarking scalability of stream processing frameworks deployed as microservices in the cloud,2,0,0,0,0,1,"Stream processing, Microservices, Scalability, Cloud computing, Benchmarking",Sören Henning,Male,"JKU/Dynatrace Co-Innovation Lab, LIT CPS Lab, Johannes Kepler University Linz, Linz, Austria",Austria,1,1,0,0,1,1,0,0,1,0,1,1,1,1,2,0
,,,,,,,,Wilhelm Hasselbring,Male,"Software Engineering Group, Kiel University, 24098 Kiel, Germany",Germany,1,0,0,1,0,1,1,1,0,1,0,0,0,1,,
BERT based severity prediction of bug reports for the maintenance of mobile applications,4,0,0,0,0,1,"Maintenance, Mobile Applications, Bug Reports, Severity Prediction, Deep Learning",Asif Ali,Male,"School of Automation, Beijing Institute of Technology, Beijing 100081, China",China,0,1,1,0,0,1,0,0,0,0,0,0,1,0,4,0
,,,,,,,,Yuanqing Xia,Male,"School of Automation, Beijing Institute of Technology, Beijing 100081, China",China,1,0,0,0,0,1,0,0,0,0,0,0,0,1,,
,,,,,,,,Qasim Umer,Male,"Department of Computer Science, Hanyang University, Seoul, 04763, Republic of Korea, COMSATS University Islamabad, Vehari 61000, Pakistan","Korea, Pakistan",0,0,1,0,0,0,0,0,1,0,0,0,0,1,,
,,,,,,,,Mohamed Osman,Male,"School of Automation, Beijing Institute of Technology, Beijing 100081, China",China,1,0,0,0,0,0,0,0,0,0,0,0,0,1,,
Beyond code: Is there a difference between comments in visual and textual languages?,4,1,0,0,0,1,"Code comments, Taxonomy, Simulink, MATLAB, Model-driven engineering",Alexander Boll,Male,University of Bern,Switzerland,1,1,0,0,0,1,1,1,1,0,1,1,1,1,4,1
,,,,,,,,Pooja Rani,Female,University of Zurich,Switzerland,1,1,0,0,0,1,0,0,0,1,0,0,1,1,,
,,,,,,,,Alexander Schultheiß,Male,Paderborn University,Germany,1,1,0,0,0,1,0,0,0,0,0,0,0,1,,
,,,,,,,,Timo Kehrer,Male,University of Bern,Switzerland,1,0,0,1,0,1,0,0,0,1,0,0,0,1,,
BIT: A template-based approach to incremental and bidirectional model-to-text transformation,2,0,0,0,1,0,"Model-driven development, software, bidirectional transformation, template languages, synchronization",Xiao He,Male,"School of Computer and Communication Engineering, University of Science and Technology Beijing",China,1,0,0,0,0,1,0,0,1,0,0,0,1,1,2,0
,,,,,,,,Tao Zan,Male,Longyan University,China,1,0,1,0,0,0,0,0,0,0,1,0,0,1,,
Bug priority change: An empirical study on Apache projects,6,3,0,0,1,0,"Bug priority, issue tracking systems, priority changes, empirical study, Apache open source",Zengyang Li,Male,"School of Computer Science & Hubei Provincial Key Laboratory of Artificial Intelligence and Smart Learning, Central China Normal University",China,0,1,0,1,1,1,0,1,0,0,0,1,1,0,6,3
,,,,,,,,Guangzong Cai,Male,"School of Computer Science & Hubei Provincial Key Laboratory of Artificial Intelligence and Smart Learning, Central China Normal University",China,0,1,0,0,1,0,0,0,1,0,0,1,1,0,,
,,,,,,,,Qinyi Yu,Female,"School of Computer Science & Hubei Provincial Key Laboratory of Artificial Intelligence and Smart Learning, Central China Normal University",China,0,1,0,0,1,0,0,0,1,0,0,0,1,0,,
,,,,,,,,Peng Liang,Male,"School of Computer Science, Wuhan University",China,1,0,0,1,0,1,0,0,0,1,0,0,0,1,,
,,,,,,,,Ran Mo,Female,"School of Computer Science & Hubei Provincial Key Laboratory of Artificial Intelligence and Smart Learning, Central China Normal University",China,0,0,0,1,0,1,0,0,0,0,0,0,0,1,,
,,,,,,,,Hui Liu,Female,"School of Artificial Intelligence and Automation, Huazhong University of Science and Technology",China,0,0,0,1,0,1,0,0,0,0,0,0,0,1,,
CfExplainer: Explainable just-in-time defect prediction based on counterfactuals,6,0,0,1,1,0,"Defect prediction, Explainability, Model-agnostic, Counterfactuals, Software testing",Fengyu Yang,Male,"School of software, Nanchang Hangkong University, Software Testing and Evaluation Center, Nanchang Hangkong University",China,0,0,0,1,0,0,0,0,0,1,0,0,0,0,6,0
,,,,,,,,Guangdong Zeng,Male,"School of software, Nanchang Hangkong University, Software Testing and Evaluation Center, Nanchang Hangkong University",China,0,0,0,0,0,1,0,0,1,0,1,0,1,0,,
,,,,,,,,Fa Zhong,Male,"School of software, Nanchang Hangkong University, Software Testing and Evaluation Center, Nanchang Hangkong University",China,1,0,0,0,0,0,0,0,0,0,0,1,0,0,,
,,,,,,,,Peng Xiao,Male,"School of software, Nanchang Hangkong University, Software Testing and Evaluation Center, Nanchang Hangkong University",China,1,0,0,0,0,0,0,0,0,1,0,0,0,0,,
,,,,,,,,Wei Zheng,Male,"School of software, Nanchang Hangkong University, Software Testing and Evaluation Center, Nanchang Hangkong University",China,1,0,0,0,0,0,0,0,0,1,0,0,0,0,,
,,,,,,,,Fuxing Qiu,Male,"School of software, Nanchang Hangkong University, Software Testing and Evaluation Center, Nanchang Hangkong University",China,0,0,1,0,0,0,0,0,0,1,0,0,0,0,,
Code-centric learning-based just-in-time vulnerability detection,6,1,0,1,1,0,"Vulnerability, commits, graph neural network, JIT-VD, code changes",Son Nguyen,Male,"Faculty of Information Technology, VNU University of Engineering and Technology, Hanoi, Viet Nam",Vietnam,1,0,1,0,0,1,0,0,1,0,1,0,1,1,6,1
,,,,,,,,Thu-Trang Nguyen,Female,"Faculty of Information Technology, VNU University of Engineering and Technology, Hanoi, Viet Nam",Vietnam,1,0,0,0,1,1,0,0,0,0,0,0,1,1,,
,,,,,,,,Thanh Trong Vu,Male,"Faculty of Information Technology, VNU University of Engineering and Technology, Hanoi, Viet Nam",Vietnam,0,1,0,0,1,0,0,0,1,0,1,0,0,0,,
,,,,,,,,Thanh-Dat Do,Male,"Faculty of Information Technology, VNU University of Engineering and Technology, Hanoi, Viet Nam",Vietnam,0,1,0,0,1,0,0,0,1,0,1,0,0,0,,
,,,,,,,,Kien-Tuan Ngo,Male,"Faculty of Information Technology, VNU University of Engineering and Technology, Hanoi, Viet Nam",Vietnam,0,1,0,0,1,1,0,0,1,0,1,0,0,0,,
,,,,,,,,Hieu Dinh Vo,Male,"Faculty of Information Technology, VNU University of Engineering and Technology, Hanoi, Viet Nam",Vietnam,1,0,1,0,1,1,1,0,0,1,0,0,0,1,,
Code search engines for the next generation,2,0,0,1,1,0,"software, open source, search engines, big data, machine learning",Marcus Kessel,Male,University of Mannheim,Germany,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0
,,,,,,,,Colin Atkinson,Male,University of Mannheim,Germany,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,
Collection skeletons: Declarative abstractions for data collections,4,0,0,0,0,1,"programming, languages, collections, performance, C++",Björn Franke,Male,"School of Informatics, University of Edinburgh, 10 Crichton Street, Edinburgh, EH8 9AB, Scotland, United Kingdom",United Kingdom,1,0,0,1,0,0,0,0,0,1,0,0,0,0,4,0
,,,,,,,,Zhibo Li,Male,"School of Informatics, University of Edinburgh, 10 Crichton Street, Edinburgh, EH8 9AB, Scotland, United Kingdom",United Kingdom,0,1,1,0,1,1,0,0,1,0,1,1,1,0,,
,,,,,,,,Magnus Morton,Male,"Huawei Central Software Institute, 2 Semple Street, Edinburgh, EH3 8BL, Scotland, United Kingdom",United Kingdom,1,0,0,0,0,1,0,0,0,0,0,0,0,1,,
,,,,,,,,Michel Steuwer,Male,"Institute of Software Engineering and Theoretical Computer Science, TU Berlin, Room E-N 367, Einsteinufer 17, Berlin, 10587, Germany",Germany,0,0,0,0,0,0,0,0,0,1,0,0,0,1,,
Commit-time defect prediction using one-class classification,4,0,0,0,0,1,"Software, Defect Prediction, Machine Learning, Data Balancing, Classification",Mohammed A. Shehab,Male,Concordia University,Canada,1,1,0,0,1,1,0,0,1,0,1,0,1,1,4,0
,,,,,,,,Wael Khreich,Male,American University of Beirut,Lebanon,1,0,0,0,1,1,0,0,0,1,1,0,1,1,,
,,,,,,,,Abdelwahab Hamou-Lhadj,Male,Concordia University,Canada,1,0,0,1,1,1,1,0,0,1,1,0,1,1,,
,,,,,,,,Issam Sedki,Male,Concordia University,Canada,1,0,0,0,1,0,0,0,0,0,0,0,1,0,,
Confix: Combining node-level fix templates and masked language model for automatic program repair,8,0,0,0,0,1,"Automatic program repair, Fix templates, Neural machine translation, Code generation, Masked language model",Jianmao Xiao,Male,"School of Software, Jiangxi Normal University, Nanchang, China",China,0,0,0,0,1,1,0,0,0,1,1,0,0,1,8,0
,,,,,,,,Zhipeng Xu,Male,"School of Digital Industry, Jiangxi Normal University, Shangrao, China",China,0,0,0,0,1,1,0,0,0,0,1,0,1,0,,
,,,,,,,,Shiping Chen,Male,"CSIRO Data61, Sydney, New South Wales, Australia",Australia,1,0,0,0,0,0,0,0,0,1,1,0,0,1,,
,,,,,,,,Gang Lei,Male,"School of Software, Jiangxi Normal University, Nanchang, China",China,0,0,0,0,0,0,0,0,0,1,1,0,0,0,,
,,,,,,,,Guodong Fan,Male,"College of Intelligence and Computing, Tianjin University, Tianjin, China",China,0,0,0,0,0,0,0,0,0,0,1,0,0,1,,
,,,,,,,,Yuanlong Cao,Male,"School of Computer and Information Engineering, Jiangxi Normal University, Nanchang, China",China,0,0,0,0,0,0,0,0,0,1,1,0,0,0,,
,,,,,,,,Shuiguang Deng,Male,"College of Computer Science and Technology, Zhejiang University, Zhejiang, China",China,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,
,,,,,,,,Zhiyong Feng,Male,"College of Intelligence and Computing, Tianjin University, Tianjin, China",China,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,
ConflictBench: A benchmark to evaluate software merge tools,2,1,0,1,1,0,"collaborative software development, merge tools, conflict detection, open-source Java projects, software metrics",Bowen Shen,Male,Virginia Polytechnic Institute and State University,USA,0,1,1,0,1,1,0,0,1,0,0,0,1,0,2,1
,,,,,,,,Na Meng,Female,Virginia Polytechnic Institute and State University,USA,1,1,1,1,0,1,1,1,0,1,0,0,1,1,,
Context-aware code generation with synchronous bidirectional decoder,5,1,0,0,0,1,"code generation, sequence-to-tree models, bidirectional decoder, scheduled sampling, beam search",Xiangyu Zhang,Male,"College of Computer Science and Technology, Nanjing University of Aeronautics and Astronautics",China,1,1,0,0,0,1,0,0,1,0,0,0,1,1,5,1
,,,,,,,,Yu Zhou,Male,"College of Computer Science and Technology, Nanjing University of Aeronautics and Astronautics",China,0,0,1,1,0,0,0,0,0,1,0,0,0,1,,
,,,,,,,,Guang Yang,Male,"College of Computer Science and Technology, Nanjing University of Aeronautics and Astronautics",China,0,1,0,0,1,1,0,0,0,0,0,0,0,0,,
,,,,,,,,Tingting Han,Female,"School of Computing and Mathematical Sciences, Birkbeck, University of London",UK,0,0,1,0,0,0,0,0,0,0,0,0,0,1,,
,,,,,,,,Taolue Chen,Male,"School of Computing and Mathematical Sciences, Birkbeck, University of London",UK,0,0,1,1,0,0,0,0,0,0,0,0,0,1,,
Conversation in forums: How software forum posts discuss potential development insights,5,1,0,1,1,0,"Software forums, User feedback, Bug reports, Feature requests, Contextual information",Hechen Wang,Male,University of Auckland,New Zealand,1,1,1,0,1,1,1,1,0,1,1,1,1,1,5,1
,,,,,,,,Peter Devine,Male,University of Auckland,New Zealand,0,1,0,0,0,0,0,0,0,0,1,0,1,1,,
,,,,,,,,James Tizard,Male,University of Auckland,New Zealand,0,1,0,0,0,0,0,0,0,0,1,0,1,1,,
,,,,,,,,Seyed Reza Shahamiri,Male,University of Auckland,New Zealand,0,0,0,0,0,0,1,0,0,0,0,0,0,1,,
,,,,,,,,Kelly Blincoe,Female,University of Auckland,New Zealand,1,0,0,0,0,0,1,1,0,0,1,0,1,1,,
Co-simulation at different levels of expertise with Maestro2,7,0,0,0,1,0,"Co-simulation, DSL, Functional Mockup Interface, Simulation, Orchestration",Simon Thrane Hansen,Male,"Department of Electrical and Computer Engineering, Aarhus University, Åbogade 34, Denmark",Denmark,0,0,0,0,0,1,0,0,1,0,1,0,1,1,7,0
,,,,,,,,Casper Thule,Male,"Department of Electrical and Computer Engineering, Aarhus University, Åbogade 34, Denmark",Denmark,1,0,0,0,0,1,0,0,1,0,0,0,0,1,,
,,,,,,,,Cláudio Gomes,Male,"Department of Electrical and Computer Engineering, Aarhus University, Åbogade 34, Denmark",Denmark,1,0,0,0,0,1,0,0,0,0,1,0,0,1,,
,,,,,,,,Kenneth Guldbrandt Lausdahl,Male,"Department of Electrical and Computer Engineering, Aarhus University, Åbogade 34, Denmark",Denmark,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,
,,,,,,,,Frederik Palludan Madsen,Male,"Department of Electrical and Computer Engineering, Aarhus University, Åbogade 34, Denmark",Denmark,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
,,,,,,,,Giuseppe Abbiati,Male,"Department of Civil and Architectural Engineering, Aarhus University, Inge Lehmanns Gade 10, Denmark",Denmark,0,1,0,0,0,0,0,0,0,0,1,0,0,0,,
,,,,,,,,Peter Gorm Larsen,Male,"Department of Electrical and Computer Engineering, Aarhus University, Åbogade 34, Denmark",Denmark,1,0,0,1,0,1,1,0,0,1,0,0,0,1,,
Coverage-guided fuzzing for deep reinforcement learning systems,5,0,0,1,1,0,"Reinforcement Learning, Testing, Software Engineering, Fuzzing, Reliability",Xiaohui Wan,Male,"School of Automation Science and Electrical Engineering, Beihang University",China,0,1,0,0,1,1,0,0,1,0,0,0,1,1,5,0
,,,,,,,,Tiancheng Li,Male,"School of Automation Science and Electrical Engineering, Beihang University",China,0,1,1,0,0,1,0,1,1,0,1,1,0,1,,
,,,,,,,,Weibin Lin,Male,"School of Automation Science and Electrical Engineering, Beihang University",China,0,1,0,0,0,0,0,0,1,0,0,0,0,1,,
,,,,,,,,Yi Cai,Male,"School of Automation Science and Electrical Engineering, Beihang University",China,0,1,0,0,1,0,0,0,0,0,0,1,0,1,,
,,,,,,,,Zheng Zheng,Male,"School of Automation Science and Electrical Engineering, Beihang University",China,1,0,0,1,0,0,1,0,0,1,0,0,0,1,,
Cross-project concurrency bug prediction using domain-adversarial neural network,6,0,0,0,0,1,"software, bug, prediction, concurrency, metrics",Fangyun Qin,Male,"College of Information Engineering, Capital Normal University, Beijing, 100048, China, State Key Laboratory for Novel Software Technology, Nanjing University, PR China",China,0,0,1,0,0,1,0,0,1,0,0,0,1,1,6,0
,,,,,,,,Zheng Zheng,Male,"School of Automation Science and Electrical Engineering, Beihang University, Beijing, 100191, China",China,1,0,0,1,0,0,0,0,0,1,0,0,1,1,,
,,,,,,,,Yulei Sui,Male,"School of Computer Science and Engineering, University of New South Wales, Sydney, Australia",Australia,1,1,0,0,1,0,0,0,0,0,0,0,1,1,,
,,,,,,,,Siqian Gong,Male,"School of Mechanical, Electronic and Control Engineering, Beijing Jiaotong University, 100044, China",China,0,0,1,0,1,0,0,0,0,0,1,0,0,0,,
,,,,,,,,Zhiping Shi,Male,"College of Information Engineering, Capital Normal University, Beijing, 100048, China",China,0,0,0,0,0,0,1,1,0,0,0,0,0,1,,
,,,,,,,,Kishor S. Trivedi,Male,"Department of Electrical and Computer Engineering, Duke University, Durham, NC 27708, USA",USA,1,0,0,0,0,0,0,0,0,0,0,0,0,1,,
CSVD-TF: Cross-project software vulnerability detection with TrAdaBoost by fusing expert metrics and semantic metrics,6,0,0,1,1,0,"Software vulnerability, Deep learning, Transfer learning, Metric fusion, Empirical study",Zhilong Cai,Male,"School of Information Science and Technology, Nantong University",China,1,1,0,0,0,1,0,0,1,0,1,0,0,1,6,0
,,,,,,,,Yongwei Cai,Male,"School of Information Science and Technology, Nantong University",China,1,1,0,0,0,1,0,0,1,0,1,0,0,1,,
,,,,,,,,Xiang Chen,Male,"School of Information Science and Technology, Nantong University",China,1,0,0,0,0,1,0,0,0,1,0,0,0,1,,
,,,,,,,,Guilong Lu,Male,"School of Information Science and Technology, Nantong University",China,1,1,0,0,0,0,0,0,1,0,0,0,0,0,,
,,,,,,,,Wenlong Pei,Male,"School of Information Science and Technology, Nantong University",China,1,1,0,0,0,0,0,0,1,0,0,0,0,0,,
,,,,,,,,Junjie Zhao,Male,"School of Information Science and Technology, Nantong University",China,1,1,0,0,0,0,0,0,1,0,0,0,0,0,,
Database Management System Performance Comparisons,0,0,0,0,0,0,Database systems; Benchmarking; Performance testing; Optimization techniques; Query execution,,,,,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0
"Data pipeline quality: Influencing factors, root causes of data-related issues, and processing problem areas for developers",4,1,0,0,0,1,"Data, infrastructure, life cycle management, development & deployment, processing",Harald Foidl,Male,University of Innsbruck,Austria,1,1,0,0,1,1,1,0,0,0,1,1,1,1,4,1
,,,,,,,,Valentina Golendukhina,Female,University of Innsbruck,Austria,0,1,0,0,0,1,0,0,0,0,1,1,1,1,,
,,,,,,,,Rudolf Ramler,Male,Software Competence Center Hagenberg GmbH,Austria,0,0,0,1,0,0,0,0,0,0,0,0,0,1,,
,,,,,,,,Michael Felderer,Male,"Institute for Software Technology (DLR), University of Cologne, University of Innsbruck","Austria,Germany",0,0,0,1,0,0,0,0,0,1,0,0,0,1,,
Data preparation for Deep Learning based Code Smell Detection: A systematic literature review,8,0,0,0,0,1,"Code Smell Detection, Deep Learning, Software Quality, Data Preparation, CSD Techniques",Fengji Zhang,Male,"Department of Computer Science, City University of Hong Kong, Hong Kong, China","Hong Kong, China",1,1,0,0,1,1,1,0,0,0,1,0,1,1,8,0
,,,,,,,,Zexian Zhang,Male,"School of Computer Science and Artificial Intelligence, Wuhan University of Technology, Wuhan, China; Sanya Science and Education Innovation Park, Sanya, China","China, China",0,1,0,0,1,0,0,0,0,0,1,0,1,1,,
,,,,,,,,Jacky Wai Keung,Male,"Department of Computer Science, City University of Hong Kong, Hong Kong, China","Hong Kong, China",0,0,0,0,0,0,1,0,0,1,1,0,0,1,,
,,,,,,,,Xiangru Tang,Male,"School of Engineering & Applied Science, Yale University, New Haven, United States",United States,0,0,0,0,0,0,0,0,0,0,1,0,0,1,,
,,,,,,,,Zhen Yang,Male,"School of Computer Science and Technology, Shandong University, Tsingtao, China",China,0,0,0,0,1,0,0,0,0,0,1,0,0,1,,
,,,,,,,,Xiao Yu,Male,"School of Computer Science and Artificial Intelligence, Wuhan University of Technology, Wuhan, China; Wuhan University of Technology Chongqing Research Institute, Chongqing, China","China, China, China",0,0,0,0,1,0,0,0,0,1,1,0,1,1,,
,,,,,,,,Wenhua Hu,Male,"School of Computer Science and Artificial Intelligence, Wuhan University of Technology, Wuhan, China",China,0,0,0,0,0,0,0,0,0,1,1,0,0,1,,
,,,,,,,,David Benavides,Male,University of Seville,Spain,0,0,0,0,1,1,0,0,0,1,1,0,1,1,,
DeepCover: Advancing RNN test coverage and online error prediction using state machine extraction,2,1,0,1,1,0,"Neural Networks, Explainability, Machine Learning, Error Prediction, Test Coverage",Pouria Golshanrad,Male,"University of Tehran, Tehran, Iran",Iran,1,1,1,0,1,1,0,0,1,0,1,1,1,1,2,1
,,,,,,,,Fathiyeh Faghih,Female,"University of Tehran, Tehran, Iran",Iran,1,0,0,0,0,0,1,1,0,0,1,0,0,1,,
Deep semi-supervised learning for recovering traceability links between issues and commits,4,0,0,0,0,1,"Traceability, Deep Learning, Software Evolution, Semi-Supervised Learning, Commit Recovery",Jianfei Zhu,Male,"College of Computer Science and Technology, Nanjing University of Aeronautics and Astronautics, Nanjing, China",China,1,1,0,1,1,1,0,0,1,0,1,1,1,1,4,0
,,,,,,,,Guanping Xiao,Male,"College of Computer Science and Technology, Nanjing University of Aeronautics and Astronautics, Nanjing, China",China,1,1,0,1,1,1,1,0,1,1,1,1,1,1,,
,,,,,,,,Zheng Zheng,Male,"School of Automation Science and Electrical Engineering, Beihang University, Beijing, China",China,0,0,0,1,0,0,0,0,0,0,1,0,0,1,,
,,,,,,,,Yulei Sui,Male,"School of Computer Science and Engineering, University of New South Wales, Sydney, Australia",Australia,0,0,0,1,0,0,0,0,0,0,1,0,0,1,,
Delivering computing module for the large part-time software development class from pre- to post-pandemic: An online learning experience,3,2,1,0,0,1,"online learning, higher education, software engineering, technology-enhanced learning, student experience",Olga Pishchukhina,Female,Queen’s University Belfast,UK,1,0,0,0,1,1,0,1,0,0,1,1,1,1,3,2
,,,,,,,,Daria Gordieieva,Female,"Queen’s University Belfast, Lutsk National Technical University","UK, Ukraine",1,0,1,0,1,1,0,0,0,0,1,1,1,1,,
,,,,,,,,Austen Rainer,Male,Queen’s University Belfast,UK,1,0,0,0,1,1,0,0,0,0,0,1,1,1,,
Deriving modernity signatures of codebases...,5,0,0,0,1,0,"Static analysis, software evolution, codebase health, PHP, Python",Chris Admiraal,Male,"Technical Computer Science, University of Twente",Netherlands,0,0,0,0,0,0,0,0,1,0,0,1,0,0,5,0
,,,,,,,,Wouter van den Brink,Male,"Technical Computer Science, University of Twente",Netherlands,0,0,0,0,0,0,0,0,1,0,0,1,0,0,,
,,,,,,,,Marcus Gerhold,Male,"Formal Methods & Tools, University of Twente",Netherlands,0,0,0,0,0,1,1,0,0,1,0,0,1,1,,
,,,,,,,,Vadim Zaytsev,Male,"Technical Computer Science, University of Twente, Formal Methods & Tools, University of Twente",Netherlands,0,0,0,0,0,1,1,0,0,1,0,0,1,1,,
,,,,,,,,Cristian Zubcu,Male,"Technical Computer Science, University of Twente",Netherlands,0,1,0,0,0,0,0,0,1,0,0,1,0,0,,
Design for Dependability — State of the Art and Trends,11,0,0,0,0,1,"Dependability, Risk Analysis, AI, Design, Model-based",Hezhen Liu,Male,"Huawei Technologies Co., Ltd., Shenzhen, China",China,1,0,0,0,1,0,1,0,0,1,0,0,1,1,11,0
,,,,,,,,Chengqiang Huang,Male,"Huawei Technologies Co., Ltd., Shenzhen, China",China,1,0,0,0,0,0,1,0,0,1,0,0,1,1,,
,,,,,,,,Ke Sun,Male,"Huawei Technologies Co., Ltd., Shenzhen, China",China,0,0,0,0,1,0,0,0,0,0,0,0,1,1,,
,,,,,,,,Jiacheng Yin,Male,"Huawei Technologies Co., Ltd., Shenzhen, China",China,0,0,0,0,1,0,0,0,0,0,0,0,1,1,,
,,,,,,,,Xiaoyu Wu,Male,"Huawei Technologies Co., Ltd., Shenzhen, China",China,0,0,0,0,1,0,0,0,0,0,0,0,1,1,,
,,,,,,,,Jin Wang,Male,"Huawei Technologies Co., Ltd., Shenzhen, China",China,0,0,0,0,1,0,0,0,0,0,0,0,1,1,,
