Paper Title,Study Domain Terms,Author Name,Gender,Affiliation,Country,Conceptualization,Data Curation,Formal Analysis,Funding Acquisition,Investigation,Methodology,Project Administration,Resources,Software,Supervision,Validation,Visualization,Writing – Original Draft,Writing – Review & Editing
,,Coen De Roover,Male,"Vrije Universiteit Brussel, Brussels, Belgium",Belgium,0,0,0,0,0,0,0,1,0,0,0,0,0,1
,,Andrea De Lucia,Male,"SeSa Lab, University of Salerno, Fisciano, Italy",Italy,0,0,0,0,0,1,0,1,0,1,0,0,0,1
A comparison of quality flaws and technical debt in model transformation specifications,Model Transformations; Technical Debt; Model-Driven Engineering; Software Quality; Quality Flaws Analysis,Shekoufeh Kolahdouz-Rahimi,Female,"MDSE Research Group, Dept. of Software Engineering, University of Isfahan",Iran,1,1,0,0,1,1,0,0,0,0,0,0,1,1
,,Kevin Lano,Male,"Dept. of Informatics, King’s College London",UK,0,0,1,0,1,1,0,0,1,0,1,1,1,1
,,Mohammadreza Sharbaf,Male,"MDSE Research Group, Dept. of Software Engineering, University of Isfahan",Iran,0,1,0,0,0,0,0,0,1,0,0,0,0,0
,,Meysam Karimi,Male,"MDSE Research Group, Dept. of Software Engineering, University of Isfahan",Iran,0,1,0,0,0,0,0,0,0,0,0,0,0,0
,,Hessa Alfraihi,Female,"Dept. of Information Systems, Princess Nourah bint Abdulrahman University",Saudi Arabia,0,1,0,0,0,0,0,0,0,0,0,0,0,0
From API to NLI: A new interface for library reuse,API Learning; Library Reuse; Natural Language Interface; Code Synthesis; Software Development,Qi Shen,Male,"Key Laboratory of High Confidence Software Technologies, Ministry of Education; School of Electronics Engineering and Computer Science, Peking University",China,1,1,0,0,0,1,0,0,1,0,0,0,1,0
,,Shijun Wu,Male,"Key Laboratory of High Confidence Software Technologies, Ministry of Education; School of Electronics Engineering and Computer Science, Peking University",China,0,1,0,0,0,1,0,0,1,0,1,0,0,0
,,Yanzhen Zou,Female,"Key Laboratory of High Confidence Software Technologies, Ministry of Education; School of Electronics Engineering and Computer Science, Peking University",China,1,0,0,0,0,1,0,0,0,0,0,0,0,1
,,Zixiao Zhu,Male,IBM Research,China,0,0,0,0,1,0,0,0,1,0,0,0,0,0
,,Bing Xie,Male,"Key Laboratory of High Confidence Software Technologies, Ministry of Education; School of Electronics Engineering and Computer Science, Peking University",China,1,0,0,0,0,0,0,0,0,1,0,0,0,1
Function-as-a-Service performance evaluation: A multivocal literature review,Serverless Cloud Computing; Function-as-a-Service (FaaS); Performance Benchmarking; Cloud System Experimentation; AWS Lambda,Joel Scheuner,Male,Chalmers — University of Gothenburg,Sweden,1,1,0,0,1,1,0,0,1,0,1,1,1,1
,,Philipp Leitner,Male,Chalmers — University of Gothenburg,Sweden,1,0,0,1,1,1,0,0,0,1,0,0,0,1
A systematic literature review of model-driven security engineering for cyber–physical systems,Cyber–Physical Systems; IoT Security; Model-Driven Security; Threat Mitigation; Safety-Critical Systems,Johannes Geismann,Male,"Heinz Nixdorf Institute, Paderborn University, Fraunhofer IEM",Germany,1,1,0,0,1,0,0,0,0,0,0,0,1,1
,,Eric Bodden,Male,"Heinz Nixdorf Institute, Paderborn University, Fraunhofer IEM",Germany,1,0,0,0,0,0,0,0,0,1,0,0,1,1
"Contextualizing rename decisions using refactorings, commit messages, and data types",Program Comprehension; Rename Refactorings; Source Code Analysis; Data Types; Identifier Names,Anthony Peruma,Male,"Rochester Institute of Technology, Rochester, NY, USA",USA,1,0,0,0,1,1,0,0,0,0,1,0,0,1
,,Mohamed Wiem Mkaouer,Male,"Rochester Institute of Technology, Rochester, NY, USA",USA,1,0,0,0,1,1,0,0,0,0,0,0,0,1
,,Michael J. Decker,Male,"Bowling Green State University, Bowling Green, OH, USA",USA,1,0,0,0,1,1,0,0,0,0,0,0,0,1
,,Christian D. Newman,Male,"Rochester Institute of Technology, Rochester, NY, USA",USA,1,0,0,0,1,1,1,0,0,1,0,0,0,1
Evaluating and strategizing the onboarding of software developers in large-scale globally distributed projects,Onboarding Strategies; Large-scale Projects; Distributed Teams; Mentorship in Software Engineering; Business Process Modeling,Ricardo Britto,Male,"Ericsson AB, Ölandsgatan, 371 73, Karlskrona, Sweden; Department of Software Engineering, Blekinge Institute of Technology, Karlskrona, Sweden",Sweden,1,0,0,0,1,1,0,0,0,0,0,0,1,0
,,Darja Smite,Female,"Department of Software Engineering, Blekinge Institute of Technology, Karlskrona, Sweden",Sweden,0,0,0,0,0,0,0,0,0,1,1,0,0,1
,,Lars-Ola Damm,Male,"Ericsson AB, Ölandsgatan, 371 73, Karlskrona, Sweden",Sweden,0,0,0,0,1,0,0,0,0,0,0,0,0,0
,,Jürgen Börstler,Male,"Department of Software Engineering, Blekinge Institute of Technology, Karlskrona, Sweden",Sweden,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Similarity-based analyses on software applications: A systematic literature review,Software Similarity; Machine Learning in SE; Categorization Methods; Empirical SE; Software Phases,Maximilian Auch,Male,"Munich University of Applied Science, Lothstrasse 64, 80335 Munich",Germany,1,1,1,0,1,1,0,0,0,0,0,0,1,0
,,Manuel Weber,Male,"Munich University of Applied Science, Lothstrasse 64, 80335 Munich",Germany,0,0,0,0,0,0,0,0,0,0,1,0,0,1
,,Peter Mandl,Male,"Munich University of Applied Science, Lothstrasse 64, 80335 Munich",Germany,0,0,0,1,0,0,1,1,0,1,1,0,0,1
,,Christian Wolff,Male,University of Regensburg,Germany,0,0,0,0,0,0,1,0,0,1,0,0,0,0
FCCI: A fuzzy expert system for identifying coincidental correct test cases,Spectrum-based Fault Localization; Program Debugging; Fuzzy Expert Systems; Coincidental Correctness; Test Case Identification,Arash Sabbaghi,Male,"Faculty of Computer and Information Technology Engineering, Qazvin Branch, Islamic Azad University, Qazvin, Iran",Iran,0,1,1,0,1,0,0,1,1,0,1,1,1,0
,,Mohammad Reza Keyvanpour,Male,"Department of Computer Engineering, Alzahra University, Tehran, Iran",Iran,0,1,0,0,0,0,1,0,0,1,1,0,0,1
,,Saeed Parsa,Male,"Department of Computer Engineering, Iran University of Science and Technology, Tehran, Iran",Iran,0,0,1,0,0,0,0,1,0,1,0,0,0,1
A federated society of bots for smart contract testing,Smart Contracts; Blockchain Testing; Fault Detection; Bot Society Simulation; Software Engineering,Emanuele Viglianisi,Male,"Fondazione Bruno Kessler, Trento, Italy",Italy,1,0,0,0,0,1,0,0,1,0,1,0,0,1
,,Mariano Ceccato,Male,"University of Verona, Verona, Italy",Italy,1,0,0,0,0,1,0,0,0,1,0,0,0,1
,,Paolo Tonella,Male,"Università della Svizzera Italiana (USI), Lugano, Switzerland",Switzerland,1,0,0,0,0,1,0,0,0,1,0,0,0,1
A refinement checking based strategy for component-based systems evolution,Component-based Systems; Refinement Relations; CSP-based Models; Deadlock Freedom; Autonomous Healthcare Systems,José Dihego,Male,"Coordenação de Informática, IFBA, Feira de Santana BA",Brazil,1,0,1,0,1,0,0,0,1,0,0,0,1,0
,,Augusto Sampaio,Male,"Centro de Informática, Universidade Federal de Pernambuco, Recife-PE",Brazil,0,0,0,0,0,1,1,0,0,1,1,0,0,1
,,Marcel Oliveira,Male,"Departamento de Informática e Matemática Aplicada, UFRN, Natal-RN",Brazil,0,0,0,0,0,0,0,0,0,0,0,1,0,1
ASPLe: A methodology to develop self-adaptive software systems with systematic reuse,Self-Adaptive Software Systems; Reuse Engineering; Software Product Lines; Autonomic Systems; Software Quality,Nadeem Abbas,Male,Linnaeus University,Sweden,1,0,1,0,1,1,0,0,1,0,1,0,1,0
,,Jesper Andersson,Male,Linnaeus University,Sweden,1,0,0,0,0,1,0,0,0,1,0,0,1,0
,,Danny Weyns,Male,"Linnaeus University, KU Leuven","Sweden, Belgium",0,0,1,0,0,0,0,0,0,0,1,0,0,1
A pattern-based approach to detect and improve non-descriptive test names,Unit Testing; Test Name Quality; Pattern-based Approach; JUnit Testing; Software Development,Jianwei Wu,Male,"University of Delaware, Newark, DE, USA",USA,1,1,1,0,0,1,0,0,1,0,0,1,1,1
,,James Clause,Male,"University of Delaware, Newark, DE, USA",USA,1,0,1,1,0,0,0,0,1,1,0,0,0,1
An automatically created novel bug dataset and its validation in bug prediction,Bug Prediction; Bug Datasets; Software Metrics; Machine Learning Models; Software Engineering,Rudolf Ferenc,Male,University of Szeged,Hungary,1,0,0,0,0,1,0,0,0,1,0,0,0,1
,,Péter Gyimesi,Male,,Hungary,0,0,1,0,1,1,0,0,1,0,0,0,1,0
,,Gábor Gyimesi,Male,University of Szeged,Hungary,0,0,0,0,1,0,0,0,1,0,0,0,0,0
,,Zoltán Tóth,Male,University of Szeged,Hungary,0,0,0,0,0,0,0,0,0,0,1,0,1,0
,,Tibor Gyimóthy,Male,"University of Szeged, MTA-SZTE Research Group on Artificial Intelligence",Hungary,1,0,0,1,0,0,0,0,0,0,0,0,0,0
CODE reuse in practice: Benefiting or harming technical debt,Software Reuse; Technical Debt; Software Engineering; Case Study; OSS Systems,Daniel Feitosa,Male,"Data Research Centre, University of Groningen, Groningen, the Netherlands",Netherlands,1,1,1,0,0,1,0,0,1,0,0,0,1,1
,,Apostolos Ampatzoglou,Male,"Department of Applied Informatics, University of Macedonia, Thessaloniki, Greece",Greece,1,1,0,0,0,1,0,0,0,0,0,0,1,1
,,Antonios Gkortzis,Male,"Department of Management Science and Technology, Athens University of Economics and Business, Greece",Greece,1,0,0,0,0,1,0,0,1,0,0,0,1,1
,,Stamatia Bibi,Female,"Department of Informatics and Telecommunications, University of Western Macedonia, Kozani, Greece",Greece,1,0,0,0,0,1,0,0,0,0,0,0,1,1
,,Alexander Chatzigeorgiou,Male,"Department of Applied Informatics, University of Macedonia, Thessaloniki, Greece",Greece,1,0,0,0,0,1,0,0,0,0,0,0,1,1
Exploring software reusability metrics with Q&A forum data,Software Reusability; Q&A Forum Analysis; Machine Learning; Software Metrics; Word Embeddings,Matthew T. Patrick,Male,"Department of Dermatology, University of Michigan, Ann Arbor",United States of America,1,1,0,0,1,1,0,0,0,0,1,1,0,0
Examining the effects of developer familiarity on bug fixing,Bug Fixing; Software Maintenance; Developer Efficiency; Empirical Study; Bug Impact Analysis,Chuanqi Wang,Male,"State Key Laboratory for Novel Software Technology, Nanjing University; Department of Computer Science and Technology, Nanjing University",China,0,0,0,0,0,1,0,0,1,0,0,0,1,0
,,Yanhui Li,Male,"State Key Laboratory for Novel Software Technology, Nanjing University; Department of Computer Science and Technology, Nanjing University",China,1,0,0,0,0,1,0,0,0,0,0,0,1,0
,,Lin Chen,Male,"State Key Laboratory for Novel Software Technology, Nanjing University; Department of Computer Science and Technology, Nanjing University",China,0,0,0,0,0,1,0,0,0,0,0,0,0,1
,,Wenchin Huang,Male,"State Key Laboratory for Novel Software Technology, Nanjing University; Department of Computer Science and Technology, Nanjing University",China,0,0,0,0,0,0,0,0,1,0,0,0,0,0
,,Yuming Zhou,Male,"State Key Laboratory for Novel Software Technology, Nanjing University; Department of Computer Science and Technology, Nanjing University",China,0,0,0,0,0,1,0,0,0,0,0,0,0,1
,,Baowen Xu,Male,"State Key Laboratory for Novel Software Technology, Nanjing University; Department of Computer Science and Technology, Nanjing University",China,0,0,0,0,0,1,0,0,0,0,0,0,0,0
SEET: Symbolic Execution of ETL Transformations,Model Transformations; Symbolic Execution; ETL Errors; Constraint Solvers; Eclipse Integration,Banafsheh Azizi,Female,"MDSE Research Group, Department of Software Engineering, University of Isfahan",Iran,1,0,0,0,1,1,0,0,1,0,1,1,1,1
,,Bahman Zamani,Male,"MDSE Research Group, Department of Software Engineering, University of Isfahan",Iran,1,0,0,0,0,1,1,0,0,1,0,0,0,1
,,Shekoufeh Kolahdouz-Rahimi,Female,"MDSE Research Group, Department of Software Engineering, University of Isfahan",Iran,1,0,0,0,0,0,0,0,0,1,0,0,0,1
The influence of Technical Debt on software developer morale,Technical Debt Management; Software Developer Productivity; Developer Morale; Time Wastage in Software Development; Software Engineering Practices,Terese Besker,Female,"Chalmers University of Technology, Hörselgången 4, 417 56 Gothenburg, Sweden",Sweden,1,1,1,0,1,1,1,0,0,0,1,1,1,1
,,Hadi Ghanbari,Male,"Aalto University, Ekonominaukio 1, 02510, Espoo, Finland",Finland,1,0,1,0,1,1,0,0,0,0,1,1,1,0
,,Antonio Martini,Male,"University of Oslo, Department of Informatics, Gaustadalléen 23B, 0373 Oslo, Norway",Norway,1,0,1,0,1,1,0,0,0,0,1,1,1,0
,,Jan Bosch,Male,"Chalmers University of Technology, Hörselgången 4, 417 56 Gothenburg, Sweden",Sweden,1,0,0,0,0,1,0,0,0,1,0,0,0,0
"Uncertainty in information system development: Causes, effects, and coping mechanisms",Information System Development; Project Management; Uncertainty; Software Industry; Coping Mechanisms,Toni Taipalus,Male,University of Jyvaskyla,Finland,1,0,1,0,1,1,1,0,0,1,0,0,1,0
,,Ville Seppänen,Male,University of Jyvaskyla,Finland,1,0,1,0,1,0,0,0,0,0,1,0,0,1
,,Maritta Pirhonen,Female,University of Jyvaskyla,Finland,1,0,1,0,1,0,0,0,0,0,1,0,0,1
Descriptions of issues and comments for predicting issue success in software projects,Software Development; Issue Tracking Systems; Machine Learning; Prediction Models; Software Project Success,Sandra L. Ramírez-Mora,Female,"Posgrado en Ciencia e Ingeniería de la Computación, Universidad Nacional Autónoma de México, Mexico City, Mexico",Mexico,1,1,1,0,1,1,0,0,1,0,0,1,1,0
,,Hanna Oktaba,Female,"Facultad de Ciencias, Universidad Nacional Autónoma de México, Mexico City, Mexico",Mexico,1,0,0,0,0,1,0,0,0,1,1,0,0,1
,,Helena Gómez-Adorno,Female,"Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas, Universidad Nacional Autónoma de México, Mexico City, Mexico",Mexico,1,0,0,0,0,1,0,0,1,1,1,0,0,1
Java decompiler diversity and its application to meta-decompilation,Java Decompilation; Bytecode Analysis; Source Code Quality; Semantic Equivalence; Compilation Strategies,Nicolas Harrand,Male,KTH Royal Institute of Technology,Sweden,1,1,0,0,1,1,0,0,1,0,0,0,1,0
,,César Soto-Valero,Male,KTH Royal Institute of Technology,Sweden,1,1,0,0,1,1,0,0,0,0,0,1,1,0
,,Martin Monperrus,Male,KTH Royal Institute of Technology,Sweden,1,0,0,0,0,1,0,0,0,1,0,0,0,1
,,Benoit Baudry,Male,KTH Royal Institute of Technology,Sweden,1,0,0,0,0,1,0,0,0,1,0,0,0,1
Achieving agility and quality in product development - an empirical study of hardware startups,Agile Development; Hardware Startups; Product Quality; Technical Debt; Evolutionary Prototyping,Vebjørn Berg,Male,Norwegian University of Science and Technology,Norway,1,1,1,0,1,1,0,0,0,0,0,0,1,1
,,Jørgen Birkeland,Male,Norwegian University of Science and Technology,Norway,1,1,1,0,1,1,0,0,0,0,0,0,1,1
,,Anh Nguyen-Duc,Male,University of South-Eastern Norway,Norway,1,0,0,0,0,0,0,1,0,1,0,0,1,1
,,Ilias O. Pappas,Male,"Norwegian University of Science and Technology, University of Agder","Norway, Norway",0,0,0,0,0,0,0,1,0,1,0,0,0,1
,,Letizia Jaccheri,Female,Norwegian University of Science and Technology,Norway,0,0,0,0,0,0,0,1,0,1,1,0,0,1
The effect of multiple developers on structural attributes: A Study based on Java software,Software Development; Object-Oriented Metrics; Developer Collaboration; Software Maintainability; GitHub Project Analysis,Andrea Capiluppi,Male,"Department of Computer Science, Brunel University London",UK,1,1,0,0,1,1,0,0,1,0,0,0,1,0
,,Nemitari Ajienka,Male,"Department of Computer Science, Edge Hill University",UK,1,0,0,0,1,1,0,0,0,0,0,0,1,0
,,Steve Counsell,Male,"Department of Computer Science, Brunel University London",UK,0,1,0,0,1,0,0,0,0,0,0,0,1,0
More precise construction of static single assignment programs using reaching definitions,Program Analysis; Static Single Assignment; Compiler Optimization; Reaching Definitions; Algorithm Efficiency,Abu Naser Masud,Male,"Mälardalen University, Västerås, Sweden",Sweden,1,1,0,0,1,1,0,0,1,0,1,1,1,0
,,Federico Ciccozzi,Male,"Mälardalen University, Västerås, Sweden",Sweden,0,0,0,1,0,0,1,0,0,0,1,0,0,1
Multilevel analysis of the Java virtual machine based on kernel and userspace traces,Java Virtual Machine; Performance Analysis; Kernel Tracing; Userspace Tracing; System Performance Diagnosis,Houssem Daoud,Male,"École Polytechnique de Montréal, Montréal, Québec, Canada",Canada,1,0,0,0,0,1,0,0,1,0,0,0,1,0
,,Michel Dagenais,Male,"École Polytechnique de Montréal, Montréal, Québec, Canada",Canada,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Integrating GitLab metrics into coursework consultation sessions in a software engineering course,Software Engineering Education; GitLab Metrics; Collaborative Coding; Student Project Assessment; Educational Software Development Tools,Sukru Eraslan,Male,"Department of Computer Science, University of Manchester",United Kingdom,1,1,1,0,1,1,0,0,0,0,0,0,1,0
,,Kamilla Kopec-Harding,Female,"Research IT, University of Manchester",United Kingdom,1,1,1,0,1,1,0,0,0,0,0,0,0,1
,,Caroline Jay,Female,"Department of Computer Science, University of Manchester",United Kingdom,1,0,0,0,0,1,0,0,0,1,0,0,0,1
,,Suzanne M. Embury,Female,"Department of Computer Science, University of Manchester",United Kingdom,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,Robert Haines,Male,"Research IT, University of Manchester",United Kingdom,1,0,0,0,0,0,0,0,0,0,0,0,0,1
,,Julio César Cortés Ríos,Male,"Department of Computer Science, University of Manchester",United Kingdom,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,Peter Crowther,Male,"Research IT, University of Manchester",United Kingdom,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Identifying vulnerabilities of SSL/TLS certificate verification in Android apps with static and dynamic analysis,SSL/TLS Certificate Verification; Android Security; Static Analysis; Dynamic Analysis; Vulnerability Detection,Yingjie Wang,Male,"Beijing Jiaotong University, China",China,0,0,0,0,0,1,0,0,1,0,1,1,1,0
,,Guangquan Xu,Male,"Qingdao Huanghai University, China; Tianjin University, China",China,0,0,1,0,0,1,0,0,0,0,0,0,0,0
,,Xing Liu,Male,"Beijing Jiaotong University, China",China,0,0,1,0,0,1,0,0,1,0,0,0,0,0
,,Weixuan Mao,Male,National Computer Network Emergency Response Technical Team / Coordination Center of China,China,0,0,0,0,0,1,0,0,0,0,1,1,0,0
,,Chengxiang Si,Male,National Computer Network Emergency Response Technical Team / Coordination Center of China,China,0,1,1,0,0,0,0,0,0,0,0,0,0,0
,,Witold Pedrycz,Male,"University of Alberta, Canada",Canada,0,0,0,0,0,1,0,0,0,0,1,0,0,0
,,Wei Wang,Male,"Beijing Jiaotong University, China; King Abdullah University of Science and Technology (KAUST), Saudi Arabia",China; Saudi Arabia,1,0,1,1,1,1,1,0,0,1,0,0,1,1
On tracking Java methods with Git mechanisms,Software Repository Mining; Method Tracking; Java Methods; Git Mechanisms; Software Evolution,Yoshiki Higo,Male,"Graduate School of Information Science and Technology, Osaka University, Japan",Japan,1,0,0,0,1,1,1,0,1,0,1,0,1,1
,,Shinpei Hayashi,Male,"School of Computing, Tokyo Institute of Technology, Japan",Japan,0,1,0,0,1,0,0,0,1,0,1,0,0,1
,,Shinji Kusumoto,Male,"Graduate School of Information Science and Technology, Osaka University, Japan",Japan,0,1,0,0,1,0,0,0,0,0,0,0,1,1
ARC: Anomaly-aware Robust Cloud-integrated IoT service composition based on uncertainty in advertised quality of service values,IoT Service Composition; Cloud Computing; Anomaly Detection; Quality of Service (QoS); Robust Optimization,Mohammadreza Razian,Male,"Cloud Computing and Distributed Systems (CLOUDS) Laboratory, The University of Melbourne, VIC 3010, Australia; School of Industrial Engineering, Iran University of Science and Technology, Tehran, Iran","Australia, Iran",1,1,0,0,1,1,0,0,1,0,1,1,1,1
,,Mohammad Fathian,Male,"School of Industrial Engineering, Iran University of Science and Technology, Tehran, Iran",Iran,1,0,0,0,0,1,1,0,0,1,1,0,0,1
,,Rajkumar Buyya,Male,"Cloud Computing and Distributed Systems (CLOUDS) Laboratory, The University of Melbourne, VIC 3010, Australia",Australia,0,0,0,0,0,1,0,0,0,1,1,0,0,1
Using likely invariants for test data generation,Automatic Test Data Generation; Search-based Methods; Invariant Learning; Software Testing; Program Input Analysis,M. Nosrati,Male,"Faculty of Computer Science and Engineering, Shahid Beheshti University G.C., Evin, Tehran",Iran,1,0,1,0,1,0,0,0,1,0,0,1,1,1
,,H. Haghighi,Male,"Faculty of Computer Science and Engineering, Shahid Beheshti University G.C., Evin, Tehran",Iran,1,0,0,0,0,0,1,0,0,1,0,0,0,1
,,M. Vahidi Asl,Male,"Faculty of Computer Science and Engineering, Shahid Beheshti University G.C., Evin, Tehran",Iran,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Improving software bug-specific named entity recognition with deep neural network,Bug Data Mining; Named Entity Recognition; Information Retrieval; Deep Learning; Bug Reports Analysis,Cheng Zhou,Male,"Yangzhou University, Taizhou University, Nanjing University of Aeronautics and Astronautics",China,0,0,0,0,0,1,0,0,1,0,1,0,1,1
,,Bin Li,Male,"Yangzhou University, State Key Laboratory for Novel Software Technology, Nanjing University",China,1,0,0,0,0,1,1,0,0,1,0,0,0,1
,,Xiaobing Sun,Male,"Yangzhou University, Nanjing University of Aeronautics and Astronautics",China,0,0,0,0,0,1,0,0,0,1,0,0,0,1
Substructure similarity search for engineering service-based systems,Service-Oriented Architecture; Software Engineering; Substructure Similarity Search; Service-Based Systems; Feature-Based Method,Jintao Wu,Male,"Anhui University, School of Computer Science and Technology, Key Laboratory of Quantitative Remote Sensing in Agriculture","China, China",1,0,0,0,0,1,0,0,1,0,0,0,1,0
,,Xing Guo,Male,"Anhui University, School of Computer Science and Technology",China,0,1,0,0,0,0,0,0,0,0,0,1,0,0
,,Guijun Yang,Male,"Key Laboratory of Quantitative Remote Sensing in Agriculture, Beijing Research Center for Information Technology in Agriculture",China,0,0,1,1,0,0,0,0,0,0,1,0,0,1
,,Shuhui Wu,Female,"Hefei University of Technology, School of Management",China,0,0,0,0,1,0,0,1,0,0,0,0,0,0
,,Jianguo Wu,Male,"Anhui University, School of Computer Science and Technology",China,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Diversified keyword search based web service composition,Service Composition; Keyword Search; Web Services; Service Connection Graphs; Quality of Service,Huanyu Cheng,Male,"School of Computer Science, Wuhan University",China,0,0,1,0,1,1,0,0,1,0,0,0,1,0
,,Ming Zhong,Male,"School of Computer Science, Wuhan University",China,1,0,1,0,0,1,0,0,0,1,0,0,1,1
,,Jian Wang,Male,"School of Computer Science, Wuhan University",China,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Relation-based test case prioritization for regression testing,Regression Testing; Fault Detection; Test Case Prioritization; Dynamic Call Sequences; Bug Detection,Jianlei Chi,Male,"Ministry of Education Key Lab for Intelligent Network and Network Security, Xi’an Jiaotong University",China,1,0,1,0,1,1,0,0,1,0,0,1,1,1
,,Yu Qu,Male,"Department of Computer Science and Engineering, University of California, Riverside",USA,0,0,0,0,0,0,0,0,0,1,1,1,0,1
,,Qinghua Zheng,Male,"Ministry of Education Key Lab for Intelligent Network and Network Security, Xi’an Jiaotong University",China,0,0,0,1,0,0,1,1,0,1,0,0,0,1
,,Zijiang Yang,Male,"Department of Computer Science, Western Michigan University",USA,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,Wuxia Jin,Female,"Ministry of Education Key Lab for Intelligent Network and Network Security, Xi’an Jiaotong University",China,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,Di Cui,Female,"Ministry of Education Key Lab for Intelligent Network and Network Security, Xi’an Jiaotong University",China,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,Ting Liu,Female,"Ministry of Education Key Lab for Intelligent Network and Network Security, Xi’an Jiaotong University",China,0,0,0,0,0,0,0,0,0,1,0,0,0,1
GAP: Forecasting commit activity in git projects,Commit Forecasting; Survival Analysis; Git Activity; Open Source Software; Developer Abandonment,Alexandre Decan,Male,"Software Engineering Lab, University of Mons, Belgium",Belgium,1,1,0,0,1,1,0,0,1,0,1,1,1,1
,,Eleni Constantinou,Female,"Software Engineering Lab, University of Mons, Belgium; Eindhoven University of Technology, Netherlands","Belgium, Netherlands",1,1,0,0,1,0,0,0,0,0,0,0,1,1
,,Tom Mens,Male,"Software Engineering Lab, University of Mons, Belgium",Belgium,1,0,0,1,0,0,1,0,0,1,0,0,1,1
,,Henrique Rocha,Male,"Lab On Reengineering (LORE - Ansymo), University of Antwerp, Belgium",Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Bug severity prediction using question-and-answer pairs from Stack Overflow,Bug Severity Prediction; Machine Learning; Stack Overflow Data; Bug Triaging; Software Maintenance,Youshuai Tan,Male,"College of Software, Harbin Engineering University, Harbin, China",China,0,0,0,0,0,1,0,0,1,0,0,0,1,0
,,Sijie Xu,Male,"College of Software, Harbin Engineering University, Harbin, China",China,0,0,0,0,0,0,0,0,0,0,1,0,1,0
,,Zhaowei Wang,Male,"School of Computer Science and Technology, Harbin Institute of Technology, Harbin, China",China,0,0,0,0,0,0,0,0,1,0,1,0,0,0
,,Tao Zhang,Male,"Faculty of Information Technology, Macau University of Science and Technology, Macao, China","Macao, China",1,0,0,0,0,0,0,0,0,1,0,0,0,0
,,Zhou Xu,Male,"School of Big Data and Software Engineering, Chongqing University, Chongqing, China",China,0,1,0,0,0,0,0,0,0,0,0,0,0,1
,,Xiapu Luo,Male,"Department of Computing, Hong Kong Polytechnic University, Hong Kong, China",China,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Systematic literature review of empirical studies on mental representations of programs,Program Comprehension; Mental Representations; Empirical Studies in Programming; Programming Languages; Psychology of Programming,Leah Bidlake,Female,"Faculty of Computer Science, University of New Brunswick, 550 Windsor St, Fredericton, NB, Canada",Canada,1,1,1,0,1,1,0,0,0,0,0,1,1,1
,,Eric Aubanel,Male,"Faculty of Computer Science, University of New Brunswick, 550 Windsor St, Fredericton, NB, Canada",Canada,1,0,0,0,0,1,0,0,0,0,0,0,0,1
,,Daniel Voyer,Male,"Department of Psychology, University of New Brunswick, Canada",Canada,1,0,0,0,0,1,0,0,0,0,0,0,0,1
Inner source software development: Current thinking and an agenda for future research,Open Source Software; Inner Source Development; Systematic Literature Review; Management Challenges; Research Agenda,Henry Edison,Male,"Lero, National University of Ireland Galway",Ireland,0,1,0,0,1,1,0,0,0,0,0,0,1,0
,,Noel Carroll,Male,"Lero, National University of Ireland Galway",Ireland,0,0,0,0,1,0,0,0,0,0,0,0,0,1
,,Lorraine Morgan,Female,"Lero, National University of Ireland Galway",Ireland,1,0,0,0,1,0,0,0,0,0,0,0,0,1
,,Kieran Conboy,Male,"Lero, National University of Ireland Galway",Ireland,0,0,0,0,1,0,0,0,0,1,0,0,0,1
Formal analysis and verification of the PSTM architecture using CSP,Formal Verification; Software Architecture; CSP; Model Checking; Software Transactional Memory,Ailun Liu,Male,"Shanghai Key Laboratory of Trustworthy Computing, MOE International Joint Laboratory of Trustworthy Software, International Research Center of Trustworthy Software, East China Normal University",China,0,0,1,0,0,1,0,0,0,0,0,0,0,0
,,Huibiao Zhu,Male,"Shanghai Key Laboratory of Trustworthy Computing, MOE International Joint Laboratory of Trustworthy Software, International Research Center of Trustworthy Software, East China Normal University",China,0,0,1,0,0,1,0,0,0,0,0,0,0,0
,,Miroslav Popovic,Male,The University of Novi Sad,Serbia,0,0,1,0,0,0,0,0,0,0,0,0,0,0
,,Shuangqing Xiang,Male,"Shanghai Key Laboratory of Trustworthy Computing, MOE International Joint Laboratory of Trustworthy Software, International Research Center of Trustworthy Software, East China Normal University",China,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,,Lei Zhang,Male,"Shanghai Key Laboratory of Multidimensional Information Processing, East China Normal University",China,0,0,0,0,0,1,0,0,0,0,0,0,0,0
