Paper Title,Study Domain Terms,Author Name,Gender,Affiliation,Country,Conceptualization,Data Curation,Formal Analysis,Funding Acquisition,Investigation,Methodology,Project Administration,Resources,Software,Supervision,Validation,Visualization,Writing – Original Draft,Writing – Review & Editing
Deep learning application on code clone detection: A review of current knowledge,"Code quality, code clone detection, bad smells, deep learning, maintainability",Maggie Lei,Female,"Computer Science and Engineering, Oakland University, Rochester, MI, 48309, United States",United States,1,0,0,0,1,1,0,0,0,0,0,0,1,0
,,Hao Li,Male,"Computer Science and Engineering, Oakland University, Rochester, MI, 48309, United States",United States,0,0,0,0,1,0,0,0,0,0,0,0,1,0
,,Ji Li,Male,"Computer Science and Engineering, Oakland University, Rochester, MI, 48309, United States",United States,0,0,0,0,1,0,0,0,0,0,0,0,1,0
,,Namrata Aundhkar,Female,"Computer Science and Engineering, Oakland University, Rochester, MI, 48309, United States",United States,0,0,0,0,1,0,0,0,0,0,0,0,0,1
,,Dae-Kyoo Kim,Male,"Computer Science and Engineering, Oakland University, Rochester, MI, 48309, United States",United States,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Developers’ need for the rationale of code commits: An in-breadth and in-depth study,"Software Engineering, Code Commits, Rationale, Documentation, Mixed Methods",Khadijah Al Safwan,Female,"Department of Computer Science, Virginia Tech, Blacksburg, Virginia, United States of America",United States,1,1,1,0,1,1,1,1,0,1,1,1,1,1
,,Mohammed Elarnaoty,Male,"Department of Computer Science, Virginia Tech, Blacksburg, Virginia, United States of America, Cairo University, Giza, Egypt","United States, Egypt",0,1,1,0,1,1,0,0,0,0,1,1,1,1
,,Francisco Servant,Male,"Universidad Rey Juan Carlos, Madrid, Spain, Department of Computer Science, Virginia Tech, Blacksburg, Virginia, United States of America","Spain, United States",1,1,1,1,0,1,1,0,0,1,1,1,1,1
EdgeWorkflow: One click to test and deploy your workflow applications to the edge,"Smart systems, edge computing, workflow management, resource optimization, task scheduling",Jia Xu,Male,"School of Computer Science and Technology, Anhui University",China,1,1,1,0,1,1,0,1,1,0,1,1,1,1
,,Ran Ding,Male,"School of Computer Science and Technology, Anhui University",China,0,1,1,0,1,0,0,1,1,0,1,1,1,1
,,Xiao Liu,Male,"School of Information Technology, Deakin University",Australia,0,0,1,0,1,0,1,1,0,1,1,0,0,1
,,Xuejun Li,Male,"School of Computer Science and Technology, Anhui University",China,0,0,1,0,1,0,1,1,0,1,1,0,0,1
,,John Grundy,Male,"Faculty of Information Technology, Monash University",Australia,0,0,1,0,1,0,0,1,0,0,1,0,0,1
,,Yun Yang,Male,"Department of Computing Technologies, Swinburne University of Technology",Australia,0,0,1,0,1,0,0,1,0,0,1,0,0,1
Emotimonitor: A Trello power-up to capture and monitor emotions of Agile teams✩,"Agile, Trello, Emotional monitoring, Teams, Visualization",Mohammed-Amr Abd El-Migid,Male,"Monash University, Melbourne, Australia",Australia,0,0,0,0,1,0,0,0,1,0,0,0,1,0
,,Damon Cai,Male,"Monash University, Melbourne, Australia",Australia,0,0,0,0,1,0,0,0,1,0,0,0,1,0
,,Thomas Niven,Male,"Monash University, Melbourne, Australia",Australia,0,0,0,0,1,0,0,0,1,0,0,0,1,0
,,Jeffrey Vo,Male,"Monash University, Melbourne, Australia",Australia,0,0,0,0,1,0,0,0,1,0,0,0,1,0
,,Kashumi Madampe,Female,"Monash University, Melbourne, Australia",Australia,1,1,0,0,0,1,1,0,0,1,0,0,0,1
,,John Grundy,Male,"Monash University, Melbourne, Australia",Australia,1,0,0,0,0,0,0,0,0,1,0,0,0,1
,,Rashina Hoda,Female,"Monash University, Melbourne, Australia",Australia,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Estimating the potential of program repair search spaces with commit analysis,"Program repair, commit analysis, GitHub, repair strategy, static analysis",Khashayar Etemadi,Male,KTH Royal Institute of Technology,Sweden,0,1,0,0,1,1,0,0,1,0,0,0,1,0
,,Niloofar Tarighat,Female,Sharif University of Technology,Iran,0,1,0,0,1,0,0,0,1,0,0,0,0,0
,,Siddharth Yadav,Male,Indraprastha Institute of Information Technology Delhi,India,0,1,0,0,1,0,0,0,1,0,0,0,1,0
,,Matias Martinez,Male,Université Polytechnique Hauts-de-France,France,1,0,0,0,0,1,0,0,0,1,0,0,0,1
,,Martin Monperrus,Male,KTH Royal Institute of Technology,Sweden,1,0,0,0,0,1,0,0,0,1,0,0,0,1
Evaluating the layout quality of UML class diagrams using machine learning,"UML, Class Diagram, Machine Learning, Layout Quality, Image Processing",Gustav Bergström,Male,"Chalmers, Gothenburg University, Sweden",Sweden,0,1,1,0,1,0,0,0,0,0,1,0,1,0
,,Fadhl Hujainah,Male,"Chalmers, Gothenburg University, Sweden; Volvo Car Corporation, Sweden",Sweden,0,1,1,0,0,0,0,0,0,0,0,0,0,1
,,Truong Ho-Quang,Male,"Chalmers, Gothenburg University, Sweden; Volvo Car Corporation, Sweden",Sweden,0,1,1,0,0,0,0,0,0,0,0,0,1,0
,,Rodi Jolak,Male,"Chalmers, Gothenburg University, Sweden; Volvo Car Corporation, Sweden",Sweden,0,1,1,0,0,0,0,0,0,0,0,0,1,0
,,Satrio Adi Rukmono,Male,"Eindhoven University of Technology, The Netherlands; Institut Teknologi Bandung, Indonesia","Netherlands, Indonesia",0,0,1,0,0,0,0,0,0,0,0,1,0,1
,,Arif Nurwidyantoro,Male,"Monash University, Melbourne, Australia",Australia,0,0,1,0,1,0,0,0,0,0,0,0,0,1
,,Michel R.V. Chaudron,Male,"Chalmers, Gothenburg University, Sweden; Eindhoven University of Technology, The Netherlands","Sweden, Netherlands",0,1,0,1,0,0,1,0,0,1,1,0,1,0
Exploiting gated graph neural network for detecting and explaining self-admitted technical debts,"SATD, Gated Graph Neural Network, Technical Debt, Software Maintenance, Hybrid Attention-Based",Jiaojiao Yu,Female,"School of Computer Science, Wuhan University, Wuhan, China",China,0,1,0,0,0,1,0,0,0,0,0,0,1,0
,,Kunsong Zhao,Male,"School of Computer Science, Wuhan University, Wuhan, China",China,0,0,0,0,0,1,0,0,1,0,0,1,0,0
,,Jin Liu,Male,"School of Computer Science, Wuhan University, Wuhan, China",China,0,0,0,0,0,0,1,0,0,1,0,0,0,0
,,Xiao Liu,Male,"School of Information Technology, Deakin University, Geelong, Australia",Australia,1,0,0,0,0,0,0,0,0,0,0,0,0,1
,,Zhou Xu,Male,"School of Big Data and Software Engineering, Chongqing University, Chongqing, China",China,0,0,1,0,0,0,0,0,0,0,0,0,0,0
,,Xin Wang,Male,"School of Computer Science, Wuhan University, Wuhan, China",China,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Exploring factors and metrics to select open source software components for integration: An empirical study,"Open Source Software, OSS selection, Metrics, APIs, GitHub",Xiaozhou Li,Male,Tampere University,Finland,0,0,1,0,1,0,0,0,1,0,0,1,1,0
,,Sergio Moreschini,Male,Tampere University,Finland,0,0,1,0,1,0,0,0,1,0,0,1,1,0
,,Zheying Zhang,Female,Tampere University,Finland,1,0,0,0,1,0,0,0,0,0,0,0,0,1
,,Davide Taibi,Male,Tampere University,Finland,1,0,0,1,0,1,0,0,0,1,0,0,0,1
Exploring multi-programming-language commits and their impacts on software quality: An empirical study on Apache projects,"Multi-programming, Software quality, Apache projects, Development difficulty, Software bug-proneness",Zengyang Li,Male,"School of Computer Science & Hubei Provincial Key Laboratory of Artificial Intelligence and Smart Learning, Central China Normal University",China,1,1,0,0,1,1,0,0,0,0,0,0,1,0
,,Xiaoxiao Qi,Female,"School of Computer Science & Hubei Provincial Key Laboratory of Artificial Intelligence and Smart Learning, Central China Normal University",China,0,1,0,0,1,0,0,0,1,0,0,0,1,0
,,Qinyi Yu,Female,"School of Computer Science & Hubei Provincial Key Laboratory of Artificial Intelligence and Smart Learning, Central China Normal University",China,0,1,0,0,1,0,0,0,1,0,0,0,0,0
,,Peng Liang,Male,"School of Computer Science, Wuhan University",China,1,0,0,0,0,1,0,0,0,0,0,0,1,0
,,Ran Mo,Male,"School of Computer Science & Hubei Provincial Key Laboratory of Artificial Intelligence and Smart Learning, Central China Normal University",China,0,0,0,0,0,1,0,0,0,0,0,0,1,0
,,Chen Yang,Male,"School of Artificial Intelligence, Shenzhen Polytechnic, State Key Laboratory for Novel Software Technology, Nanjing University",China,0,0,0,0,0,1,0,0,0,0,0,0,1,0
Factors affecting Agile adoption: An industry research study of the mobile app sector in Saudi Arabia,"Agile, adoption, software, human factors, SMEs",Fahad S. Altuwaijri,Male,"a) School of Computing and Communications, Lancaster University, UK; b) Department of Information Technology, College of Computer, Qassim University, Saudi Arabia","UK, Saudi Arabia",1,0,1,0,1,1,1,0,0,0,0,1,1,1
,,Maria Angela Ferrario,Female,"c) School of Electronics, Electrical Engineering and Computer Science, Queen’s University, Belfast, UK",UK,1,0,0,0,0,1,1,0,0,1,0,0,0,1
Fault localization using function call frequencies,"Fault localization, Spectrum-Based Fault Localization (SBFL), function call frequencies, Defects4J, software debugging",Béla Vancsics,Male,"Department of Software Engineering, University of Szeged",Hungary,1,0,1,0,1,1,0,0,1,0,1,0,1,1
,,Ferenc Horváth,Male,"Department of Software Engineering, University of Szeged",Hungary,0,0,1,0,1,1,0,1,1,0,0,0,1,1
,,Attila Szatmári,Male,"Department of Software Engineering, University of Szeged",Hungary,0,0,0,0,0,1,0,0,0,0,0,0,1,0
,,Árpád Beszédes,Male,"Department of Software Engineering, University of Szeged",Hungary,0,0,0,0,0,1,0,0,0,1,0,0,0,1
Fuzzing with automatically controlled interleavings to detect concurrency bugs,"concurrency, thread interleaving, static analysis, dynamic fuzzing, vulnerabilities",Youngjoo Ko,Male,"Pohang University of Science and Technology, Pohang, South Korea",South Korea,1,0,0,0,0,1,0,0,1,0,0,0,1,0
,,Bin Zhu,Male,"Microsoft Research in Asia, Beijing, China",China,0,0,0,0,1,1,0,0,0,1,0,0,0,1
,,Jong Kim,Male,"Pohang University of Science and Technology, Pohang, South Korea",South Korea,0,0,0,0,0,0,0,0,0,1,1,0,0,1
"GitHub repositories with links to academic papers: Public access, traceability, and evolution✩","Traceability, GitHub, academic papers, access, evolution",Supatsara Wattanakriengkrai,Female,Nara Institute of Science and Technology,Japan,0,1,0,0,1,0,0,0,0,0,1,0,1,0
,,Bodin Chinthanet,Male,Nara Institute of Science and Technology,Japan,0,1,0,0,1,0,0,0,0,0,0,0,1,0
,,Hideaki Hata,Male,Shinshu University,Japan,1,0,0,0,0,0,0,0,0,0,1,0,0,1
,,Raula Gaikovina Kula,Male,Nara Institute of Science and Technology,Japan,0,0,0,0,0,0,0,0,0,0,1,0,0,1
,,Christoph Treude,Male,University of Melbourne,Australia,1,0,0,0,0,1,0,0,0,0,0,0,0,1
,,Jin Guo,Female,McGill University,Canada,1,0,0,0,0,1,0,0,0,0,0,0,0,1
,,Kenichi Matsumoto,Male,Nara Institute of Science and Technology,Japan,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Graph4Web: A relation-aware graph attention network for web service classification,"software reuse, web service classification, relation-aware graph, syntactic information, service-oriented architecture",Kunsong Zhao,Male,"School of Computer Science, Wuhan University",China,0,1,0,0,0,1,0,0,1,0,0,0,1,0
,,Jin Liu,Male,"School of Computer Science, Wuhan University",China,0,0,0,0,0,0,1,0,0,1,0,0,0,0
,,Zhou Xu,Male,"Key Laboratory of Dependable Service Computing in Cyber Physical Society (Chongqing University), School of Big Data and Software Engineering, Chongqing University",China,0,0,0,0,0,1,0,0,0,0,0,1,0,0
,,Xiao Liu,Male,"School of Information Technology, Deakin University",Australia,1,0,0,0,0,0,0,0,0,0,0,0,0,1
,,Lei Xue,Male,"Department of Computing, The Hong Kong Polytechnic University",China,0,0,1,0,0,0,0,0,0,0,0,0,0,0
,,Zhiwen Xie,Male,"School of Computer Science, Wuhan University",China,0,0,0,0,0,0,0,0,1,0,0,0,0,0
,,Yuxuan Zhou,Male,"College of Engineering and Computer Science, Syracuse University",USA,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,Xin Wang,Male,"School of Computer Science, Wuhan University",China,0,0,0,0,0,0,0,0,0,0,0,0,0,1
GT-SimNet: Improving code automatic summarization via multi-modal similarity networks,"code summarization, multi-modal similarity, semantic modelling, API dependency graph, feature fusion",Xuejian Gao,Male,"Shandong Provincial Key Laboratory for Distributed Computer Software Novel Technology, School of Information Science and Engineering, Shandong Normal University",China,0,0,0,0,0,1,0,0,0,0,0,0,1,0
,,Xue Jiang,Female,"Shandong Provincial Key Laboratory for Distributed Computer Software Novel Technology, School of Information Science and Engineering, Shandong Normal University",China,1,1,0,0,0,0,0,0,0,0,0,0,0,0
,,Qiong Wu,Female,"Shandong Provincial Key Laboratory for Distributed Computer Software Novel Technology, School of Information Science and Engineering, Shandong Normal University",China,0,0,1,0,1,0,0,0,0,0,0,0,0,0
,,Xiao Wang,Male,"Shandong Provincial Key Laboratory for Distributed Computer Software Novel Technology, School of Information Science and Engineering, Shandong Normal University",China,0,0,0,0,1,0,0,0,0,0,0,1,0,0
,,Chen Lyu,Male,"Shandong Provincial Key Laboratory for Distributed Computer Software Novel Technology, School of Information Science and Engineering, Shandong Normal University",China,0,0,0,0,0,0,0,0,0,1,0,0,0,1
,,Lei Lyu,Male,"Shandong Provincial Key Laboratory for Distributed Computer Software Novel Technology, School of Information Science and Engineering, Shandong Normal University",China,0,0,0,0,0,0,0,1,0,0,1,0,0,0
Hierarchical semantic-aware neural code representation✩,"Code representation, Program comprehension, Tree-LSTM, Semantic graph, DFS-based method",Yuan Jiang,Male,"School of Computer Science and Technology, Harbin Institute of Technology",China,1,1,1,0,0,1,0,0,1,0,0,0,1,1
,,Xiaohong Su,Male,"School of Computer Science and Technology, Harbin Institute of Technology",China,0,0,0,1,0,0,1,1,0,1,0,0,1,1
,,Christoph Treude,Male,"School of Computing and Information Systems, University of Melbourne",Australia,0,0,0,0,1,0,0,0,1,0,0,1,1,0
,,Tiantian Wang,Female,"School of Computer Science and Technology, Harbin Institute of Technology",China,0,0,0,0,0,0,0,0,0,0,1,0,0,1
How are framework code samples maintained and used by developers? The case of Android and Spring Boot,"Software frameworks, code samples, code evolution, automated build tools, Stack Overflow",Gabriel Menezes,Male,"Faculty of Computing, UFMS",Brazil,1,0,0,0,0,1,0,0,1,0,0,1,1,1
,,Bruno Cafeo,Male,"Faculty of Computing, UFMS",Brazil,1,0,0,0,0,1,0,0,0,0,1,0,1,1
,,Andre Hora,Male,"Department of Computer Science, UFMG",Brazil,1,0,0,0,0,1,0,0,0,0,1,0,1,1
How has design thinking being used and integrated into software development activities? A systematic mapping,"Design Thinking, Software Development, Systematic Mapping, Models, Techniques",Rafael Parizi,Male,Pontifical Catholic University of Rio Grande do Sul - PUCRS,Brazil,1,0,0,0,1,1,0,0,0,0,0,1,1,0
,,Matheus Prestes,Male,Pontifical Catholic University of Rio Grande do Sul - PUCRS,Brazil,1,0,0,0,1,1,0,0,0,0,0,0,1,0
,,Sabrina Marczak,Female,Pontifical Catholic University of Rio Grande do Sul - PUCRS,Brazil,1,0,0,0,0,0,0,0,0,1,0,0,0,1
,,Tayana Conte,Female,Federal University of Amazonas - UFAM,Brazil,1,0,0,0,0,0,0,0,0,1,0,0,0,1
How secondary school girls perceive Computational Thinking practices through collaborative programming with the micro,"Computational Thinking, Collaborative Programming, Micro
, Mixed-methods, Secondary School Education",Mojtaba Shahin,Male,"Monash University, Australia",Australia,1,0,1,0,1,1,0,0,0,0,1,0,1,1
,,Christabel Gonsalvez,Female,"Monash University, Australia",Australia,1,0,0,1,1,1,1,0,0,1,1,0,0,1
,,Jon Whittle,Male,"CSIRO’s Data61, Australia",Australia,1,0,0,1,0,0,1,0,0,1,0,0,0,1
,,Chunyang Chen,Male,"Monash University, Australia",Australia,1,0,0,0,0,1,0,0,0,1,0,0,0,1
,,Li Li,Male,"Monash University, Australia",Australia,1,0,0,0,0,1,0,0,0,1,0,0,0,1
,,Xin Xia,Male,"Monash University, Australia",Australia,1,0,0,0,0,1,0,0,0,1,0,0,0,1
HUNTER: AI based holistic resource management for sustainable cloud computing,"Cloud computing, AI, Energy efficiency, Resource management, Scheduling optimization",Shreshth Tuli,Male,"Department of Computing, Imperial College London",UK,1,1,1,0,1,1,0,0,1,0,1,1,1,0
,,Sukhpal Singh Gill,Male,"School of Electronic Engineering and Computer Science, Queen Mary University of London",UK,1,1,1,0,1,1,0,0,1,0,1,1,1,0
,,Minxian Xu,Male,"Shenzhen Institutes of Advanced Technology, Chinese Academy of Sciences",China,0,0,0,0,1,1,0,0,0,0,0,0,0,1
,,Peter Garraghan,Male,"School of Computing and Communications, Lancaster University",UK,1,1,0,0,0,0,0,0,0,0,0,0,0,1
,,Rami Bahsoon,Male,"School of Computer Science, University of Birmingham",UK,0,0,0,0,1,1,0,0,0,0,0,0,0,1
,,Schahram Dustdar,Male,"Distributed Systems Group, Vienna University of Technology",Austria,0,0,1,0,0,0,0,0,0,0,0,0,0,1
,,Rizos Sakellariou,Male,"Department of Computer Science, University of Manchester",UK,0,0,0,0,0,1,0,0,0,0,0,0,0,1
,,Omer Rana,Male,"School of Computer Science and Informatics, Cardiff University",UK,0,0,0,0,0,0,0,0,0,0,0,1,0,1
,,Rajkumar Buyya,Male,"Cloud Computing and Distributed Systems (CLOUDS) Laboratory, School of Computing and Information Systems, University of Melbourne",Australia,1,0,0,0,0,0,0,0,0,1,0,0,0,1
,,Giuliano Casale,Male,"Department of Computing, Imperial College London",UK,0,0,0,0,0,0,0,0,0,1,0,1,0,1
,,Nicholas R. Jennings,Male,"Department of Computing, Imperial College London; Loughborough University",UK,1,0,0,0,0,0,0,0,0,1,0,0,1,1
IADA: A dynamic interference-aware cloud scheduling architecture for latency-sensitive workloads,"Cloud computing, resource contention, performance degradation, scheduling architecture, latency-sensitive workloads",Vinícius Meyer,Male,Pontifical Catholic University of Rio Grande do Sul (PUCRS),Brazil,1,1,0,0,1,1,0,0,1,0,0,0,1,0
,,Matheus L. da Silva,Male,Pontifical Catholic University of Rio Grande do Sul (PUCRS),Brazil,0,0,0,0,0,0,0,0,0,0,1,0,0,1
,,Dionatrã F. Kirchoff,Male,Pontifical Catholic University of Rio Grande do Sul (PUCRS),Brazil,0,0,0,0,0,0,0,0,0,0,1,0,0,1
,,Cesar A.F. De Rose,Male,Pontifical Catholic University of Rio Grande do Sul (PUCRS),Brazil,1,0,0,0,0,1,0,0,0,1,1,0,0,0
Identification and measurement of Requirements Technical Debt in software development: A systematic literature review,"Requirements Technical Debt, Systematic Literature Review, Software Evolution, Metrics, Requirements Engineering",Ana Melo,Female,"University of Pernambuco, Recife, Brazil",Brazil,1,1,0,0,0,1,0,0,0,0,0,0,1,1
,,Roberta Fagundes,Female,"University of Pernambuco, Recife, Brazil",Brazil,0,0,1,0,0,0,0,0,0,0,0,0,0,1
,,Valentina Lenarduzzi,Female,"University of Oulu, Oulu, Finland",Finland,0,0,0,0,0,1,0,0,0,0,0,0,0,1
,,Wylliams Barbosa Santos,Male,"University of Pernambuco, Recife, Brazil",Brazil,0,0,1,0,0,0,0,0,0,1,0,0,0,1
Impact of individualism and collectivism cultural profiles on the behaviour of software developers: A study of Stack Overflow,"Culture, Behaviour, Software development, Team dynamics, Online communities",Elijah Zolduoarrati,Male,"Department of Information Science, University of Otago, Dunedin, New Zealand",New Zealand,1,1,0,0,0,1,0,0,0,0,0,0,1,0
,,Sherlock A. Licorish,Male,"Department of Information Science, University of Otago, Dunedin, New Zealand",New Zealand,1,1,0,0,0,0,0,0,0,1,1,0,0,1
,,Nigel Stanger,Male,"Department of Information Science, University of Otago, Dunedin, New Zealand",New Zealand,0,1,0,0,0,0,0,0,0,1,0,0,0,1
Infinite technical debt✩,"Technical Debt, Game Theory, Software Development, Tradeoffs, Maintenance",Melina Vidoni,Female,Australian National University,Australia,1,0,0,0,0,1,0,0,0,0,0,0,1,0
,,Zadia Codabux,Female,University of Saskatchewan,Canada,0,0,0,0,0,1,0,0,0,0,0,0,0,1
,,Fatemeh H. Fard,Female,University of British Columbia,Canada,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Is it a case study?—A critical analysis and guidance,"case study, small-scale evaluation, smell indicator, empirical study, guidelines",Claes Wohlin,Male,"Blekinge Institute of Technology, SE-371 79 Karlskrona, Sweden",Sweden,1,0,0,0,1,1,0,0,0,0,1,1,1,1
,,Austen Rainer,Male,"Queen’s University Belfast, 18 Malone Road, Computer Science Building, BT9 5BN, Belfast, Northern Ireland, UK","United Kingdom, Northern Ireland",1,0,0,0,1,1,0,0,0,0,1,1,1,1
Just-in-time software vulnerability detection: Are we there yet?,"Software vulnerabilities, Machine learning, Source code, Vulnerability detection, Ensemble algorithms",Francesco Lomio,Male,Tampere University,Finland,0,1,1,0,0,0,0,0,0,0,0,0,1,0
,,Emanuele Iannone,Male,"SeSa Lab — Department of Computer Science, University of Salerno",Italy,0,1,1,0,0,0,0,0,0,0,0,0,1,0
,,Andrea De Lucia,Male,"SeSa Lab — Department of Computer Science, University of Salerno",Italy,0,0,0,0,0,0,0,0,0,1,0,0,1,0
,,Fabio Palomba,Male,"SeSa Lab — Department of Computer Science, University of Salerno",Italy,1,0,0,0,0,1,0,0,0,0,0,0,1,0
,,Valentina Lenarduzzi,Female,"University of Oulu, Tampere University",Finland,1,0,0,0,0,1,0,0,0,0,0,0,1,0
Locating and categorizing inefficient communication patterns in HPC systems using inter-process communication traces,"HPC, Debugging, Inter-process communication, Statistical analysis, Trace segmentation",Luay Alawneh,Male,"Department of Software Engineering, Jordan University of Science & Technology, Irbid, Jordan",Jordan,1,0,0,0,0,1,0,0,1,0,1,0,0,1
,,Abdelwahab Hamou-Lhadj,Male,"Department of Electrical & Computer Engineering, Gina Cody School of Engineering and Computer Science, Concordia University, Montreal, Quebec, Canada",Canada,1,0,0,0,0,1,0,0,0,0,1,0,0,1
Mining user reviews of COVID contact-tracing apps: An exploratory analysis of nine European apps,"Software in society, app reviews, public health, app effectiveness, battery usage",Vahid Garousi,Male,"Queen’s University Belfast, Bahar Software Engineering Consulting Corporation",UK,1,1,0,0,1,1,1,0,0,0,1,1,1,0
,,David Cutting,Male,Queen’s University Belfast,UK,0,0,0,0,1,0,0,0,0,0,1,0,0,1
,,Michael Felderer,Male,"University of Innsbruck, Blekinge Institute of Technology","Austria, Sweden",0,0,0,0,1,0,0,0,0,0,1,0,0,1
Missing standard features compared with similar apps? A feature recommendation method based on the knowledge from user interface,"App feature analysis, UI testing, Topic modeling, Feature relationships, App market analysis",Yihui Wang,Male,"College of Computer Science and Technology, Jilin University, Key Laboratory of Symbolic Computation and Knowledge Engineering of Ministry of Education",China,1,0,0,0,0,1,0,0,1,0,0,0,1,0
,,Shanquan Gao,Male,"Colleague of Information Science and Engineering, Yanshan University",China,1,0,0,0,0,1,0,0,0,0,0,0,1,0
,,Xingtong Li,Male,"College of Computer Science and Technology, Jilin University, Key Laboratory of Symbolic Computation and Knowledge Engineering of Ministry of Education",China,0,0,0,0,1,0,0,0,0,0,1,0,0,0
,,Lei Liu,Male,"College of Computer Science and Technology, Jilin University, Key Laboratory of Symbolic Computation and Knowledge Engineering of Ministry of Education",China,0,1,0,0,0,0,0,0,0,0,0,0,0,0
,,Huaxiao Liu,Male,"College of Computer Science and Technology, Jilin University, Key Laboratory of Symbolic Computation and Knowledge Engineering of Ministry of Education",China,0,0,0,0,0,0,1,0,0,1,0,0,0,1
Modelling and executing IoT-enhanced business processes through BPMN and microservices,"IoT, BPMN, Microservices, Process Automation, Ontologies",Pedro Valderas,Male,Universitat Politècnica de València,Spain,1,0,0,0,1,0,0,0,1,0,1,0,1,0
,,Victoria Torres,Female,Universitat Politècnica de València,Spain,0,0,0,0,1,0,0,0,0,0,1,0,0,1
,,Estefanía Serral,Female,"KU Leuven, LIRIS",Belgium,0,0,0,0,1,0,0,0,0,0,1,0,0,1
Moderator factors of software security and performance verification✩,"Security, performance, verification, methodology, review",Victor Vidigal Ribeiro,Male,Federal University of Rio de Janeiro,Brazil,0,1,1,0,1,0,0,0,0,0,0,1,1,0
,,Daniela Soares Cruzes,Female,SINTEF DIGITAL,Norway,1,0,0,1,0,1,0,1,0,0,0,0,0,1
,,Guilherme Horta Travassos,Male,Federal University of Rio de Janeiro,Brazil,1,0,0,1,0,1,0,1,0,0,1,0,0,1
Multi-paradigm modeling for cyber–physical systems: A systematic mapping review,"Cyber–Physical Systems, Multi-Paradigm Modeling, Cross-Domain Expertise, Heterogeneous Systems, Model Integration",Ankica Barišić,Female,"Universite Cote d’Azur, CNRS, Inria, Sophia Antipolis, France; NOVA LINCS, University NOVA of Lisboa, Portugal","France, Portugal",1,1,1,0,1,1,1,0,0,1,1,1,1,1
,,Ivan Ruchkin,Male,"University of Pennsylvania, United States of America",USA,0,1,1,0,1,0,0,0,0,1,1,1,1,1
,,Dušan Savić,Male,"Faculty of Organizational Sciences, Belgrade, Serbia",Serbia,1,1,1,0,1,1,0,0,0,0,0,1,1,1
,,Mustafa Abshir Mohamed,Male,"Ege University, Izmir, Turkey",Turkey,0,1,1,0,1,0,0,0,0,0,1,1,1,1
,,Rima Al-Ali,Female,"Charles University, Prague, Czech Republic",Czech Republic,0,1,1,0,1,0,0,0,0,0,0,1,0,0
,,Letitia W. Li,Female,"FAST Labs, BAE Systems, United States of America",USA,0,1,1,0,1,0,0,0,0,0,0,1,0,1
,,Hana Mkaouar,Female,"LTCI, Telecom Paris, Institut Polytechnique de Paris, France",France,0,1,1,0,1,0,0,0,0,0,0,1,0,0
,,Raheleh Eslampanah,Female,"University of Antwerp and Flanders Make, Belgium",Belgium,0,1,1,0,1,0,0,0,0,0,0,1,1,0
,,Moharram Challenger,Male,"University of Antwerp and Flanders Make, Belgium",Belgium,0,1,1,0,1,0,0,0,0,0,0,1,1,0
,,Dominique Blouin,Female,"LTCI, Telecom Paris, Institut Polytechnique de Paris, France",France,0,1,1,0,1,0,0,0,0,0,1,1,1,0
,,Oksana Nikiforova,Female,"Riga Technical University, Riga, Latvia",Latvia,0,1,1,0,1,0,0,0,0,0,0,1,1,1
,,Antonio Cicchetti,Male,"Mälardalen University, Västerås, Sweden",Sweden,0,1,1,0,1,0,0,0,0,1,1,1,1,1
Mutation-based analysis of queueing network performance models,"Performance, Software Engineering, System Performance, Mutation Operators, Queueing Networks",Thomas Laurent,Male,Lero & University College Dublin,Ireland,1,0,0,0,1,1,0,0,1,0,1,1,1,0
,,Paolo Arcaini,Male,National Institute of Informatics,Japan,1,0,0,0,1,1,0,0,1,0,1,1,1,0
,,Catia Trubiani,Female,Gran Sasso Science Institute,Italy,1,0,0,0,1,1,0,0,1,0,1,1,1,0
,,Anthony Ventresque,Male,Lero & University College Dublin,Ireland,1,0,0,0,1,1,0,0,1,0,1,1,1,0
Mutation testing of PL/SQL programs✩,"Mutation testing, PL/SQL, mutant generation, automation, industrial case study",Arzu Behiye Tarımcı,Female,"Turkcell Technology, Istanbul, Turkey",Turkey,0,1,0,0,1,1,0,0,1,0,1,0,1,1
,,Hasan Sözer,Male,"Ozyegin University, Istanbul, Turkey",Turkey,1,0,0,0,0,0,0,0,0,1,0,0,1,1
On the benefits and problems related to using Definition of Done—A survey study✩,"Scrum, Agile, Definition of Done, Survey, Empirical study",Sylwia Kopczyńska,Female,"Poznan University of Technology, Institute of Computing Science",Poland,1,1,1,0,1,1,1,1,1,1,1,1,1,1
,,Mirosław Ochodek,Male,"Poznan University of Technology, Institute of Computing Science",Poland,1,1,1,0,0,1,0,1,1,0,0,1,1,1
,,Jakub Piechowiak,Male,"Poznan University of Technology, Institute of Computing Science",Poland,0,1,1,0,1,1,0,1,0,0,0,0,0,0
,,Jerzy Nawrocki,Male,"Poznan University of Technology, Institute of Computing Science",Poland,0,0,0,0,0,0,0,1,0,0,0,0,0,1
