Paper Title,Study Domain Terms,Author Name,Gender,gender_annotation,Affiliation,Country,Total Authors,Female Authors,Female_lead?,Male_lead?,local_Contribution?,national_collaboration?,International_collaboration?,Supervision,FemaleSupervision,MaleSupervision,Unique Institute Count
Signal-Based Properties of Cyber-Physical Systems: Taxonomy and Logic-based Characterization,,Yago Isasi Parache,Male,0.0,"LuxSpace SÃ rl, Luxembourg",Luxembourg,,,,,,,,0.0,0.0,0.0,
A comprehensive comparative study of clustering-based unsupervised defect prediction models,"Defect prediction, Clustering, Unsupervised learning, Software engineering, Performance evaluation",Zhou Xu,Male,0.0,"Key Laboratory of Dependable Service Computing in Cyber Physical Society (Chongqing University), Ministry of Education, China, School of Big Data and Software Engineering, Chongqing University, Chongqing, China",China,8.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0
A comprehensive comparative study of clustering-based unsupervised defect prediction models,,Li Li,Female,1.0,"Faculty of Information Technology, Monash University, Australia",Australia,,,,,,,,0.0,0.0,0.0,
A comprehensive comparative study of clustering-based unsupervised defect prediction models,,Meng Yan,Male,0.0,"Key Laboratory of Dependable Service Computing in Cyber Physical Society (Chongqing University), Ministry of Education, China, School of Big Data and Software Engineering, Chongqing University, Chongqing, China",China,,,,,,,,1.0,0.0,1.0,
A comprehensive comparative study of clustering-based unsupervised defect prediction models,,Jin Liu,Male,0.0,"School of Computer Science, Wuhan University, Wuhan, China",China,,,,,,,,1.0,0.0,1.0,
A comprehensive comparative study of clustering-based unsupervised defect prediction models,,Xiapu Luo,Male,0.0,"Department of Computing, The Hong Kong Polytechnic University, Hong Kong, China",Hong Kong,,,,,,,,0.0,0.0,0.0,
A comprehensive comparative study of clustering-based unsupervised defect prediction models,,John Grundy,Male,0.0,"Faculty of Information Technology, Monash University, Australia",Australia,,,,,,,,0.0,0.0,0.0,
A comprehensive comparative study of clustering-based unsupervised defect prediction models,,Yifeng Zhang,Male,0.0,"School of Computer Science, Wuhan University, Wuhan, China",China,,,,,,,,0.0,0.0,0.0,
A comprehensive comparative study of clustering-based unsupervised defect prediction models,,Xiaohong Zhang,Female,1.0,"Key Laboratory of Dependable Service Computing in Cyber Physical Society (Chongqing University), Ministry of Education, China, School of Big Data and Software Engineering, Chongqing University, Chongqing, China",China,,,,,,,,0.0,0.0,0.0,
How are issue reports discussed in Gitter chat rooms?,"Open source software development, Communication, Chat systems, Gitter, Issue reports",Hareem Sahar,Female,1.0,"University of Alberta, Edmonton, Canada",Canada,3.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
How are issue reports discussed in Gitter chat rooms?,,Abram Hindle,Male,0.0,"University of Alberta, Edmonton, Canada",Canada,,,,,,,,1.0,0.0,1.0,
How are issue reports discussed in Gitter chat rooms?,,Cor-Paul Bezemer,Male,0.0,"University of Alberta, Edmonton, Canada",Canada,,,,,,,,1.0,0.0,1.0,
Convolutional neural networks for enhanced classification mechanisms of metamodels,"Model-Driven Engineering, Metamodels, Classification, Convolutional neural networks, Supervised learning",Phuong T. Nguyen,Female,1.0,"UniversitÃ degli studi dellâ€™Aquila, 67100 Lâ€™Aquila, Italy",Italy,5.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0
Convolutional neural networks for enhanced classification mechanisms of metamodels,,Davide Di Ruscio,Male,0.0,"UniversitÃ degli studi dellâ€™Aquila, 67100 Lâ€™Aquila, Italy",Italy,,,,,,,,1.0,0.0,1.0,
Convolutional neural networks for enhanced classification mechanisms of metamodels,,Alfonso Pierantonio,Male,0.0,"UniversitÃ degli studi dellâ€™Aquila, 67100 Lâ€™Aquila, Italy",Italy,,,,,,,,1.0,0.0,1.0,
Convolutional neural networks for enhanced classification mechanisms of metamodels,,Juri Di Rocco,Male,0.0,"UniversitÃ degli studi dellâ€™Aquila, 67100 Lâ€™Aquila, Italy",Italy,,,,,,,,0.0,0.0,0.0,
Convolutional neural networks for enhanced classification mechanisms of metamodels,,Ludovico Iovino,Male,0.0,"Gran Sasso Science Institute, Italy",Italy,,,,,,,,0.0,0.0,0.0,
An automated model-based approach to repair test suites of evolving web applications,"Automated testing, Captureâ€“Replay tools, Test repair, Web applications, DOM coverage",Javaria Imtiaz,Female,1.0,"Quest Lab, Department of Computer Science, National University of Computer and Emerging Sciences, Islamabad, Pakistan",Pakistan,3.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0
An automated model-based approach to repair test suites of evolving web applications,,Muhammad Zohaib Iqbal,Male,0.0,"UAV Dependability Lab, National Center of Robotics and Automation (NCRA), Islamabad, Pakistan",Pakistan,,,,,,,,1.0,0.0,1.0,
An automated model-based approach to repair test suites of evolving web applications,,Muhammad Uzair Khan,Male,0.0,"UAV Dependability Lab, National Center of Robotics and Automation (NCRA), Islamabad, Pakistan",Pakistan,,,,,,,,0.0,0.0,0.0,
Does code quality affect pull request acceptance? An empirical study,"Code quality, Pull requests, Software maintenance, Machine learning, Case study",Valentina Lenarduzzi,Female,1.0,"LUT University, Lahti, Finland",Finland,4.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0
Does code quality affect pull request acceptance? An empirical study,,Vili Nikkola,Male,0.0,"Tampere University, Tampere, Finland",Finland,,,,,,,,0.0,0.0,0.0,
Does code quality affect pull request acceptance? An empirical study,,Nyyti SaarimÃ¤ki,Female,1.0,"Tampere University, Tampere, Finland",Finland,,,,,,,,0.0,0.0,0.0,
Does code quality affect pull request acceptance? An empirical study,,Davide Taibi,Male,0.0,"Tampere University, Tampere, Finland",Finland,,,,,,,,1.0,0.0,1.0,
A critical review on the evaluation of automated program repair systems,"Automated program repair, Evaluation metrics, Software engineering, Bug fixing, Patch generation",Kui Liu,Male,0.0,"College of Computer Science and Technology, Nanjing University of Aeronautics and Astronautics, China",China,7.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0
A critical review on the evaluation of automated program repair systems,,Li Li,Female,1.0,"Faculty of Information Technology, Monash University, Australia",Australia,,,,,,,,0.0,0.0,0.0,
A critical review on the evaluation of automated program repair systems,,Anil Koyuncu,Male,0.0,"Interdisciplinary Centre for Security, Reliability and Trust (SnT), University of Luxembourg, Luxembourg",Luxembourg,,,,,,,,1.0,0.0,1.0,
A critical review on the evaluation of automated program repair systems,,Dongsun Kim,Male,0.0,"School of Computer Science and Engineering, Kyungpook National University, South Korea",South Korea,,,,,,,,0.0,0.0,0.0,
A critical review on the evaluation of automated program repair systems,,Zhe Liu,Male,0.0,"College of Computer Science and Technology, Nanjing University of Aeronautics and Astronautics, China",China,,,,,,,,1.0,0.0,1.0,
A critical review on the evaluation of automated program repair systems,,Jacques Klein,Male,0.0,"Interdisciplinary Centre for Security, Reliability and Trust (SnT), University of Luxembourg, Luxembourg",Luxembourg,,,,,,,,1.0,0.0,1.0,
A critical review on the evaluation of automated program repair systems,,TegawendÃ© F. BissyandÃ©,Male,0.0,"Interdisciplinary Centre for Security, Reliability and Trust (SnT), University of Luxembourg, Luxembourg",Luxembourg,,,,,,,,1.0,0.0,1.0,
An evolutionary approach for generating software models: The case of Kromaia in Game Software Engineering,"Model-Driven Engineering, Game Development, Software Models, Evolutionary Model Generation, Statistical Analysis",Daniel Blasco,Male,0.0,"Universidad San Jorge. SVIT Research Group, AutovÃ­a A-23 Zaragoza-Huesca Km.299, 50830, Zaragoza, Spain",Spain,4.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0
An evolutionary approach for generating software models: The case of Kromaia in Game Software Engineering,,Jaime Font,Male,0.0,"Universidad San Jorge. SVIT Research Group, AutovÃ­a A-23 Zaragoza-Huesca Km.299, 50830, Zaragoza, Spain",Spain,,,,,,,,0.0,0.0,0.0,
An evolutionary approach for generating software models: The case of Kromaia in Game Software Engineering,,Mar Zamorano,Female,1.0,"Universidad San Jorge. SVIT Research Group, AutovÃ­a A-23 Zaragoza-Huesca Km.299, 50830, Zaragoza, Spain",Spain,,,,,,,,0.0,0.0,0.0,
An evolutionary approach for generating software models: The case of Kromaia in Game Software Engineering,,Carlos Cetina,Male,0.0,"Universidad San Jorge. SVIT Research Group, AutovÃ­a A-23 Zaragoza-Huesca Km.299, 50830, Zaragoza, Spain",Spain,,,,,,,,1.0,0.0,1.0,
Product metrics for spreadsheetsâ€”A systematic review,"Software metrics, Spreadsheets, Product metrics, Literature review, Development processes",Birgit Hofer,Female,1.0,"Department of Software Engineering, Graz University of Technology, Austria",Austria,5.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0
Product metrics for spreadsheetsâ€”A systematic review,,Dietmar Jannach,Male,0.0,"Department of Computer Science, University of Klagenfurt, Austria",Austria,,,,,,,,1.0,0.0,1.0,
Product metrics for spreadsheetsâ€”A systematic review,,Patrick Koch,Male,0.0,"Department of Computer Science, University of Klagenfurt, Austria",Austria,,,,,,,,0.0,0.0,0.0,
Product metrics for spreadsheetsâ€”A systematic review,,Konstantin Schekotihin,Male,0.0,"Department of Computer Science, University of Klagenfurt, Austria",Austria,,,,,,,,0.0,0.0,0.0,
Product metrics for spreadsheetsâ€”A systematic review,,Franz Wotawa,Male,0.0,"Department of Software Engineering, Graz University of Technology, Austria",Austria,,,,,,,,1.0,0.0,1.0,
"Accessibility in the mobile development industry in Brazil: Awareness, knowledge, adoption, motivations and barriers",Mobile Accessibility; Assistive Technologies; Accessibility Guidelines; Software Development Barriers; Digital Accessibility Awareness,Manoel Victor Rodrigues Leite,Male,0.0,"School of Arts, Sciences and Humanities, University of SÃ£o Paulo",Brazil,4.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0
"Accessibility in the mobile development industry in Brazil: Awareness, knowledge, adoption, motivations and barriers",,Lilian Passos Scatalon,Female,1.0,"School of Arts, Sciences and Humanities, University of SÃ£o Paulo",Brazil,,,,,,,,0.0,0.0,0.0,
"Accessibility in the mobile development industry in Brazil: Awareness, knowledge, adoption, motivations and barriers",,AndrÃ© Pimenta Freire,Male,0.0,Federal University of Lavras,Brazil,,,,,,,,0.0,0.0,0.0,
"Accessibility in the mobile development industry in Brazil: Awareness, knowledge, adoption, motivations and barriers",,Marcelo Medeiros Eler,Male,0.0,"School of Arts, Sciences and Humanities, University of SÃ£o Paulo",Brazil,,,,,,,,1.0,0.0,1.0,
GEML: A grammar-based evolutionary machine learning approach for design-pattern detection,"Software engineering, machine learning, evolutionary algorithms, design patterns, context-free grammar",Rafael Barbudo,Male,0.0,"Department of Computer Science and Numerical Analysis, University of CÃ³rdoba, 14071, CÃ³rdoba, Spain",Spain,4.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
GEML: A grammar-based evolutionary machine learning approach for design-pattern detection,,Aurora RamÃ­rez,Female,1.0,"Department of Computer Science and Numerical Analysis, University of CÃ³rdoba, 14071, CÃ³rdoba, Spain",Spain,,,,,,,,0.0,0.0,0.0,
GEML: A grammar-based evolutionary machine learning approach for design-pattern detection,,Francisco Servant,Male,0.0,"Department of Computer Science, Virginia Tech, VA 24060, Blacksburg, USA",USA,,,,,,,,0.0,0.0,0.0,
GEML: A grammar-based evolutionary machine learning approach for design-pattern detection,,JosÃ© RaÃºl Romero,Male,0.0,"Department of Computer Science and Numerical Analysis, University of CÃ³rdoba, 14071, CÃ³rdoba, Spain",Spain,,,,,,,,1.0,0.0,1.0,
Code smell detection by deep direct-learning and transfer-learning,"Code smell, deep learning, transfer learning, machine learning, autoencoder",Tushar Sharma,Male,0.0,"Siemens Technology, Charlotte, USA",USA,4.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
Code smell detection by deep direct-learning and transfer-learning,,Vasiliki Efstathiou,Female,1.0,"Athens University of Economics and Business, Athens, Greece",Greece,,,,,,,,0.0,0.0,0.0,
Code smell detection by deep direct-learning and transfer-learning,,Panos Louridas,Male,0.0,"Athens University of Economics and Business, Athens, Greece",Greece,,,,,,,,1.0,0.0,1.0,
Code smell detection by deep direct-learning and transfer-learning,,Diomidis Spinellis,Male,0.0,"Athens University of Economics and Business, Athens, Greece",Greece,,,,,,,,1.0,0.0,1.0,
How to kill them all: An exploratory study on the impact of code observability on mutation testing,"Mutation testing, test quality, software engineering, refactoring, testability",Qianqian Zhu,Female,1.0,Delft University of Technology,Netherlands,3.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
How to kill them all: An exploratory study on the impact of code observability on mutation testing,,Andy Zaidman,Male,0.0,Delft University of Technology,Netherlands,,,,,,,,1.0,0.0,1.0,
How to kill them all: An exploratory study on the impact of code observability on mutation testing,,Annibale Panichella,Male,0.0,Delft University of Technology,Netherlands,,,,,,,,1.0,0.0,1.0,
Requirements engineering challenges and practices in large-scale agile system development,"Agile methods, Requirements engineering, Large-scale systems, SAFeÂ®, LeSS",Rashidah Kasauli,Female,1.0,"Department of Computer Science and Engineering, Chalmers â€” University of Gothenburg",Sweden,5.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
Requirements engineering challenges and practices in large-scale agile system development,,Eric Knauss,Male,0.0,"Department of Computer Science and Engineering, Chalmers â€” University of Gothenburg",Sweden,,,,,,,,1.0,0.0,1.0,
Requirements engineering challenges and practices in large-scale agile system development,,Jennifer Horkoff,Female,1.0,"Department of Computer Science and Engineering, Chalmers â€” University of Gothenburg",Sweden,,,,,,,,0.0,0.0,0.0,
Requirements engineering challenges and practices in large-scale agile system development,,Grischa Liebel,Male,0.0,"School of Computer Science, Reykjavik University",Iceland,,,,,,,,0.0,0.0,0.0,
Requirements engineering challenges and practices in large-scale agile system development,,Francisco Gomes de Oliveira Neto,Male,0.0,"Department of Computer Science and Engineering, Chalmers â€” University of Gothenburg",Sweden,,,,,,,,0.0,0.0,0.0,
Mining Architecture Tactics and Quality Attributes knowledge in Stack Overflow,"Architecture tactics, Quality attributes, Mining, Stack Overflow, Software design",Tingting Bi,Female,1.0,"School of Computer Science, Wuhan University, Wuhan, China; Faculty of Information Technology, Monash University, Melbourne, Australia","China, Australia",4.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0
Mining Architecture Tactics and Quality Attributes knowledge in Stack Overflow,,Peng Liang,Male,0.0,"School of Computer Science, Wuhan University, Wuhan, China",China,,,,,,,,1.0,0.0,1.0,
Mining Architecture Tactics and Quality Attributes knowledge in Stack Overflow,,Antony Tang,Male,0.0,"Faculty of Science, Engineering and Technology, Swinburne University of Technology, Melbourne, Australia; Software and Services Research Group, Vrije Universiteit Amsterdam, Netherlands","Australia, Netherlands",,,,,,,,1.0,0.0,1.0,
Mining Architecture Tactics and Quality Attributes knowledge in Stack Overflow,,Xin Xia,Male,0.0,"Faculty of Information Technology, Monash University, Melbourne, Australia",Australia,,,,,,,,1.0,0.0,1.0,
A qualitative analysis of themes in instant messaging communication of software developers,"software engineering, instant messaging, thematic analysis, communication, chat rooms",Camila Costa Silva,Female,1.0,University of Canterbury,New Zealand,3.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
A qualitative analysis of themes in instant messaging communication of software developers,,Matthias Galster,Male,0.0,University of Canterbury,New Zealand,,,,,,,,1.0,0.0,1.0,
A qualitative analysis of themes in instant messaging communication of software developers,,Fabian Gilson,Male,0.0,University of Canterbury,New Zealand,,,,,,,,1.0,0.0,1.0,
A sampling-based online Co-Location-Resistant Virtual Machine placement strategy,"VM placement, security, cloud IaaS, optimization, sampling",Marwa Thabet,Female,1.0,"University of Sousse, ISITCom, CES-Laboratory, University of Sfax",Tunisia,3.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0
A sampling-based online Co-Location-Resistant Virtual Machine placement strategy,,Brahim Hnich,Male,0.0,"Faculty of Sciences, University of Monastir, CES-Laboratory, University of Sfax",Tunisia,,,,,,,,1.0,0.0,1.0,
A sampling-based online Co-Location-Resistant Virtual Machine placement strategy,,Mouhebeddine Berrima,Male,0.0,"Department of Applied Natural Sciences, Applied College, Qassim University, LIPSIC, University of Tunis El Manar","Saudi Arabia, Tunisia",,,,,,,,1.0,0.0,1.0,
A software reliability growth model for imperfect debugging,"Software reliability, debugging, error fluctuation, testing, optimization",Yeu-Shiang Huang,Male,0.0,"Department of Industrial and Information Management, Center for Innovative FinTech Business Models, National Cheng Kung University",Taiwan,3.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,3.0
A software reliability growth model for imperfect debugging,,Kuei-Chen Chiu,Male,0.0,"Department of Finance, Shih Chien University (Kaohsiung Campus)",Taiwan,,,,,,,,0.0,0.0,0.0,
A software reliability growth model for imperfect debugging,,Wan-Ming Chen,Female,1.0,"Department of Industrial and Information Management, National Cheng Kung University",Taiwan,,,,,,,,0.0,0.0,0.0,
A user survey on the adoption of crowd-based software engineering instructional screencasts by the new generation of software developers,"software engineering, instructional screencasts, user survey, crowd-based documentation, how-to tutorial",Parisa Moslehi,Female,1.0,"Concordia University, Montreal, Canada",Canada,3.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0
A user survey on the adoption of crowd-based software engineering instructional screencasts by the new generation of software developers,,Juergen Rilling,Male,0.0,"Concordia University, Montreal, Canada",Canada,,,,,,,,1.0,0.0,1.0,
A user survey on the adoption of crowd-based software engineering instructional screencasts by the new generation of software developers,,Bram Adams,Male,0.0,"Queens University, Kingston, Canada",Canada,,,,,,,,1.0,0.0,1.0,
Agile methods used by traditional logistics companies and logistics start-ups: a systematic literature review,"Agile methods, Logistics, Start-ups, Systematic review, Innovation",Malena Zielske,Female,1.0,"Hamburg University of Applied Sciences, Lufthansa Industry Solutions GmbH & Co. KG",Germany,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0
Agile methods used by traditional logistics companies and logistics start-ups: a systematic literature review,,Tobias Held,Male,0.0,Hamburg University of Applied Sciences,Germany,,,,,,,,1.0,0.0,1.0,
An automated extract method refactoring approach to correct the long method code smell,"Code smells, Refactoring, Long method, Java, Graph analysis",Mahnoosh Shahidi,Female,1.0,Iran University of Science and Technology,Iran,3.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
An automated extract method refactoring approach to correct the long method code smell,,Mehrdad Ashtiani,Male,0.0,Iran University of Science and Technology,Iran,,,,,,,,1.0,0.0,1.0,
An automated extract method refactoring approach to correct the long method code smell,,Morteza Zakeri-Nasrabadi,Male,0.0,Iran University of Science and Technology,Iran,,,,,,,,1.0,0.0,1.0,
CIT-daily: A combinatorial interaction testing-based daily build process,"CIT, build processes, fault detection, configurable systems, t-way coverage",Hanefi Mercan,Male,0.0,Sabanci University,Turkey,6.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
CIT-daily: A combinatorial interaction testing-based daily build process,,Atakan Aytar,Male,0.0,Sabanci University,Turkey,,,,,,,,0.0,0.0,0.0,
CIT-daily: A combinatorial interaction testing-based daily build process,,Giray Coskun,Male,0.0,Sabanci University,Turkey,,,,,,,,0.0,0.0,0.0,
CIT-daily: A combinatorial interaction testing-based daily build process,,Dilara Mustecep,Female,1.0,Sabanci University,Turkey,,,,,,,,0.0,0.0,0.0,
CIT-daily: A combinatorial interaction testing-based daily build process,,GuÌˆlsuÌˆm Uzer,Female,1.0,Sabanci University,Turkey,,,,,,,,0.0,0.0,0.0,
CIT-daily: A combinatorial interaction testing-based daily build process,,Cemal Yilmaz,Male,0.0,Sabanci University,Turkey,,,,,,,,1.0,0.0,1.0,
Classifying crowdsourced mobile test reports with image features: An empirical study,"Crowdsourced testing, Mobile testing, Image features, Test report classification, Machine learning",Yuying Li,Female,1.0,"The State Key Laboratory for Novel Software Technology, Nanjing University",China,7.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
Classifying crowdsourced mobile test reports with image features: An empirical study,,Yang Feng,Male,0.0,"The State Key Laboratory for Novel Software Technology, Nanjing University",China,,,,,,,,0.0,0.0,0.0,
Classifying crowdsourced mobile test reports with image features: An empirical study,,Rui Hao,Male,0.0,"The State Key Laboratory for Novel Software Technology, Nanjing University",China,,,,,,,,0.0,0.0,0.0,
Classifying crowdsourced mobile test reports with image features: An empirical study,,Di Liu,Male,0.0,"The State Key Laboratory for Novel Software Technology, Nanjing University",China,,,,,,,,0.0,0.0,0.0,
Classifying crowdsourced mobile test reports with image features: An empirical study,,Chunrong Fang,Male,0.0,"The State Key Laboratory for Novel Software Technology, Nanjing University",China,,,,,,,,0.0,0.0,0.0,
Classifying crowdsourced mobile test reports with image features: An empirical study,,Zhenyu Chen,Male,0.0,"The State Key Laboratory for Novel Software Technology, Nanjing University",China,,,,,,,,0.0,0.0,0.0,
Classifying crowdsourced mobile test reports with image features: An empirical study,,Baowen Xu,Male,0.0,"The State Key Laboratory for Novel Software Technology, Nanjing University",China,,,,,,,,1.0,0.0,1.0,
Conformance assessment of Architectural Design Decisions on API endpoint designs derived from domain modelsâœ©,"Microservices, API design, DDD, conformance, automation",Apitchaka Singjai,Female,1.0,"University of Vienna, Faculty of Computer Science, Research Group Software Architecture",Austria,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
Conformance assessment of Architectural Design Decisions on API endpoint designs derived from domain modelsâœ©,,Uwe Zdun,Male,0.0,"University of Vienna, Faculty of Computer Science, Research Group Software Architecture",Austria,,,,,,,,1.0,0.0,1.0,
Deep learning application on code clone detection: A review of current knowledge,"Code quality, code clone detection, bad smells, deep learning, maintainability",Maggie Lei,Female,1.0,"Computer Science and Engineering, Oakland University, Rochester, MI, 48309, United States",United States,5.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
Deep learning application on code clone detection: A review of current knowledge,,Hao Li,Male,0.0,"Computer Science and Engineering, Oakland University, Rochester, MI, 48309, United States",United States,,,,,,,,0.0,0.0,0.0,
Deep learning application on code clone detection: A review of current knowledge,,Ji Li,Male,0.0,"Computer Science and Engineering, Oakland University, Rochester, MI, 48309, United States",United States,,,,,,,,0.0,0.0,0.0,
Deep learning application on code clone detection: A review of current knowledge,,Namrata Aundhkar,Female,1.0,"Computer Science and Engineering, Oakland University, Rochester, MI, 48309, United States",United States,,,,,,,,0.0,0.0,0.0,
Deep learning application on code clone detection: A review of current knowledge,,Dae-Kyoo Kim,Male,0.0,"Computer Science and Engineering, Oakland University, Rochester, MI, 48309, United States",United States,,,,,,,,1.0,0.0,1.0,
Estimating the potential of program repair search spaces with commit analysis,"Program repair, commit analysis, GitHub, repair strategy, static analysis",Khashayar Etemadi,Male,0.0,KTH Royal Institute of Technology,Sweden,5.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0
Estimating the potential of program repair search spaces with commit analysis,,Niloofar Tarighat,Female,1.0,Sharif University of Technology,Iran,,,,,,,,0.0,0.0,0.0,
Estimating the potential of program repair search spaces with commit analysis,,Siddharth Yadav,Male,0.0,Indraprastha Institute of Information Technology Delhi,India,,,,,,,,0.0,0.0,0.0,
Estimating the potential of program repair search spaces with commit analysis,,Matias Martinez,Male,0.0,UniversitÃ© Polytechnique Hauts-de-France,France,,,,,,,,1.0,0.0,1.0,
Estimating the potential of program repair search spaces with commit analysis,,Martin Monperrus,Male,0.0,KTH Royal Institute of Technology,Sweden,,,,,,,,1.0,0.0,1.0,
Exploiting gated graph neural network for detecting and explaining self-admitted technical debts,"SATD, Gated Graph Neural Network, Technical Debt, Software Maintenance, Hybrid Attention-Based",Jiaojiao Yu,Female,1.0,"School of Computer Science, Wuhan University, Wuhan, China",China,6.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0
Exploiting gated graph neural network for detecting and explaining self-admitted technical debts,,Kunsong Zhao,Male,0.0,"School of Computer Science, Wuhan University, Wuhan, China",China,,,,,,,,0.0,0.0,0.0,
Exploiting gated graph neural network for detecting and explaining self-admitted technical debts,,Jin Liu,Male,0.0,"School of Computer Science, Wuhan University, Wuhan, China",China,,,,,,,,1.0,0.0,1.0,
Exploiting gated graph neural network for detecting and explaining self-admitted technical debts,,Xiao Liu,Male,0.0,"School of Information Technology, Deakin University, Geelong, Australia",Australia,,,,,,,,0.0,0.0,0.0,
Exploiting gated graph neural network for detecting and explaining self-admitted technical debts,,Zhou Xu,Male,0.0,"School of Big Data and Software Engineering, Chongqing University, Chongqing, China",China,,,,,,,,0.0,0.0,0.0,
Exploiting gated graph neural network for detecting and explaining self-admitted technical debts,,Xin Wang,Male,0.0,"School of Computer Science, Wuhan University, Wuhan, China",China,,,,,,,,0.0,0.0,0.0,
Exploring factors and metrics to select open source software components for integration: An empirical study,"Open Source Software, OSS selection, Metrics, APIs, GitHub",Xiaozhou Li,Male,0.0,Tampere University,Finland,4.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
Exploring factors and metrics to select open source software components for integration: An empirical study,,Sergio Moreschini,Male,0.0,Tampere University,Finland,,,,,,,,0.0,0.0,0.0,
Exploring factors and metrics to select open source software components for integration: An empirical study,,Zheying Zhang,Female,1.0,Tampere University,Finland,,,,,,,,0.0,0.0,0.0,
Exploring factors and metrics to select open source software components for integration: An empirical study,,Davide Taibi,Male,0.0,Tampere University,Finland,,,,,,,,1.0,0.0,1.0,
"GitHub repositories with links to academic papers: Public access, traceability, and evolutionâœ©","Traceability, GitHub, academic papers, access, evolution",Supatsara Wattanakriengkrai,Female,1.0,Nara Institute of Science and Technology,Japan,7.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0
"GitHub repositories with links to academic papers: Public access, traceability, and evolutionâœ©",,Bodin Chinthanet,Male,0.0,Nara Institute of Science and Technology,Japan,,,,,,,,0.0,0.0,0.0,
"GitHub repositories with links to academic papers: Public access, traceability, and evolutionâœ©",,Hideaki Hata,Male,0.0,Shinshu University,Japan,,,,,,,,0.0,0.0,0.0,
"GitHub repositories with links to academic papers: Public access, traceability, and evolutionâœ©",,Raula Gaikovina Kula,Male,0.0,Nara Institute of Science and Technology,Japan,,,,,,,,0.0,0.0,0.0,
"GitHub repositories with links to academic papers: Public access, traceability, and evolutionâœ©",,Christoph Treude,Male,0.0,University of Melbourne,Australia,,,,,,,,0.0,0.0,0.0,
"GitHub repositories with links to academic papers: Public access, traceability, and evolutionâœ©",,Jin Guo,Female,1.0,McGill University,Canada,,,,,,,,0.0,0.0,0.0,
"GitHub repositories with links to academic papers: Public access, traceability, and evolutionâœ©",,Kenichi Matsumoto,Male,0.0,Nara Institute of Science and Technology,Japan,,,,,,,,1.0,0.0,1.0,
GT-SimNet: Improving code automatic summarization via multi-modal similarity networks,"code summarization, multi-modal similarity, semantic modelling, API dependency graph, feature fusion",Xuejian Gao,Male,0.0,"Shandong Provincial Key Laboratory for Distributed Computer Software Novel Technology, School of Information Science and Engineering, Shandong Normal University",China,6.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
GT-SimNet: Improving code automatic summarization via multi-modal similarity networks,,Xue Jiang,Female,1.0,"Shandong Provincial Key Laboratory for Distributed Computer Software Novel Technology, School of Information Science and Engineering, Shandong Normal University",China,,,,,,,,0.0,0.0,0.0,
GT-SimNet: Improving code automatic summarization via multi-modal similarity networks,,Qiong Wu,Female,1.0,"Shandong Provincial Key Laboratory for Distributed Computer Software Novel Technology, School of Information Science and Engineering, Shandong Normal University",China,,,,,,,,0.0,0.0,0.0,
GT-SimNet: Improving code automatic summarization via multi-modal similarity networks,,Xiao Wang,Male,0.0,"Shandong Provincial Key Laboratory for Distributed Computer Software Novel Technology, School of Information Science and Engineering, Shandong Normal University",China,,,,,,,,0.0,0.0,0.0,
