Paper Title,Study Domain Terms,Author Name,Gender,gender_annotation,Affiliation,UniqueInstituteCount,Country,UniqueCountryCount,Total Authors,Female Authors,Female_lead?,Male_lead?,local_Contribution?,national_collaboration?,International_collaboration?,FemaleLedLocalCollaboration,MaleLedLocalCollaboration,FemaleLedNationalCollaboration,MaleLedNationalCollaboration,FemaleLedInternationalCollaboration,MaleLedInternationalCollaboration
,,Juri Di Rocco,Male,0,"UniversitÃ  degli studi dellâ€™Aquila, 67100 Lâ€™Aquila, Italy",,Italy,,,,,,,,,0,0,0,0,0,0
,,Ludovico Iovino,Male,0,"Gran Sasso Science Institute, Italy",,Italy,,,,,,,,,0,0,0,0,0,0
An automated model-based approach to repair test suites of evolving web applications,"Automated testing, Captureâ€“Replay tools, Test repair, Web applications, DOM coverage",Javaria Imtiaz,Female,1,"Quest Lab, Department of Computer Science, National University of Computer and Emerging Sciences, Islamabad, Pakistan",2,Pakistan,1,3,1,1,0,0,1,0,0,0,1,0,0,0
,,Muhammad Zohaib Iqbal,Male,0,"UAV Dependability Lab, National Center of Robotics and Automation (NCRA), Islamabad, Pakistan",,Pakistan,,,,,,,,,0,0,0,0,0,0
,,Muhammad Uzair Khan,Male,0,"UAV Dependability Lab, National Center of Robotics and Automation (NCRA), Islamabad, Pakistan",,Pakistan,,,,,,,,,0,0,0,0,0,0
Legacy software migration based on timing contract aware real-time execution environments,"Embedded systems, Legacy code migration, Real-time systems, Timing enforcement, Binary translation",Irune Yarza,Female,1,"Ikerlan Technology Research Centre, Basque Research and Technology Alliance (BRTA), Arrasate-MondragÃ³n, Spain",3,Spain,2,6,2,1,0,0,0,1,0,0,0,0,1,0
,,Mikel Azkarate-askatsua,Male,0,"Ikerlan Technology Research Centre, Basque Research and Technology Alliance (BRTA), Arrasate-MondragÃ³n, Spain",,Spain,,,,,,,,,0,0,0,0,0,0
,,Peio Onaindia,Male,0,"Ikerlan Technology Research Centre, Basque Research and Technology Alliance (BRTA), Arrasate-MondragÃ³n, Spain",,Spain,,,,,,,,,0,0,0,0,0,0
,,Kim GrÃ¼ttner,Female,1,"OFFIS - Institute for Information Technology, Oldenburg, Germany",,Germany,,,,,,,,,0,0,0,0,0,0
,,Philipp Ittershagen,Male,0,"OFFIS - Institute for Information Technology, Oldenburg, Germany",,Germany,,,,,,,,,0,0,0,0,0,0
,,Wolfgang Nebel,Male,0,"C.v.O. UniversitÃ¤t Oldenburg, Oldenburg, Germany",,Germany,,,,,,,,,0,0,0,0,0,0
"A systematic literature review on Technical Debt prioritization: Strategies, processes, factors, and tools","Technical Debt, Software engineering, Prioritization strategies, Systematic literature review, Refactoring",Valentina Lenarduzzi,Female,1,"LUT University, Lathi, Finland",5,Finland,4,5,3,1,0,0,0,1,0,0,0,0,1,0
,,Terese Besker,Female,1,"Chalmers University of Technology, GÃ¶teborg, Sweden",,Sweden,,,,,,,,,0,0,0,0,0,0
,,Davide Taibi,Male,0,"Tampere University, Tampere, Finland",,Finland,,,,,,,,,0,0,0,0,0,0
,,Antonio Martini,Male,0,"University of Oslo, Oslo, Norway",,Norway,,,,,,,,,0,0,0,0,0,0
,,Francesca Arcelli Fontana,Female,1,"University of Milano-Bicocca, Milan, Italy",,Italy,,,,,,,,,0,0,0,0,0,0
Does code quality affect pull request acceptance? An empirical study,"Code quality, Pull requests, Software maintenance, Machine learning, Case study",Valentina Lenarduzzi,Female,1,"LUT University, Lahti, Finland",2,Finland,1,4,2,1,0,0,1,0,0,0,1,0,0,0
,,Vili Nikkola,Male,0,"Tampere University, Tampere, Finland",,Finland,,,,,,,,,0,0,0,0,0,0
,,Nyyti SaarimÃ¤ki,Female,1,"Tampere University, Tampere, Finland",,Finland,,,,,,,,,0,0,0,0,0,0
,,Davide Taibi,Male,0,"Tampere University, Tampere, Finland",,Finland,,,,,,,,,0,0,0,0,0,0
Assurance and certification of cyberâ€“physical systems: The AMASS open source ecosystem,"Cyber-physical systems, Assurance, Certification, Open source tools, System modelling",Jose Luis de la Vara,Male,0,"University of Castilla-La Mancha, Avda. EspaÃ±a s/n, 02071 Albacete, Spain",3,Spain,2,3,1,0,1,0,0,1,0,0,0,0,0,1
,,Alejandra Ruiz,Female,1,"Tecnalia Research & Innovation, Parque TecnolÃ³gico de Bizkaia, Edif. 700, 48160 Derio, Bizkaia, Spain",,Spain,,,,,,,,,0,0,0,0,0,0
,,GaÃ«l Blondelle,Male,0,"Eclipse Foundation, AnnastraÃŸe 46, 64673 Zwingenberg, Germany",,Germany,,,,,,,,,0,0,0,0,0,0
Interdisciplinary effects of technical debt in companies with mechatronic products â€” a qualitative study,"Technical debt, Mechatronics, Digitalization, Engineering, Interdisciplinary",Birgit Vogel-Heuser,Female,1,"Institute of Automation and Information Systems, Technische UniversitÃ¤t MÃ¼nchen, 85748 Garching b. MÃ¼nchen, Germany",1,Germany,1,2,1,1,0,1,1,0,1,0,1,0,0,0
,,Fandi Bi,Male,0,"Institute of Automation and Information Systems, Technische UniversitÃ¤t MÃ¼nchen, 85748 Garching b. MÃ¼nchen, Germany",,Germany,,,,,,,,,0,0,0,0,0,0
A critical review on the evaluation of automated program repair systems,"Automated program repair, Evaluation metrics, Software engineering, Bug fixing, Patch generation",Kui Liu,Male,0,"College of Computer Science and Technology, Nanjing University of Aeronautics and Astronautics, China",4,China,4,7,1,0,1,0,0,1,0,0,0,0,0,1
,,Li Li,Female,1,"Faculty of Information Technology, Monash University, Australia",,Australia,,,,,,,,,0,0,0,0,0,0
,,Anil Koyuncu,Male,0,"Interdisciplinary Centre for Security, Reliability and Trust (SnT), University of Luxembourg, Luxembourg",,Luxembourg,,,,,,,,,0,0,0,0,0,0
,,Dongsun Kim,Male,0,"School of Computer Science and Engineering, Kyungpook National University, South Korea",,South Korea,,,,,,,,,0,0,0,0,0,0
,,Zhe Liu,Male,0,"College of Computer Science and Technology, Nanjing University of Aeronautics and Astronautics, China",,China,,,,,,,,,0,0,0,0,0,0
,,Jacques Klein,Male,0,"Interdisciplinary Centre for Security, Reliability and Trust (SnT), University of Luxembourg, Luxembourg",,Luxembourg,,,,,,,,,0,0,0,0,0,0
,,TegawendÃ© F. BissyandÃ©,Male,0,"Interdisciplinary Centre for Security, Reliability and Trust (SnT), University of Luxembourg, Luxembourg",,Luxembourg,,,,,,,,,0,0,0,0,0,0
An evolutionary approach for generating software models: The case of Kromaia in Game Software Engineering,"Model-Driven Engineering, Game Development, Software Models, Evolutionary Model Generation, Statistical Analysis",Daniel Blasco,Male,0,"Universidad San Jorge. SVIT Research Group, AutovÃ­a A-23 Zaragoza-Huesca Km.299, 50830, Zaragoza, Spain",1,Spain,1,4,1,0,1,1,1,0,0,1,0,1,0,0
,,Jaime Font,Male,0,"Universidad San Jorge. SVIT Research Group, AutovÃ­a A-23 Zaragoza-Huesca Km.299, 50830, Zaragoza, Spain",,Spain,,,,,,,,,0,0,0,0,0,0
,,Mar Zamorano,Female,1,"Universidad San Jorge. SVIT Research Group, AutovÃ­a A-23 Zaragoza-Huesca Km.299, 50830, Zaragoza, Spain",,Spain,,,,,,,,,0,0,0,0,0,0
,,Carlos Cetina,Male,0,"Universidad San Jorge. SVIT Research Group, AutovÃ­a A-23 Zaragoza-Huesca Km.299, 50830, Zaragoza, Spain",,Spain,,,,,,,,,0,0,0,0,0,0
Facilitating program comprehension with call graph multilevel hierarchical abstractions,"Program comprehension, Call graph, Hierarchical abstractions, Software maintenance, Clustering",Rakan Alanazi,Male,0,"School of Computing and Engineering, University of Missouri-Kansas City, MO, USA, Faculty of Computing and Information Technology, Northern Border University, Rafha, Saudi Arabia",2,"USA, Saudi Arabia",2,3,1,0,1,0,0,1,0,0,0,0,0,1
,,Gharib Gharibi,Male,0,"School of Computing and Engineering, University of Missouri-Kansas City, MO, USA",,USA,,,,,,,,,0,0,0,0,0,0
,,Yugyung Lee,Female,1,"School of Computing and Engineering, University of Missouri-Kansas City, MO, USA",,USA,,,,,,,,,0,0,0,0,0,0
Product metrics for spreadsheetsâ€”A systematic review,"Software metrics, Spreadsheets, Product metrics, Literature review, Development processes",Birgit Hofer,Female,1,"Department of Software Engineering, Graz University of Technology, Austria",2,Austria,1,5,1,1,0,0,1,0,0,0,1,0,0,0
,,Dietmar Jannach,Male,0,"Department of Computer Science, University of Klagenfurt, Austria",,Austria,,,,,,,,,0,0,0,0,0,0
,,Patrick Koch,Male,0,"Department of Computer Science, University of Klagenfurt, Austria",,Austria,,,,,,,,,0,0,0,0,0,0
,,Konstantin Schekotihin,Male,0,"Department of Computer Science, University of Klagenfurt, Austria",,Austria,,,,,,,,,0,0,0,0,0,0
,,Franz Wotawa,Male,0,"Department of Software Engineering, Graz University of Technology, Austria",,Austria,,,,,,,,,0,0,0,0,0,0
"Accessibility in the mobile development industry in Brazil: Awareness, knowledge, adoption, motivations and barriers",Mobile Accessibility; Assistive Technologies; Accessibility Guidelines; Software Development Barriers; Digital Accessibility Awareness,Manoel Victor Rodrigues Leite,Male,0,"School of Arts, Sciences and Humanities, University of SÃ£o Paulo",2,Brazil,1,4,1,0,1,0,1,0,0,0,0,1,0,0
,,Lilian Passos Scatalon,Female,1,"School of Arts, Sciences and Humanities, University of SÃ£o Paulo",,Brazil,,,,,,,,,0,0,0,0,0,0
,,AndrÃ© Pimenta Freire,Male,0,Federal University of Lavras,,Brazil,,,,,,,,,0,0,0,0,0,0
,,Marcelo Medeiros Eler,Male,0,"School of Arts, Sciences and Humanities, University of SÃ£o Paulo",,Brazil,,,,,,,,,0,0,0,0,0,0
Concept drift-aware temporal cloud service APIs recommendation for building composite cloud systems,Cloud Service APIs; Concept Drift; Composite Cloud Systems; Temporal Recommendation Systems; Singular Value Decomposition (SVD),Lei Wang,Male,0,Nanjing Forestry University,2,China,1,3,1,0,1,0,1,0,0,0,0,1,0,0
,,Yunqiu Zhang,Female,1,Nanjing Forestry University,,China,,,,,,,,,0,0,0,0,0,0
,,Xiaohu Zhu,Male,0,"Center for Safe AGI, Shanghai",,China,,,,,,,,,0,0,0,0,0,0
Product-line assurance cases from contract-based design,Assurance Cases; Product Lines; Cyber-Physical Systems; Safety and Security; Contract-based Design,Damir NeÅ¡iÄ‡,Male,0,"KTH Royal Institute of Technology, BrinellvÃ¤gen 83, 100 44 Stockholm, Sweden",2,Sweden,1,3,1,0,1,0,1,0,0,0,0,1,0,0
,,Mattias Nyberg,Male,0,"KTH Royal Institute of Technology, BrinellvÃ¤gen 83, 100 44 Stockholm, Sweden",,Sweden,,,,,,,,,0,0,0,0,0,0
,,Barbara Gallina,Female,1,"MÃ¤lardalen University, HÃ¶gskoleplan 1, 722 20 VÃ¤sterÃ¥s, Sweden",,Sweden,,,,,,,,,0,0,0,0,0,0
GEML: A grammar-based evolutionary machine learning approach for design-pattern detection,"Software engineering, machine learning, evolutionary algorithms, design patterns, context-free grammar",Rafael Barbudo,Male,0,"Department of Computer Science and Numerical Analysis, University of CÃ³rdoba, 14071, CÃ³rdoba, Spain",2,Spain,2,4,1,0,1,0,0,1,0,0,0,0,0,1
,,Aurora RamÃ­rez,Female,1,"Department of Computer Science and Numerical Analysis, University of CÃ³rdoba, 14071, CÃ³rdoba, Spain",,Spain,,,,,,,,,0,0,0,0,0,0
,,Francisco Servant,Male,0,"Department of Computer Science, Virginia Tech, VA 24060, Blacksburg, USA",,USA,,,,,,,,,0,0,0,0,0,0
,,JosÃ© RaÃºl Romero,Male,0,"Department of Computer Science and Numerical Analysis, University of CÃ³rdoba, 14071, CÃ³rdoba, Spain",,Spain,,,,,,,,,0,0,0,0,0,0
Code smell detection by deep direct-learning and transfer-learning,"Code smell, deep learning, transfer learning, machine learning, autoencoder",Tushar Sharma,Male,0,"Siemens Technology, Charlotte, USA",2,USA,2,4,1,0,1,0,0,1,0,0,0,0,0,1
,,Vasiliki Efstathiou,Female,1,"Athens University of Economics and Business, Athens, Greece",,Greece,,,,,,,,,0,0,0,0,0,0
,,Panos Louridas,Male,0,"Athens University of Economics and Business, Athens, Greece",,Greece,,,,,,,,,0,0,0,0,0,0
,,Diomidis Spinellis,Male,0,"Athens University of Economics and Business, Athens, Greece",,Greece,,,,,,,,,0,0,0,0,0,0
How to kill them all: An exploratory study on the impact of code observability on mutation testing,"Mutation testing, test quality, software engineering, refactoring, testability",Qianqian Zhu,Female,1,Delft University of Technology,1,Netherlands,1,3,1,1,0,1,1,0,1,0,1,0,0,0
,,Andy Zaidman,Male,0,Delft University of Technology,,Netherlands,,,,,,,,,0,0,0,0,0,0
,,Annibale Panichella,Male,0,Delft University of Technology,,Netherlands,,,,,,,,,0,0,0,0,0,0
Requirements engineering challenges and practices in large-scale agile system development,"Agile methods, Requirements engineering, Large-scale systems, SAFeÂ®, LeSS",Rashidah Kasauli,Female,1,"Department of Computer Science and Engineering, Chalmers â€” University of Gothenburg",2,Sweden,2,5,2,1,0,0,0,1,0,0,0,0,1,0
,,Eric Knauss,Male,0,"Department of Computer Science and Engineering, Chalmers â€” University of Gothenburg",,Sweden,,,,,,,,,0,0,0,0,0,0
,,Jennifer Horkoff,Female,1,"Department of Computer Science and Engineering, Chalmers â€” University of Gothenburg",,Sweden,,,,,,,,,0,0,0,0,0,0
,,Grischa Liebel,Male,0,"School of Computer Science, Reykjavik University",,Iceland,,,,,,,,,0,0,0,0,0,0
,,Francisco Gomes de Oliveira Neto,Male,0,"Department of Computer Science and Engineering, Chalmers â€” University of Gothenburg",,Sweden,,,,,,,,,0,0,0,0,0,0
Accessibility and Software Engineering Processes: A Systematic Literature Review,"Software development, Accessibility, Design, Testing, Process establishment",DÃ©bora Maria Barroso Paiva,Female,1,"Faculdade de ComputaÃ§Ã£o, Universidade Federal de Mato Grosso do Sul, Cidade UniversitÃ¡ria, s/n - Campo Grande MS, Brazil",3,Brazil,1,3,2,1,0,0,1,0,0,0,1,0,0,0
,,AndrÃ© Pimenta Freire,Male,0,"Departamento de CiÃªncia da ComputaÃ§Ã£o, Universidade Federal de Lavras, Caixa Postal 3037 - Lavras MG, Brazil",,Brazil,,,,,,,,,0,0,0,0,0,0
,,Renata Pontin de Mattos Fortes,Female,1,"Instituto de CiÃªncias MatemÃ¡ticas e de ComputaÃ§Ã£o, Universidade de SÃ£o Paulo, Av. Trabalhador SÃ£o-carlense 400 - SÃ£o Carlos SP, Brazil",,Brazil,,,,,,,,,0,0,0,0,0,0
Mining Architecture Tactics and Quality Attributes knowledge in Stack Overflow,"Architecture tactics, Quality attributes, Mining, Stack Overflow, Software design",Tingting Bi,Female,1,"School of Computer Science, Wuhan University, Wuhan, China; Faculty of Information Technology, Monash University, Melbourne, Australia",4,"China, Australia",4,4,1,1,0,0,0,1,0,0,0,0,1,0
,,Peng Liang,Male,0,"School of Computer Science, Wuhan University, Wuhan, China",,China,,,,,,,,,0,0,0,0,0,0
,,Antony Tang,Male,0,"Faculty of Science, Engineering and Technology, Swinburne University of Technology, Melbourne, Australia; Software and Services Research Group, Vrije Universiteit Amsterdam, Netherlands",,"Australia, Netherlands",,,,,,,,,0,0,0,0,0,0
,,Xin Xia,Male,0,"Faculty of Information Technology, Monash University, Melbourne, Australia",,Australia,,,,,,,,,0,0,0,0,0,0
Synthesizing researches on Knowledge Management and Agile Software Development using the Meta-ethnography method,"Knowledge Management, Agile Software Development, Meta-ethnography, Scrum, XP",Bianca Minetto NapoleÃ£o,Female,1,"Department of Computer, Federal University of Technology, ParanÃ¡ - UTFPR, CornÃ©lio ProcÃ³pio, ParanÃ¡, Brazil",2,Brazil,1,6,3,1,0,0,1,0,0,0,1,0,0,0
,,Ã‰rica Ferreira de Souza,Female,1,"Department of Computer, Federal University of Technology, ParanÃ¡ - UTFPR, CornÃ©lio ProcÃ³pio, ParanÃ¡, Brazil",,Brazil,,,,,,,,,0,0,0,0,0,0
,,Glauco Antonio Ruiz,Male,0,"Department of Computer, Federal University of Technology, ParanÃ¡ - UTFPR, CornÃ©lio ProcÃ³pio, ParanÃ¡, Brazil",,Brazil,,,,,,,,,0,0,0,0,0,0
,,Katia Romero Felizardo,Female,1,"Department of Computer, Federal University of Technology, ParanÃ¡ - UTFPR, CornÃ©lio ProcÃ³pio, ParanÃ¡, Brazil",,Brazil,,,,,,,,,0,0,0,0,0,0
,,Giovani Volnei Meinerz,Male,0,"Department of Computer, Federal University of Technology, ParanÃ¡ - UTFPR, CornÃ©lio ProcÃ³pio, ParanÃ¡, Brazil",,Brazil,,,,,,,,,0,0,0,0,0,0
,,Nandamudi Lankalapalli Vijaykumar,Male,0,"National Institute for Space Research (INPE), Laboratory of Computing and Applied Mathematics (LAC), SÃ£o JosÃ© dos Campos, SÃ£o Paulo, Brazil; Federal University of SÃ£o Paulo (Unifesp), Institute of Science & Technology (ICT), SÃ£o JosÃ© dos Campos, SÃ£o Paulo, Brazil",,Brazil,,,,,,,,,0,0,0,0,0,0
A qualitative analysis of themes in instant messaging communication of software developers,"software engineering, instant messaging, thematic analysis, communication, chat rooms",Camila Costa Silva,Female,1,University of Canterbury,1,New Zealand,1,3,1,1,0,1,1,0,1,0,1,0,0,0
,,Matthias Galster,Male,0,University of Canterbury,,New Zealand,,,,,,,,,0,0,0,0,0,0
,,Fabian Gilson,Male,0,University of Canterbury,,New Zealand,,,,,,,,,0,0,0,0,0,0
A sampling-based online Co-Location-Resistant Virtual Machine placement strategy,"VM placement, security, cloud IaaS, optimization, sampling",Marwa Thabet,Female,1,"University of Sousse, ISITCom, CES-Laboratory, University of Sfax",3,Tunisia,2,3,1,1,0,0,0,1,0,0,0,0,1,0
,,Brahim Hnich,Male,0,"Faculty of Sciences, University of Monastir, CES-Laboratory, University of Sfax",,Tunisia,,,,,,,,,0,0,0,0,0,0
,,Mouhebeddine Berrima,Male,0,"Department of Applied Natural Sciences, Applied College, Qassim University, LIPSIC, University of Tunis El Manar",,"Saudi Arabia, Tunisia",,,,,,,,,0,0,0,0,0,0
A software reliability growth model for imperfect debugging,"Software reliability, debugging, error fluctuation, testing, optimization",Yeu-Shiang Huang,Male,0,"Department of Industrial and Information Management, Center for Innovative FinTech Business Models, National Cheng Kung University",3,Taiwan,1,3,1,0,1,0,1,0,0,0,0,1,0,0
,,Kuei-Chen Chiu,Male,0,"Department of Finance, Shih Chien University (Kaohsiung Campus)",,Taiwan,,,,,,,,,0,0,0,0,0,0
,,Wan-Ming Chen,Female,1,"Department of Industrial and Information Management, National Cheng Kung University",,Taiwan,,,,,,,,,0,0,0,0,0,0
A survey of software architectural change detection and categorization techniques,"software architecture, change detection, design decisions, classification, empirical data",Amit Kumar Mondal,Male,0,University of Saskatchewan,1,Canada,1,4,1,0,1,1,1,0,0,1,0,1,0,0
,,Kevin A. Schneider,Male,0,University of Saskatchewan,,Canada,,,,,,,,,0,0,0,0,0,0
,,Banani Roy,Female,1,University of Saskatchewan,,Canada,,,,,,,,,0,0,0,0,0,0
,,Chanchal K. Roy,Male,0,University of Saskatchewan,,Canada,,,,,,,,,0,0,0,0,0,0
A systematic literature review on benchmarks for evaluating debugging approaches,"debugging, benchmarks, fault localization, automated repair, software engineering",Thomas Hirsch,Male,0,"Institute of Software Technology, Graz University of Technology",1,Austria,1,2,1,0,1,1,1,0,0,1,0,1,0,0
,,Birgit Hofer,Female,1,"Institute of Software Technology, Graz University of Technology",,Austria,,,,,,,,,0,0,0,0,0,0
A user survey on the adoption of crowd-based software engineering instructional screencasts by the new generation of software developers,"software engineering, instructional screencasts, user survey, crowd-based documentation, how-to tutorial",Parisa Moslehi,Female,1,"Concordia University, Montreal, Canada",2,Canada,1,3,1,1,0,0,1,0,0,0,1,0,0,0
,,Juergen Rilling,Male,0,"Concordia University, Montreal, Canada",,Canada,,,,,,,,,0,0,0,0,0,0
,,Bram Adams,Male,0,"Queens University, Kingston, Canada",,Canada,,,,,,,,,0,0,0,0,0,0
Adopting threat modelling in agile software development projects,"Secure software engineering, Agile teams, Threat modelling, STRIDE, Microsoft Threat Modelling Tool",Karin Bernsmed,Female,1,"SINTEF Digital, Trondheim, Norway",2,Norway,2,4,3,1,0,0,0,1,0,0,0,0,1,0
,,Daniela Soares Cruzes,Female,1,"SINTEF Digital, Trondheim, Norway",,Norway,,,,,,,,,0,0,0,0,0,0
,,Martin Gilje Jaatun,Male,0,"SINTEF Digital, Trondheim, Norway",,Norway,,,,,,,,,0,0,0,0,0,0
,,Monica Iovan,Female,1,"Visma, Romania",,Romania,,,,,,,,,0,0,0,0,0,0
Agile methods used by traditional logistics companies and logistics start-ups: a systematic literature review,"Agile methods, Logistics, Start-ups, Systematic review, Innovation",Malena Zielske,Female,1,"Hamburg University of Applied Sciences, Lufthansa Industry Solutions GmbH & Co. KG",2,Germany,1,2,1,1,0,0,1,0,0,0,1,0,0,0
,,Tobias Held,Male,0,Hamburg University of Applied Sciences,,Germany,,,,,,,,,0,0,0,0,0,0
An architecture for mission coordination of heterogeneous robots,"Robotics, Coordination, Modifiability, Integration, Autonomy",Gabriel Rodrigues,Male,0,"University of Brasilia, Brasilia, Brazil",3,Brazil,3,6,1,0,1,0,0,1,0,0,0,0,0,1
,,Ricardo Caldas,Male,0,"Chalmers University of Technology, Gothenburg, Sweden",,Sweden,,,,,,,,,0,0,0,0,0,0
,,Gabriel Araujo,Male,0,"University of Brasilia, Brasilia, Brazil",,Brazil,,,,,,,,,0,0,0,0,0,0
,,Vicente de Moraes,Male,0,"University of Brasilia, Brasilia, Brazil",,Brazil,,,,,,,,,0,0,0,0,0,0
,,GenaÃ­na Rodrigues,Female,1,"University of Brasilia, Brasilia, Brazil",,Brazil,,,,,,,,,0,0,0,0,0,0
,,Patrizio Pelliccione,Male,0,"Gran Sasso Science Institute (GSSI), Lâ€™Aquila, Italy",,Italy,,,,,,,,,0,0,0,0,0,0
An automated extract method refactoring approach to correct the long method code smell,"Code smells, Refactoring, Long method, Java, Graph analysis",Mahnoosh Shahidi,Female,1,Iran University of Science and Technology,1,Iran,1,3,1,1,0,1,1,0,1,0,1,0,0,0
,,Mehrdad Ashtiani,Male,0,Iran University of Science and Technology,,Iran,,,,,,,,,0,0,0,0,0,0
,,Morteza Zakeri-Nasrabadi,Male,0,Iran University of Science and Technology,,Iran,,,,,,,,,0,0,0,0,0,0
An empirical characterization of software bugs in open-source Cyberâ€“Physical Systems,"CPS, drones, automotive, robotics, Arduino, hardware",Fiorella Zampetti,Female,1,"Department of Engineering, University of Sannio, Italy",3,Italy,3,4,2,1,0,0,0,1,0,0,0,0,1,0
,,Ritu Kapur,Female,1,"C-DAC Centre in North East (CINE), India",,India,,,,,,,,,0,0,0,0,0,0
,,Massimiliano Di Penta,Male,0,"Department of Engineering, University of Sannio, Italy",,Italy,,,,,,,,,0,0,0,0,0,0
,,Sebastiano Panichella,Male,0,"Zurich University of Applied Science, Switzerland",,Switzerland,,,,,,,,,0,0,0,0,0,0
An empirical comparison of four Java-based regression test selection techniques,"Regression testing, Test case selection, Safety violations, Precision violations, Fault detection",Min Kyung Shin,Female,1,"Department of Computer Science, Colorado State University",2,USA,1,3,1,1,0,0,1,0,0,0,1,0,0,0
,,Sudipto Ghosh,Male,0,"Department of Computer Science, Colorado State University",,USA,,,,,,,,,0,0,0,0,0,0
,,Leo R. Vijayasarathy,Male,0,"Department of Computer Information Systems, Colorado State University",,USA,,,,,,,,,0,0,0,0,0,0
Assessing the linguistic quality of REST APIs for IoT applications,"IoT, REST APIs, Linguistic Quality, Syntactic Analysis, Semantic Analysis",Francis Palma,Male,0,"Department of Computer Science and Media Technology, Linnaeus University",2,Sweden,1,4,1,0,1,0,1,0,0,0,0,1,0,0
,,Tobias Olsson,Male,0,"Department of Computer Science and Media Technology, Linnaeus University",,Sweden,,,,,,,,,0,0,0,0,0,0
,,Anna Wingkvist,Female,1,"Department of Computer Science and Media Technology, Linnaeus University",,Sweden,,,,,,,,,0,0,0,0,0,0
,,Javier Gonzalez-Huerta,Male,0,"Department of Software Engineering, Blekinge Institute of Technology",,Sweden,,,,,,,,,0,0,0,0,0,0
Automatically recognizing the semantic elements from UML class diagram images,"software engineering, design models, image processing, UML class diagrams, semantic elements",Fangwei Chen,Male,0,"State Key Laboratory of Software Development Environment, Beihang University",2,China,2,4,1,0,1,0,0,1,0,0,0,0,0,1
,,Li Zhang,Male,0,"State Key Laboratory of Software Development Environment, Beihang University",,China,,,,,,,,,0,0,0,0,0,0
,,Xiaoli Lian,Female,1,"State Key Laboratory of Software Development Environment, Beihang University",,China,,,,,,,,,0,0,0,0,0,0
,,Nan Niu,Male,0,University of Cincinnati,,USA,,,,,,,,,0,0,0,0,0,0
Changes in perceived productivity of software engineers during COVID-19 pandemic: The voice of evidence,"COVID-19, productivity, telework, remote work, longitudinal analysis",Darja Smite,Female,1,"Blekinge Institute of Technology, SINTEF",3,"Sweden, Norway",3,6,4,1,0,0,0,1,0,0,0,0,1,0
,,Anastasiia Tkalich,Female,1,SINTEF,,Norway,,,,,,,,,0,0,0,0,0,0
,,Nils Brede Moe,Male,0,"Blekinge Institute of Technology, SINTEF",,"Sweden, Norway",,,,,,,,,0,0,0,0,0,0
,,Efi Papatheocharous,Female,1,Blekinge Institute of Technology,,Sweden,,,,,,,,,0,0,0,0,0,0
,,Eriks Klotins,Male,0,Blekinge Institute of Technology,,Sweden,,,,,,,,,0,0,0,0,0,0
,,Marte Pettersen Buvik,Female,1,SINTEF,,Norway,,,,,,,,,0,0,0,0,0,0
CIT-daily: A combinatorial interaction testing-based daily build process,"CIT, build processes, fault detection, configurable systems, t-way coverage",Hanefi Mercan,Male,0,Sabanci University,1,Turkey,1,6,2,0,1,1,1,0,0,1,0,1,0,0
,,Atakan Aytar,Male,0,Sabanci University,,Turkey,,,,,,,,,0,0,0,0,0,0
,,Giray Coskun,Male,0,Sabanci University,,Turkey,,,,,,,,,0,0,0,0,0,0
,,Dilara Mustecep,Female,1,Sabanci University,,Turkey,,,,,,,,,0,0,0,0,0,0
,,GuÌˆlsuÌˆm Uzer,Female,1,Sabanci University,,Turkey,,,,,,,,,0,0,0,0,0,0
,,Cemal Yilmaz,Male,0,Sabanci University,,Turkey,,,,,,,,,0,0,0,0,0,0
Classifying crowdsourced mobile test reports with image features: An empirical study,"Crowdsourced testing, Mobile testing, Image features, Test report classification, Machine learning",Yuying Li,Female,1,"The State Key Laboratory for Novel Software Technology, Nanjing University",1,China,1,7,1,1,0,1,1,0,1,0,1,0,0,0
,,Yang Feng,Male,0,"The State Key Laboratory for Novel Software Technology, Nanjing University",,China,,,,,,,,,0,0,0,0,0,0
,,Rui Hao,Male,0,"The State Key Laboratory for Novel Software Technology, Nanjing University",,China,,,,,,,,,0,0,0,0,0,0
,,Di Liu,Male,0,"The State Key Laboratory for Novel Software Technology, Nanjing University",,China,,,,,,,,,0,0,0,0,0,0
,,Chunrong Fang,Male,0,"The State Key Laboratory for Novel Software Technology, Nanjing University",,China,,,,,,,,,0,0,0,0,0,0
,,Zhenyu Chen,Male,0,"The State Key Laboratory for Novel Software Technology, Nanjing University",,China,,,,,,,,,0,0,0,0,0,0
,,Baowen Xu,Male,0,"The State Key Laboratory for Novel Software Technology, Nanjing University",,China,,,,,,,,,0,0,0,0,0,0
Conformance assessment of Architectural Design Decisions on API endpoint designs derived from domain modelsâœ©,"Microservices, API design, DDD, conformance, automation",Apitchaka Singjai,Female,1,"University of Vienna, Faculty of Computer Science, Research Group Software Architecture",1,Austria,1,2,1,1,0,1,1,0,1,0,1,0,0,0
,,Uwe Zdun,Male,0,"University of Vienna, Faculty of Computer Science, Research Group Software Architecture",,Austria,,,,,,,,,0,0,0,0,0,0
