Paper Title,Study Domain Terms,Total Authors,Female Authors,lead?,local_Contribution?,national_collaboration?,International_collaboration?,Author Name,Gender,Affiliation,Country,Conceptualization,Data Curation,Formal Analysis,Funding Acquisition,Investigation,Methodology,Project Administration,Resources,Software,Supervision,Validation,Visualization,Writing – Original Draft,Writing – Review & Editing
A MILP model on coordinated coverage path planning system for UAV-ship hybrid team scheduling software,"UAV, path planning, maritime missions, MILP model, simulation experiments",4,0,0,0,1,0,Xiaopan Zhang,Male,Wuhan University of Technology,China,1,0,1,0,0,0,0,0,0,0,0,1,1,1
,,,,,,,,Furong Zhang,Male,Wuhan University of Technology,China,0,0,1,0,0,0,0,0,0,0,0,0,1,1
,,,,,,,,Zheng Tang,Male,Wuhan University of Technology,China,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,,,,,,,Xingjun Chen,Male,Dalian Naval Academy,China,0,0,0,0,0,0,0,0,0,1,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,
Cognitive Driven Development helps software teams to keep code units under the limit!,"Software design, Cognitive Driven Development, Software engineering, Code quality, Design techniques",2,0,0,1,1,0,Gustavo Pinto,Male,"Zup Innovation, Brazil",Brazil,1,1,0,0,1,1,1,0,0,0,0,0,1,1
,,,,,,,,Alberto de Souza,Male,"Zup Innovation, Brazil",Brazil,1,0,0,0,0,0,1,0,0,0,0,0,0,1
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Transitioning a project-based course between onsite and online. An experience report,"Software engineering, Online learning, Project-based courses, Education, Qualitative research",3,1,0,1,1,0,Dan Mircea Suciu,Male,"Babes-Bolyai University, Department of Computer Science, M. Kogalniceanu 1, Cluj-Napoca, Romania",Romania,1,1,1,0,1,1,0,0,0,0,0,0,1,1
,,,,,,,,Simona Motogna,Female,"Babes-Bolyai University, Department of Computer Science, M. Kogalniceanu 1, Cluj-Napoca, Romania",Romania,0,1,0,0,1,1,0,0,0,0,0,0,1,1
,,,,,,,,Arthur-Jozsef Molnar,Male,"Babes-Bolyai University, Department of Computer Science, M. Kogalniceanu 1, Cluj-Napoca, Romania",Romania,0,1,0,0,1,0,0,0,0,0,0,0,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,
Catalog and detection techniques of microservice anti-patterns and bad smells: A tertiary study,"microservices, anti-patterns, detection, architecture, quality",5,1,0,0,0,1,Tomas Cerny,Male,"SIE, University of Arizona, Tucson, AZ, USA",USA,1,1,0,1,1,1,1,1,0,1,1,1,1,0
,,,,,,,,Amr S. Abdelfattah,Male,"Baylor University, Waco, TX, USA",USA,1,1,0,0,0,0,0,1,0,0,0,1,1,0
,,,,,,,,Abdullah Al Maruf,Male,"Baylor University, Waco, TX, USA",USA,1,1,0,0,1,1,0,1,0,0,1,1,1,0
,,,,,,,,Andrea Janes,Female,"FHV Vorarlberg University of Applied Sciences, Dornbirn, Austria",Austria,1,1,0,0,0,1,0,0,0,0,0,1,1,0
,,,,,,,,Davide Taibi,Male,"Tampere University, Tampere, Finland",Finland,1,1,0,1,1,1,0,1,0,1,1,1,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,
Automatic prediction of developers’ resolutions for software merge conflicts,"software, machine learning, developers, conflicts, prediction",3,2,1,0,0,1,Waad Aldndni,Female,Virginia Polytechnic Institute and State University,USA,0,1,1,0,1,1,0,1,1,0,1,1,1,0
,,,,,,,,Na Meng,Female,Virginia Polytechnic Institute and State University,USA,0,0,0,0,1,1,0,0,0,1,0,0,0,1
,,,,,,,,Francisco Servant,Male,"ITIS Software, Universidad de Málaga",Spain,1,0,0,0,1,1,1,0,0,1,0,0,0,1
,,,,,,,,,,,,,,,,,,,,,,,,,
Static vulnerability detection based on class separation,"vulnerability detection, C++, deep learning, software engineering, automatic detection",2,0,0,1,1,0,Chunyong Zhang,Male,"Beijing University of Posts and Telecommunications, National Engineering Lab for DBR",China,1,0,1,0,1,1,0,0,0,0,0,0,1,0
,,,,,,,,Yang Xin,Male,"Beijing University of Posts and Telecommunications, National Engineering Lab for DBR",China,1,0,0,0,0,0,0,0,0,0,0,0,0,1
,,,,,,,,,,,,,,,,,,,,,,,,,
Investigating the role of Product Owner in Scrum teams: Differentiation between organisational and individual impacts and opportunities,"agile, software, Product Owner, organisational, stakeholders",5,2,1,1,1,0,Maja Due Kadenic,Female,"Department of Business Development and Technology, Aarhus BSS, Aarhus University",Denmark,1,0,0,0,0,0,0,0,0,0,0,0,1,0
,,,,,,,,Diego Augusto de Jesus Pacheco,Male,"Department of Business Development and Technology, Aarhus BSS, Aarhus University",Denmark,0,1,0,0,0,1,0,0,0,0,0,0,0,0
,,,,,,,,Konstantinos Koumaditis,Male,"Department of Business Development and Technology, Aarhus BSS, Aarhus University",Denmark,0,1,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,Gitte Tjørnehøj,Female,"Department of Business Development and Technology, Aarhus BSS, Aarhus University",Denmark,0,0,0,0,1,0,0,0,0,0,0,0,1,0
,,,,,,,,Torben Tambo,Male,"Department of Business Development and Technology, Aarhus BSS, Aarhus University",Denmark,1,0,1,0,1,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,
The impact of unequal contributions in student software engineering team projects,"software engineering, education, teamwork, contribution, performance",5,3,1,0,0,1,Kamilla Kopec-Harding,Female,"Research IT, University of Manchester",United Kingdom,1,1,1,0,1,1,0,0,1,0,0,1,1,0
,,,,,,,,Sukru Eraslan,Male,"Middle East Technical University, Northern Cyprus Campus",Turkey,1,0,0,0,0,1,0,0,0,0,0,1,1,0
,,,,,,,,Bowen Cai,Male,"Department of Computer Science, University of Manchester",United Kingdom,0,0,0,0,0,0,0,0,1,0,0,0,0,0
,,,,,,,,Suzanne M. Embury,Female,"Department of Computer Science, University of Manchester",United Kingdom,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,,,,,,,Caroline Jay,Female,"Department of Computer Science, University of Manchester",United Kingdom,1,0,0,0,0,1,0,0,0,1,0,0,0,1
,,,,,,,,,,,,,,,,,,,,,,,,,
Pragmatic evidence of cross-language link detection: A systematic literature review,"software, engineering, applications, multilingual, analysis",6,2,1,0,0,1,Saira Latif a,Female,"University of Central Punjab, Lahore 54000, Pakistan",Pakistan,1,1,0,0,0,0,0,0,0,0,0,0,1,0
,,,,,,,,Zaigham Mushtaq b,Male,"The Islamia University, Bahawalpur 63102, Pakistan",Pakistan,1,0,1,0,0,0,0,0,0,0,0,0,1,0
,,,,,,,,Ghulam Rasool c,Male,"COMSATS University Islamabad, Lahore Campus, 54000, Pakistan",Pakistan,0,0,0,0,1,0,1,1,0,0,0,0,0,0
,,,,,,,,Furqan Rustam d,Male,"School of Computer Science, University College Dublin, Belfield Dublin 4, Ireland",Ireland,0,0,0,0,1,0,0,0,1,0,0,1,0,0
,,,,,,,,Naila Aslam e,Female,"School of Electronics and Information Engineering, Hebei University of Technology, Tianjin 300401, China",China,0,0,1,0,1,0,0,0,0,0,1,0,0,0
,,,,,,,,Imran Ashraf f,Male,"Information and Communication Engineering, Yeungnam University, Gyeongsan 38541, Republic of Korea",South Korea,0,0,0,0,0,0,0,0,0,1,1,0,0,1
,,,,,,,,,,,,,,,,,,,,,,,,,
CharM — Evaluating a model for characterizing service-based architectures,"service, architecture, microservice, software, model",4,1,1,0,0,1,Thatiane de Oliveira Rosa,Female,"Mathematics and Statistics Institute of the University of São Paulo - IME-USP, Federal Institute of Tocantins",Brazil,1,1,0,0,1,1,0,0,1,0,0,1,1,0
,,,,,,,,Eduardo Martins Guerra,Male,Computer Science Faculty of the Free University of Bozen-Bolzano,Italy,1,0,0,0,0,1,0,0,0,0,0,0,0,1
,,,,,,,,Filipe Figueiredo Correia,Male,"Faculty of Engineering of the University of Porto, INESCTEC",Portugal,1,0,0,0,0,1,0,0,0,1,1,0,0,1
,,,,,,,,Alfredo Goldman,Male,Mathematics and Statistics Institute of the University of São Paulo - IME-USP,Brazil,1,0,0,0,0,1,1,0,0,0,0,0,0,1
,,,,,,,,,,,,,,,,,,,,,,,,,
On the outdatedness of workflows in the GitHub Actions ecosystem,"GitHub, CI/CD, Automation, Software, Workflows",3,0,0,1,1,0,Alexandre Decan¹,Male,"Software Engineering Lab, University of Mons",Belgium,1,1,1,0,1,1,0,0,1,1,1,1,1,1
,,,,,,,,Tom Mens,Male,"Software Engineering Lab, University of Mons",Belgium,1,0,0,1,1,0,0,1,0,1,1,0,1,1
,,,,,,,,Hassan Onsori Delicheh,Male,"Software Engineering Lab, University of Mons",Belgium,0,0,0,0,1,0,0,0,1,0,1,0,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,
Comparing software product lines and Clone and Own for game software engineering under two paradigms: Model-driven development and code-driven development,"Software engineering, Game development, Code reuse, Empirical evaluation, Model-driven development",6,2,0,1,1,0,Jorge Chueca,Male,"Universidad San Jorge, SVIT Research Group",Spain,1,0,0,0,1,0,1,0,1,0,0,1,1,1
,,,,,,,,Jose Ignacio Trasobares,Male,"Universidad San Jorge, SVIT Research Group",Spain,1,1,0,0,0,0,0,0,0,0,0,0,1,0
,,,,,,,,África Domingo,Female,"Universidad San Jorge, SVIT Research Group",Spain,0,1,1,0,0,1,0,0,0,0,1,0,1,0
,,,,,,,,Lorena Arcega,Female,"Universidad San Jorge, SVIT Research Group",Spain,0,0,0,0,0,0,0,1,0,0,0,0,1,0
,,,,,,,,Carlos Cetina,Male,"Universidad San Jorge, SVIT Research Group",Spain,1,0,0,1,0,0,0,1,0,0,0,0,0,0
,,,,,,,,Jaime Font,Male,"Universidad San Jorge, SVIT Research Group",Spain,0,0,0,0,1,0,0,1,0,1,0,0,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,
Exploration of advanced computer technology to address analytical and noise improvement issues in machine learning,"computer, technology, machine learning, analysis, recognition",6,0,0,0,1,0,Tse-Chuan Hsu,Male,"Soochow University, Department of Computer Science & Information Management, Taipei 111, Taiwan",Taiwan,1,0,0,0,0,1,0,0,1,1,0,0,1,0
,,,,,,,,Yao-Hong Tsai,Male,"Hsuan Chuang University, Department of Information Management, Hsinchu 300, Taiwan",Taiwan,0,0,1,0,0,1,0,0,0,0,0,1,0,1
,,,,,,,,William Cheng-Chung Chu,Male,"Tunghai University, Department of Computer Science, Tiachung, Taiwan",Taiwan,0,0,0,0,1,0,0,0,0,0,0,1,0,1
,,,,,,,,Shyh-wei Chen,Male,"Tunghai University, Department of Computer Science, Tiachung, Taiwan",Taiwan,0,0,0,0,1,0,0,0,0,0,0,1,0,1
,,,,,,,,Hung-Lung Tsai,Male,"Department of Medical Research, Tung Taichung MetroHarbor Hospital, Taichung, Taiwan",Taiwan,0,1,0,1,0,1,0,0,0,0,0,0,0,0
,,,,,,,,Yu-Kang Chang,Male,"Department of Medical Research, Tung Taichung MetroHarbor Hospital, Taichung, Taiwan, Department of Post-Baccalaureate Medicine, College of Medicine, National Chung Hsing University, Taichung, Taiwan, Department of Nursing, Jenteh Junior College of Medicine, Nursing and Management, Miaoli, Taiwan",Taiwan,0,0,0,1,0,0,0,0,0,0,0,1,0,1
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Software product lines extraction driven by language server protocol,"software, engineering, development, protocols, refactoring",3,0,0,1,1,0,Francesco Bertolotti,Male,"Università degli Studi di Milano, Computer Science Department",Italy,1,0,0,0,1,1,0,0,1,0,0,0,1,1
,,,,,,,,Walter Cazzola,Male,"Università degli Studi di Milano, Computer Science Department",Italy,1,0,0,1,1,1,1,0,0,1,0,0,1,1
,,,,,,,,Luca Favalli,Male,"Università degli Studi di Milano, Computer Science Department",Italy,1,0,0,0,1,1,0,0,1,0,0,0,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,
A uniqueness-based approach to provide descriptive JUnit test names,"unit tests, naming, descriptive, generation, software",2,0,0,1,1,0,Jianwei Wu,Male,"Department of Computer and Information Sciences, University of Delaware",USA,1,1,1,0,0,1,0,0,1,0,0,1,1,1
,,,,,,,,James Clause,Male,"Department of Computer and Information Sciences, University of Delaware",USA,1,0,1,0,0,1,0,0,1,1,0,0,0,1
,,,,,,,,,,,,,,,,,,,,,,,,,
Human factors in developing automated vehicles: A requirements engineering perspective,"automated vehicles, engineering, human factors, agile development, requirements engineering",3,1,1,0,1,0,Amna Pir Muhammad,Female,"Department of Computer Science and Engineering, Chalmers University of Gothenburg",Sweden,1,1,1,0,1,1,0,0,0,0,0,0,1,0
,,,,,,,,Eric Knauss,Male,"Department of Computer Science and Engineering, Chalmers University of Gothenburg",Sweden,1,0,0,0,1,1,0,0,0,0,1,1,1,1
,,,,,,,,Jonas Bärgman,Male,"Department of Mechanics and Maritime Sciences, Chalmers Technical University",Sweden,1,0,0,0,1,1,0,0,0,0,1,0,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,
A speech-enabled virtual assistant for efficient human–robot interaction in industrial environments,"natural language, robotics, HRI, virtual assistant, manufacturing",3,0,0,0,0,1,Chen Li,Male,"Department of Materials and Production, Aalborg University, Aalborg East, Aalborg, Denmark",Denmark,1,0,0,0,1,1,1,0,1,0,0,0,1,1
,,,,,,,,Dimitris Chrysostomou,Male,"Department of Materials and Production, Aalborg University, Aalborg East, Aalborg, Denmark",Denmark,1,0,0,0,1,1,0,1,0,0,0,0,1,1
,,,,,,,,Hongji Yang,Male,"School of Computing and Mathematical Sciences, University of Leicester, Leicester, UK",UK,0,0,0,0,0,0,0,1,0,0,0,0,0,1
,,,,,,,,,,,,,,,,,,,,,,,,,
On the impact of single and co-occurrent refactorings on quality attributes in android applications,"Software refactoring, Android applications, Software quality, Empirical study, Quality metrics",6,2,0,0,0,1,Ali Ouni,Male,"Ecole de Technologie Superieure, University of Quebec, Montreal, QC, Canada",Canada,1,0,0,1,1,1,0,0,0,1,1,0,0,1
,,,,,,,,Eman Abdullah AlOmar,Female,"Stevens Institute of Technology, Hoboken, NJ, USA",USA,1,0,0,0,1,1,0,0,0,0,0,0,0,1
,,,,,,,,Oumayma Hamdi,Female,"Ecole de Technologie Superieure, University of Quebec, Montreal, QC, Canada",Canada,1,1,1,0,0,1,0,0,0,0,0,0,1,0
,,,,,,,,Mel Ó Cinnéide,Male,"University College Dublin, Dublin, Ireland",Ireland,1,0,0,0,1,0,0,0,0,0,0,0,0,1
,,,,,,,,Mohamed Wiem Mkaouer,Male,"Rochester Institute of Technology, Rochester, NY, USA",USA,1,0,0,0,1,0,0,0,0,0,0,0,0,1
,,,,,,,,Mohamed Aymen Saied,Male,"Laval University, Quebec, QC, Canada",Canada,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Using expression parsing and algebraic operations to generate test sequences,"software, test sequences, expression, algebra, framework",2,0,0,0,1,0,Pan Liu,Male,"Faculty of Business Information, Shanghai Business School, Shanghai, China",China,1,0,1,0,1,1,0,0,1,1,1,0,1,1
,,,,,,,,Yihao Li,Male,"School of Information and Electrical Engineering, Ludong University, Yantai, China",China,1,0,1,0,0,1,0,0,0,0,1,0,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,
Effective software security enhancement using an improved PointNet++,"point cloud, 3D data, software, security, classification",4,0,0,1,1,0,Yi Zhao,Male,"College of Mathematics and Computer Science, Guangdong Ocean University",China,1,0,0,0,0,1,0,0,1,0,0,1,0,0
,,,,,,,,Hao Chen,Male,"College of Mathematics and Computer Science, Guangdong Ocean University",China,0,1,0,0,1,0,0,0,0,0,0,0,1,0
,,,,,,,,Liang Zen,Male,"College of Mathematics and Computer Science, Guangdong Ocean University",China,0,0,0,0,0,0,0,0,1,0,1,0,0,0
,,,,,,,,Zhao Li,Male,"College of Mathematics and Computer Science, Guangdong Ocean University",China,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,,,,,,,,,,,,,,,,,,,,,,,,
An effective fault localization approach based on PageRank and mutation analysis,"mutation testing, PageRank, fault localization, software testing, experimental results",4,3,1,1,1,0,Yue Yan,Female,"Engineering Research Center of Mine Digitalization (China University of Mining and Technology), School of Computer Science and Technology",China,1,0,1,0,0,1,0,0,1,0,0,0,1,1
,,,,,,,,Shujuan Jiang,Female,"Engineering Research Center of Mine Digitalization (China University of Mining and Technology), School of Computer Science and Technology",China,0,0,1,0,1,0,0,0,0,0,0,0,0,1
,,,,,,,,Yanmei Zhang,Female,"Engineering Research Center of Mine Digitalization (China University of Mining and Technology), School of Computer Science and Technology",China,0,0,0,0,0,0,0,0,0,1,0,0,0,1
,,,,,,,,Cheng Zhang,Male,"Engineering Research Center of Mine Digitalization (China University of Mining and Technology), School of Computer Science and Technology",China,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,,,,,,,,,,,,,,,,,,,,,,,,
"Agile software engineers’ affective states, their performance and software quality: A systematic mapping review","software development, agile methodologies, affective states, software quality, performance",4,0,0,1,1,0,Martín G. Salido O.,Male,"Departamento de Computación y diseño, Instituto Tecnológico de Sonora",Mexico,1,0,1,0,1,0,0,0,0,0,0,0,1,0
,,,,,,,,Gilberto Borrego,Male,"Departamento de Computación y diseño, Instituto Tecnológico de Sonora",Mexico,0,0,0,0,0,1,0,0,0,0,0,0,0,1
,,,,,,,,Ramón René Palacio Cinco,Male,"Departamento de Computación y diseño, Instituto Tecnológico de Sonora",Mexico,0,0,0,0,0,1,0,0,0,0,0,0,0,1
,,,,,,,,Luis-Felipe Rodríguez,Male,"Departamento de Computación y diseño, Instituto Tecnológico de Sonora",Mexico,0,0,0,0,0,0,0,0,0,0,1,0,0,1
,,,,,,,,,,,,,,,,,,,,,,,,,
"A systematic literature review on source code similarity measurement and clone detection: Techniques, applications, and challenges","code recommendation, plagiarism, malware, software tools, datasets",5,0,0,0,0,1,Morteza Zakeri-Nasrabadi,Male,"School of Computer Engineering, Iran University of Science and Technology, Tehran, Iran",Iran,1,0,1,0,1,1,0,1,0,0,1,1,1,0
,,,,,,,,Saeed Parsa,Male,"School of Computer Engineering, Iran University of Science and Technology, Tehran, Iran",Iran,1,,0,0,0,0,1,0,0,1,0,0,0,1
,,,,,,,,Mohammad Ramezani,Male,"School of Computer Engineering, Iran University of Science and Technology, Tehran, Iran",Iran,0,1,0,0,1,0,0,1,0,0,1,1,0,0
,,,,,,,,Chanchal Roy,Male,"Department of Computer Science, University of Saskatchewan, Saskatoon, Canada",Canada,1,0,0,0,0,0,0,1,0,1,1,0,0,1
,,,,,,,,Masoud Ekhtiarzadeh,Male,"School of Computer Engineering, Iran University of Science and Technology, Tehran, Iran",Iran,0,1,0,0,1,0,0,1,0,0,1,1,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
An empirical study on real bug fixes from solidity smart contract projects,"blockchain, security, smart contracts, bug fixes, Solidity",6,2,1,0,0,1,Yilin Wang,Female,"School of Computer Science and Engineering, Sun Yat-sen University, Guangzhou, China",China,0,0,0,0,1,0,0,0,0,0,0,1,1,0
,,,,,,,,Xiangping Chen,Male,"School of Journalism and Communication, Sun Yat-sen University, Guangzhou, China",China,1,0,0,0,0,1,0,0,0,0,0,0,0,0
,,,,,,,,Yuan Huang,Male,"School of Software Engineering, Sun Yat-sen University, Zhuhai, China",China,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,,,,,,,Hao-Nan Zhu,Male,"Department of Computer Science, University of California, Davis, United States of America",United States of America,0,0,0,0,1,0,0,0,0,0,0,1,0,0
,,,,,,,,Jing Bian,Female,"School of Computer Science and Engineering, Sun Yat-sen University, Guangzhou, China",China,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,,,,,,,,Zibin Zheng,Male,"School of Software Engineering, Sun Yat-sen University, Zhuhai, China",China,0,0,0,0,0,0,0,0,0,1,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,
A catalogue of game-specific anti-patterns based on GitHub and Game Development Stack Exchange,"Game Development, Anti-patterns, Software Engineering, Code Quality, Open-Source",4,1,1,1,1,0,Vartika Agrahari,Female,Indian Institute of Technology Tirupati,India,0,1,1,0,1,1,0,0,1,0,1,0,1,0
,,,,,,,,Shriram Shanbhag,Male,Indian Institute of Technology Tirupati,India,0,1,1,0,1,0,0,0,1,0,0,0,1,0
,,,,,,,,Sridhar Chimalakonda,Male,Indian Institute of Technology Tirupati,India,1,0,0,0,0,0,1,0,0,1,0,0,0,0
,,,,,,,,A. Eashaan Rao,Male,Indian Institute of Technology Tirupati,India,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,,,,,,,,,,,,,,,,,,,,,,,,
Automatic software vulnerability assessment by extracting vulnerability elements,"Software security, Vulnerability assessment, BERT, Automated assessment, Machine learning",7,3,0,0,0,1,Xiaobing Sun,Male,"School of Information Engineering, Yangzhou University, Yangzhou, China, Jiangsu Province Engineering Research Center of Knowledge Management and Intelligent Service, Yangzhou University, Yangzhou, China",China,0,0,0,0,0,1,0,0,1,0,1,0,1,1
,,,,,,,,Zhenlei Ye,Male,"School of Information Engineering, Yangzhou University, Yangzhou, China, Jiangsu Province Engineering Research Center of Knowledge Management and Intelligent Service, Yangzhou University, Yangzhou, China",China,0,0,0,0,0,1,0,0,1,0,1,0,1,1
,,,,,,,,Lili Bo,Female,"School of Information Engineering, Yangzhou University, Yangzhou, China, Jiangsu Province Engineering Research Center of Knowledge Management and Intelligent Service, Yangzhou University, Yangzhou, China, Key Laboratory of Safety–Critical Software Ministry of Industry and Information Technology, Nanjing University of Aeronautics and Astronautics, Nanjing, China",China,1,0,0,0,0,1,1,0,0,1,0,0,0,0
,,,,,,,,Xiaoxue Wu,Female,"School of Information Engineering, Yangzhou University, Yangzhou, China, Jiangsu Province Engineering Research Center of Knowledge Management and Intelligent Service, Yangzhou University, Yangzhou, China",China,1,0,0,0,0,0,1,0,0,1,0,0,0,0
,,,,,,,,Ying Wei,Female,"School of Information Engineering, Yangzhou University, Yangzhou, China, Jiangsu Province Engineering Research Center of Knowledge Management and Intelligent Service, Yangzhou University, Yangzhou, China",China,0,0,0,0,0,0,0,0,0,1,0,0,0,1
,,,,,,,,Tao Zhang,Male,"School of Computer Science and Engineering, Macau University of Science and Technology (MUST), Macao Special Administrative Region of China",Macao,0,0,0,0,0,0,0,0,1,0,1,0,0,0
,,,,,,,,Bin Li,Male,"School of Information Engineering, Yangzhou University, Yangzhou, China, Jiangsu Province Engineering Research Center of Knowledge Management and Intelligent Service, Yangzhou University, Yangzhou, China",China,0,0,0,0,0,0,0,0,1,0,1,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,
Vulnerable smart contract function locating based on Multi-Relational Nested Graph Convolutional Network,"Smart contracts, Vulnerability detection, Deep learning, Graph convolutional networks, Blockchain",4,0,0,0,1,0,Haiyang Liu,Male,"School of Computer Science and Information Engineering, Hefei University of Technology, Hefei, China",China,1,0,0,0,0,1,0,0,1,0,0,0,1,0
,,,,,,,,Yuqi Fan,Male,"School of Computer Science and Information Engineering, Hefei University of Technology, Hefei, China, Anhui Provincial Key Laboratory of Network and Information Security, Anhui Normal University, Wuhu, China",China,1,0,0,0,0,0,0,0,0,0,0,0,1,1
,,,,,,,,Lin Feng,Male,"School of Computer Science and Information Engineering, Hefei University of Technology, Hefei, China",China,0,0,0,0,1,0,0,0,0,1,0,0,0,0
,,,,,,,,Zhenchun Wei,Male,"School of Computer Science and Information Engineering, Hefei University of Technology, Hefei, China",China,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,,,,,,,,,,,,,,,,,,,,,,,,
How do microservices evolve? An empirical analysis of changes in open-source microservice repositories,"software, architecture, microservices, analysis, empirical",4,0,0,0,0,1,Wesley K.G. Assunção,Male,"North Carolina State University, USA",USA,1,1,0,0,1,0,0,1,0,0,1,1,1,1
,,,,,,,,Jacob Krüger,Male,"Eindhoven University of Technology, The Netherlands",Netherlands,1,1,0,0,1,0,0,0,0,0,1,1,1,1
,,,,,,,,Sébastien Mosser,Male,"McMaster University, Canada, McMaster Centre for Software Certification, Canada",Canada,1,1,0,0,1,0,0,1,0,0,1,1,1,1
,,,,,,,,Sofiane Selaoui,Male,"Université du Québec à Montréal, Canada",Canada,0,1,0,0,1,0,0,0,0,0,1,1,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,
Semantic feature learning for software defect prediction from source code and external knowledge,"software, defect, prediction, machine learning, model",5,1,0,1,1,0,Jingyu Liu,Male,"School of Reliability and Systems Engineering, Beihang University",China,1,0,0,0,0,1,0,0,1,0,0,0,1,0
,,,,,,,,Jun Ai,Male,"School of Reliability and Systems Engineering, Beihang University",China,1,0,0,0,0,0,0,0,0,1,0,0,0,0
,,,,,,,,Minyan Lu,Female,"School of Reliability and Systems Engineering, Beihang University",China,0,0,0,0,0,0,0,0,0,1,0,0,0,1
,,,,,,,,Jie Wang,Male,"School of Reliability and Systems Engineering, Beihang University",China,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,,,,,,,Haoxiang Shi,Male,"School of Reliability and Systems Engineering, Beihang University",China,0,1,0,0,1,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
ARist: An effective API argument recommendation approach,"API, Recommendation, Software, Programming, Evaluation",7,1,0,1,1,0,Son Nguyen,Male,"Faculty of Information Technology, VNU University of Engineering and Technology",Viet Nam,1,0,1,0,1,1,0,0,0,0,1,0,1,1
,,,,,,,,Cuong Tran Manh,Male,"Faculty of Information Technology, VNU University of Engineering and Technology",Viet Nam,0,1,0,0,1,0,0,0,1,0,0,1,0,0
,,,,,,,,Kien T. Tran,Male,"Faculty of Information Technology, VNU University of Engineering and Technology",Viet Nam,0,1,0,0,1,0,0,0,1,0,0,1,0,0
,,,,,,,,Tan M. Nguyen,Male,"Faculty of Information Technology, VNU University of Engineering and Technology",Viet Nam,0,1,0,0,1,0,0,0,1,0,0,1,0,0
,,,,,,,,Thu-Trang Nguyen,Female,"Faculty of Information Technology, VNU University of Engineering and Technology",Viet Nam,1,0,1,0,1,1,0,0,0,0,0,0,0,1
,,,,,,,,Kien-Tuan Ngo,Male,"Faculty of Information Technology, VNU University of Engineering and Technology",Viet Nam,0,1,1,0,0,0,0,0,1,0,1,0,0,1
,,,,,,,,Hieu Dinh Vo,Male,"Faculty of Information Technology, VNU University of Engineering and Technology",Viet Nam,1,0,1,0,1,1,1,0,0,1,1,0,0,1
,,,,,,,,,,,,,,,,,,,,,,,,,
Backsourcing of IT with focus on software development—A systematic literature review,"Backsourcing, Software development, Outsourcing, Systematic literature review, IT management",3,0,0,0,0,1,Jefferson Seide Molléri,Male,"Simula Metropolitan Centre for Digital Engineering, Pilestredet 52, Oslo, 0167, Norway, Kristiania University College, Kirkegata 17, Oslo, 0167, Norway",Norway,1,0,1,0,1,1,0,0,0,0,0,1,1,0
,,,,,,,,Casper Lassenius,Male,"Simula Metropolitan Centre for Digital Engineering, Pilestredet 52, Oslo, 0167, Norway, Aalto University, P.O. Box 11000, Espoo, 02150, Finland","Norway, Finland",1,1,0,0,1,1,0,0,0,0,0,0,1,0
,,,,,,,,Magne Jørgensen,Male,"Simula Metropolitan Centre for Digital Engineering, Pilestredet 52, Oslo, 0167, Norway",Norway,1,0,0,0,0,1,0,0,0,1,0,0,0,1
,,,,,,,,,,,,,,,,,,,,,,,,,
