Paper Title,Study Domain Terms,Author Name,Gender,gender_annotation,Affiliation,Unique Institute Count,Country,Unique Country Count,Total Authors,Female Authors,Female_lead?,Male_lead?,local_Contribution?,national_collaboration?,International_collaboration?,Supervision,FemaleSupervision,MaleSupervision
Application of agile methods in traditional logistics companies and logistics startups,"Agile methods, Logistics, IT departments, Delphi Study, Agility in logistics",Malena Zielske,Female,1,"Hamburg University of Applied Sciences, Hamburg, Germany, Lufthansa Industry Solutions GmbH & Co. KG, Norderstedt, Germany",1,Germany,1,2,1,1,0,1,1,0,0,0,0
,,Tobias Held,Male,0,"Hamburg University of Applied Sciences, Hamburg, Germany, Lufthansa Industry Solutions GmbH & Co. KG, Norderstedt, Germany",,Germany,,,,,,,,,1,0,1
Multilayered review of safety approaches for machine learning-based systems in the days of AI,"AI safety, Machine learning, Software engineering, Systems engineering, Safety requirements",Sangeeta Dey,Female,1,"Department of Artificial Intelligence, Ajou University, Suwon City, 16499, Republic of Korea",2,South Korea,1,2,1,1,0,0,1,0,0,0,0
,,Seok-Won Lee,Male,0,"Department of Artificial Intelligence, Ajou University, Suwon City, 16499, Republic of Korea, Department of Software and Computer Engineering, Ajou University, Suwon City, 16499, Republic of Korea",,South Korea,,,,,,,,,1,0,1
"The symptoms, causes, and repairs of bugs inside a deep learning library","Deep learning, Software bugs, Empirical study, TensorFlow, Safety-critical applications",Li Jia,Female,1,"Shanghai Jiao Tong University, Shanghai 200240, China",2,China,2,5,2,1,0,0,0,1,0,0,0
,,Hao Zhong,Male,0,"Shanghai Jiao Tong University, Shanghai 200240, China",,China,,,,,,,,,0,0,0
,,Xiaoyin Wang,Female,1,"University of Texas at San Antonio, TX, USA",,USA,,,,,,,,,0,0,0
,,Linpeng Huang,Male,0,"Shanghai Jiao Tong University, Shanghai 200240, China",,China,,,,,,,,,1,0,1
,,Xuansheng Lu,Male,0,"Shanghai Jiao Tong University, Shanghai 200240, China",,China,,,,,,,,,0,0,0
"A systematic literature review of blockchain and smart contract development: Techniques, tools, and open challenges","Blockchain, Smart contracts, Software engineering, Systematic review, Software development",Anna Vacca,Female,1,"Department of Engineering, University of Sannio, Italy",1,Italy,1,4,1,1,0,1,1,0,0,0,0
,,Andrea Di Sorbo,Male,0,"Department of Engineering, University of Sannio, Italy",,Italy,,,,,,,,,0,0,0
,,Corrado A. Visaggio,Male,0,"Department of Engineering, University of Sannio, Italy",,Italy,,,,,,,,,0,0,0
,,Gerardo Canfora,Male,0,"Department of Engineering, University of Sannio, Italy",,Italy,,,,,,,,,1,0,1
A family of experiments to generate graphical user interfaces from BPMN models with stereotypes,"GUI design, BPMN, UML, Stereotypes, Experimentation",Eduardo DÃ­az,Male,0,"Escola TÃ¨cnica Superior dâ€™Enginyeria, Departament dâ€™InformÃ tica, Universitat de ValÃ¨ncia, Burjassot, ValÃ¨ncia, Spain",2,Spain,2,4,1,0,1,0,0,1,0,0,0
,,JosÃ© Ignacio Panach,Male,0,"Escola TÃ¨cnica Superior dâ€™Enginyeria, Departament dâ€™InformÃ tica, Universitat de ValÃ¨ncia, Burjassot, ValÃ¨ncia, Spain",,Spain,,,,,,,,,1,0,1
,,Silvia Rueda,Female,1,"Escola TÃ¨cnica Superior dâ€™Enginyeria, Departament dâ€™InformÃ tica, Universitat de ValÃ¨ncia, Burjassot, ValÃ¨ncia, Spain",,Spain,,,,,,,,,0,0,0
,,Damiano Distante,Male,0,"University of Rome Unitelma Sapienza, Viale Regina Elena, Rome, Italy",,Italy,,,,,,,,,0,0,0
Signal-Based Properties of Cyber-Physical Systems: Taxonomy and Logic-based Characterization,"Cyber-physical systems, Signal-based properties, Temporal logics, Taxonomy, Requirements specifications",Chaima Boufaied,Female,1,"Interdisciplinary Centre for Security, Reliability and Trust (SnT), University of Luxembourg, Luxembourg",3,Luxembourg,2,5,1,1,0,0,0,1,0,0,0
,,Maris Jukss,Male,0,"Interdisciplinary Centre for Security, Reliability and Trust (SnT), University of Luxembourg, Luxembourg",,Luxembourg,,,,,,,,,0,0,0
,,Domenico Bianculli,Male,0,"Interdisciplinary Centre for Security, Reliability and Trust (SnT), University of Luxembourg, Luxembourg, School of EECS, University of Ottawa, Canada",,"Luxembourg, Canada",,,,,,,,,1,0,1
,,Lionel Claude Briand,Male,0,"Interdisciplinary Centre for Security, Reliability and Trust (SnT), University of Luxembourg, Luxembourg, School of EECS, University of Ottawa, Canada",,"Luxembourg, Canada",,,,,,,,,1,0,1
,,Yago Isasi Parache,Male,0,"LuxSpace SÃ rl, Luxembourg",,Luxembourg,,,,,,,,,0,0,0
A comprehensive comparative study of clustering-based unsupervised defect prediction models,"Defect prediction, Clustering, Unsupervised learning, Software engineering, Performance evaluation",Zhou Xu,Male,0,"Key Laboratory of Dependable Service Computing in Cyber Physical Society (Chongqing University), Ministry of Education, China, School of Big Data and Software Engineering, Chongqing University, Chongqing, China",4,China,3,8,2,0,1,0,0,1,0,0,0
,,Li Li,Female,1,"Faculty of Information Technology, Monash University, Australia",,Australia,,,,,,,,,0,0,0
,,Meng Yan,Male,0,"Key Laboratory of Dependable Service Computing in Cyber Physical Society (Chongqing University), Ministry of Education, China, School of Big Data and Software Engineering, Chongqing University, Chongqing, China",,China,,,,,,,,,1,0,1
,,Jin Liu,Male,0,"School of Computer Science, Wuhan University, Wuhan, China",,China,,,,,,,,,1,0,1
,,Xiapu Luo,Male,0,"Department of Computing, The Hong Kong Polytechnic University, Hong Kong, China",,Hong Kong,,,,,,,,,0,0,0
,,John Grundy,Male,0,"Faculty of Information Technology, Monash University, Australia",,Australia,,,,,,,,,0,0,0
,,Yifeng Zhang,Male,0,"School of Computer Science, Wuhan University, Wuhan, China",,China,,,,,,,,,0,0,0
,,Xiaohong Zhang,Female,1,"Key Laboratory of Dependable Service Computing in Cyber Physical Society (Chongqing University), Ministry of Education, China, School of Big Data and Software Engineering, Chongqing University, Chongqing, China",,China,,,,,,,,,0,0,0
How are issue reports discussed in Gitter chat rooms?,"Open source software development, Communication, Chat systems, Gitter, Issue reports",Hareem Sahar,Female,1,"University of Alberta, Edmonton, Canada",1,Canada,1,3,1,1,0,1,1,0,0,0,0
,,Abram Hindle,Male,0,"University of Alberta, Edmonton, Canada",,Canada,,,,,,,,,1,0,1
,,Cor-Paul Bezemer,Male,0,"University of Alberta, Edmonton, Canada",,Canada,,,,,,,,,1,0,1
Convolutional neural networks for enhanced classification mechanisms of metamodels,"Model-Driven Engineering, Metamodels, Classification, Convolutional neural networks, Supervised learning",Phuong T. Nguyen,Female,1,"UniversitÃ degli studi dellâ€™Aquila, 67100 Lâ€™Aquila, Italy",2,Italy,1,5,1,1,0,0,1,0,0,0,0
,,Davide Di Ruscio,Male,0,"UniversitÃ degli studi dellâ€™Aquila, 67100 Lâ€™Aquila, Italy",,Italy,,,,,,,,,1,0,1
,,Alfonso Pierantonio,Male,0,"UniversitÃ degli studi dellâ€™Aquila, 67100 Lâ€™Aquila, Italy",,Italy,,,,,,,,,1,0,1
,,Juri Di Rocco,Male,0,"UniversitÃ degli studi dellâ€™Aquila, 67100 Lâ€™Aquila, Italy",,Italy,,,,,,,,,0,0,0
,,Ludovico Iovino,Male,0,"Gran Sasso Science Institute, Italy",,Italy,,,,,,,,,0,0,0
An automated model-based approach to repair test suites of evolving web applications,"Automated testing, Captureâ€“Replay tools, Test repair, Web applications, DOM coverage",Javaria Imtiaz,Female,1,"Quest Lab, Department of Computer Science, National University of Computer and Emerging Sciences, Islamabad, Pakistan",2,Pakistan,1,3,1,1,0,0,1,0,0,0,0
,,Muhammad Zohaib Iqbal,Male,0,"UAV Dependability Lab, National Center of Robotics and Automation (NCRA), Islamabad, Pakistan",,Pakistan,,,,,,,,,1,0,1
,,Muhammad Uzair Khan,Male,0,"UAV Dependability Lab, National Center of Robotics and Automation (NCRA), Islamabad, Pakistan",,Pakistan,,,,,,,,,0,0,0
Does code quality affect pull request acceptance? An empirical study,"Code quality, Pull requests, Software maintenance, Machine learning, Case study",Valentina Lenarduzzi,Female,1,"LUT University, Lahti, Finland",2,Finland,1,4,2,1,0,0,1,0,0,0,0
,,Vili Nikkola,Male,0,"Tampere University, Tampere, Finland",,Finland,,,,,,,,,0,0,0
,,Nyyti SaarimÃ¤ki,Female,1,"Tampere University, Tampere, Finland",,Finland,,,,,,,,,0,0,0
,,Davide Taibi,Male,0,"Tampere University, Tampere, Finland",,Finland,,,,,,,,,1,0,1
A critical review on the evaluation of automated program repair systems,"Automated program repair, Evaluation metrics, Software engineering, Bug fixing, Patch generation",Kui Liu,Male,0,"College of Computer Science and Technology, Nanjing University of Aeronautics and Astronautics, China",4,China,4,7,1,0,1,0,0,1,0,0,0
,,Li Li,Female,1,"Faculty of Information Technology, Monash University, Australia",,Australia,,,,,,,,,0,0,0
,,Anil Koyuncu,Male,0,"Interdisciplinary Centre for Security, Reliability and Trust (SnT), University of Luxembourg, Luxembourg",,Luxembourg,,,,,,,,,1,0,1
,,Dongsun Kim,Male,0,"School of Computer Science and Engineering, Kyungpook National University, South Korea",,South Korea,,,,,,,,,0,0,0
,,Zhe Liu,Male,0,"College of Computer Science and Technology, Nanjing University of Aeronautics and Astronautics, China",,China,,,,,,,,,1,0,1
,,Jacques Klein,Male,0,"Interdisciplinary Centre for Security, Reliability and Trust (SnT), University of Luxembourg, Luxembourg",,Luxembourg,,,,,,,,,1,0,1
,,TegawendÃ© F. BissyandÃ©,Male,0,"Interdisciplinary Centre for Security, Reliability and Trust (SnT), University of Luxembourg, Luxembourg",,Luxembourg,,,,,,,,,1,0,1
An evolutionary approach for generating software models: The case of Kromaia in Game Software Engineering,"Model-Driven Engineering, Game Development, Software Models, Evolutionary Model Generation, Statistical Analysis",Daniel Blasco,Male,0,"Universidad San Jorge. SVIT Research Group, AutovÃ­a A-23 Zaragoza-Huesca Km.299, 50830, Zaragoza, Spain",1,Spain,1,4,1,0,1,1,1,0,1,0,1
,,Jaime Font,Male,0,"Universidad San Jorge. SVIT Research Group, AutovÃ­a A-23 Zaragoza-Huesca Km.299, 50830, Zaragoza, Spain",,Spain,,,,,,,,,0,0,0
,,Mar Zamorano,Female,1,"Universidad San Jorge. SVIT Research Group, AutovÃ­a A-23 Zaragoza-Huesca Km.299, 50830, Zaragoza, Spain",,Spain,,,,,,,,,0,0,0
,,Carlos Cetina,Male,0,"Universidad San Jorge. SVIT Research Group, AutovÃ­a A-23 Zaragoza-Huesca Km.299, 50830, Zaragoza, Spain",,Spain,,,,,,,,,1,0,1
Product metrics for spreadsheetsâ€”A systematic review,"Software metrics, Spreadsheets, Product metrics, Literature review, Development processes",Birgit Hofer,Female,1,"Department of Software Engineering, Graz University of Technology, Austria",2,Austria,1,5,1,1,0,0,1,0,0,0,0
,,Dietmar Jannach,Male,0,"Department of Computer Science, University of Klagenfurt, Austria",,Austria,,,,,,,,,1,0,1
,,Patrick Koch,Male,0,"Department of Computer Science, University of Klagenfurt, Austria",,Austria,,,,,,,,,0,0,0
,,Konstantin Schekotihin,Male,0,"Department of Computer Science, University of Klagenfurt, Austria",,Austria,,,,,,,,,0,0,0
,,Franz Wotawa,Male,0,"Department of Software Engineering, Graz University of Technology, Austria",,Austria,,,,,,,,,1,0,1
"Accessibility in the mobile development industry in Brazil: Awareness, knowledge, adoption, motivations and barriers",Mobile Accessibility; Assistive Technologies; Accessibility Guidelines; Software Development Barriers; Digital Accessibility Awareness,Manoel Victor Rodrigues Leite,Male,0,"School of Arts, Sciences and Humanities, University of SÃ£o Paulo",2,Brazil,1,4,1,0,1,0,1,0,0,0,0
,,Lilian Passos Scatalon,Female,1,"School of Arts, Sciences and Humanities, University of SÃ£o Paulo",,Brazil,,,,,,,,,0,0,0
,,AndrÃ© Pimenta Freire,Male,0,Federal University of Lavras,,Brazil,,,,,,,,,0,0,0
,,Marcelo Medeiros Eler,Male,0,"School of Arts, Sciences and Humanities, University of SÃ£o Paulo",,Brazil,,,,,,,,,1,0,1
GEML: A grammar-based evolutionary machine learning approach for design-pattern detection,"Software engineering, machine learning, evolutionary algorithms, design patterns, context-free grammar",Rafael Barbudo,Male,0,"Department of Computer Science and Numerical Analysis, University of CÃ³rdoba, 14071, CÃ³rdoba, Spain",2,Spain,2,4,1,0,1,0,0,1,0,0,0
,,Aurora RamÃ­rez,Female,1,"Department of Computer Science and Numerical Analysis, University of CÃ³rdoba, 14071, CÃ³rdoba, Spain",,Spain,,,,,,,,,0,0,0
,,Francisco Servant,Male,0,"Department of Computer Science, Virginia Tech, VA 24060, Blacksburg, USA",,USA,,,,,,,,,0,0,0
,,JosÃ© RaÃºl Romero,Male,0,"Department of Computer Science and Numerical Analysis, University of CÃ³rdoba, 14071, CÃ³rdoba, Spain",,Spain,,,,,,,,,1,0,1
Code smell detection by deep direct-learning and transfer-learning,"Code smell, deep learning, transfer learning, machine learning, autoencoder",Tushar Sharma,Male,0,"Siemens Technology, Charlotte, USA",2,USA,2,4,1,0,1,0,0,1,0,0,0
,,Vasiliki Efstathiou,Female,1,"Athens University of Economics and Business, Athens, Greece",,Greece,,,,,,,,,0,0,0
,,Panos Louridas,Male,0,"Athens University of Economics and Business, Athens, Greece",,Greece,,,,,,,,,1,0,1
,,Diomidis Spinellis,Male,0,"Athens University of Economics and Business, Athens, Greece",,Greece,,,,,,,,,1,0,1
How to kill them all: An exploratory study on the impact of code observability on mutation testing,"Mutation testing, test quality, software engineering, refactoring, testability",Qianqian Zhu,Female,1,Delft University of Technology,1,Netherlands,1,3,1,1,0,1,1,0,0,0,0
,,Andy Zaidman,Male,0,Delft University of Technology,,Netherlands,,,,,,,,,1,0,1
,,Annibale Panichella,Male,0,Delft University of Technology,,Netherlands,,,,,,,,,1,0,1
Requirements engineering challenges and practices in large-scale agile system development,"Agile methods, Requirements engineering, Large-scale systems, SAFeÂ®, LeSS",Rashidah Kasauli,Female,1,"Department of Computer Science and Engineering, Chalmers â€” University of Gothenburg",2,Sweden,2,5,2,1,0,0,0,1,0,0,0
,,Eric Knauss,Male,0,"Department of Computer Science and Engineering, Chalmers â€” University of Gothenburg",,Sweden,,,,,,,,,1,0,1
,,Jennifer Horkoff,Female,1,"Department of Computer Science and Engineering, Chalmers â€” University of Gothenburg",,Sweden,,,,,,,,,0,0,0
,,Grischa Liebel,Male,0,"School of Computer Science, Reykjavik University",,Iceland,,,,,,,,,0,0,0
,,Francisco Gomes de Oliveira Neto,Male,0,"Department of Computer Science and Engineering, Chalmers â€” University of Gothenburg",,Sweden,,,,,,,,,0,0,0
Mining Architecture Tactics and Quality Attributes knowledge in Stack Overflow,"Architecture tactics, Quality attributes, Mining, Stack Overflow, Software design",Tingting Bi,Female,1,"School of Computer Science, Wuhan University, Wuhan, China; Faculty of Information Technology, Monash University, Melbourne, Australia",4,"China, Australia",4,4,1,1,0,0,0,1,0,0,0
,,Peng Liang,Male,0,"School of Computer Science, Wuhan University, Wuhan, China",,China,,,,,,,,,1,0,1
,,Antony Tang,Male,0,"Faculty of Science, Engineering and Technology, Swinburne University of Technology, Melbourne, Australia; Software and Services Research Group, Vrije Universiteit Amsterdam, Netherlands",,"Australia, Netherlands",,,,,,,,,1,0,1
,,Xin Xia,Male,0,"Faculty of Information Technology, Monash University, Melbourne, Australia",,Australia,,,,,,,,,1,0,1
A qualitative analysis of themes in instant messaging communication of software developers,"software engineering, instant messaging, thematic analysis, communication, chat rooms",Camila Costa Silva,Female,1,University of Canterbury,1,New Zealand,1,3,1,1,0,1,1,0,0,0,0
,,Matthias Galster,Male,0,University of Canterbury,,New Zealand,,,,,,,,,1,0,1
,,Fabian Gilson,Male,0,University of Canterbury,,New Zealand,,,,,,,,,1,0,1
A sampling-based online Co-Location-Resistant Virtual Machine placement strategy,"VM placement, security, cloud IaaS, optimization, sampling",Marwa Thabet,Female,1,"University of Sousse, ISITCom, CES-Laboratory, University of Sfax",3,Tunisia,2,3,1,1,0,0,0,1,0,0,0
,,Brahim Hnich,Male,0,"Faculty of Sciences, University of Monastir, CES-Laboratory, University of Sfax",,Tunisia,,,,,,,,,1,0,1
,,Mouhebeddine Berrima,Male,0,"Department of Applied Natural Sciences, Applied College, Qassim University, LIPSIC, University of Tunis El Manar",,"Saudi Arabia, Tunisia",,,,,,,,,1,0,1
A software reliability growth model for imperfect debugging,"Software reliability, debugging, error fluctuation, testing, optimization",Yeu-Shiang Huang,Male,0,"Department of Industrial and Information Management, Center for Innovative FinTech Business Models, National Cheng Kung University",3,Taiwan,1,3,1,0,1,0,1,0,1,0,1
,,Kuei-Chen Chiu,Male,0,"Department of Finance, Shih Chien University (Kaohsiung Campus)",,Taiwan,,,,,,,,,0,0,0
,,Wan-Ming Chen,Female,1,"Department of Industrial and Information Management, National Cheng Kung University",,Taiwan,,,,,,,,,0,0,0
A user survey on the adoption of crowd-based software engineering instructional screencasts by the new generation of software developers,"software engineering, instructional screencasts, user survey, crowd-based documentation, how-to tutorial",Parisa Moslehi,Female,1,"Concordia University, Montreal, Canada",2,Canada,1,3,1,1,0,0,1,0,0,0,0
,,Juergen Rilling,Male,0,"Concordia University, Montreal, Canada",,Canada,,,,,,,,,1,0,1
,,Bram Adams,Male,0,"Queens University, Kingston, Canada",,Canada,,,,,,,,,1,0,1
Agile methods used by traditional logistics companies and logistics start-ups: a systematic literature review,"Agile methods, Logistics, Start-ups, Systematic review, Innovation",Malena Zielske,Female,1,"Hamburg University of Applied Sciences, Lufthansa Industry Solutions GmbH & Co. KG",2,Germany,1,2,1,1,0,0,1,0,0,0,0
,,Tobias Held,Male,0,Hamburg University of Applied Sciences,,Germany,,,,,,,,,1,0,1
An automated extract method refactoring approach to correct the long method code smell,"Code smells, Refactoring, Long method, Java, Graph analysis",Mahnoosh Shahidi,Female,1,Iran University of Science and Technology,1,Iran,1,3,1,1,0,1,1,0,0,0,0
,,Mehrdad Ashtiani,Male,0,Iran University of Science and Technology,,Iran,,,,,,,,,1,0,1
,,Morteza Zakeri-Nasrabadi,Male,0,Iran University of Science and Technology,,Iran,,,,,,,,,1,0,1
CIT-daily: A combinatorial interaction testing-based daily build process,"CIT, build processes, fault detection, configurable systems, t-way coverage",Hanefi Mercan,Male,0,Sabanci University,1,Turkey,1,6,2,0,1,1,1,0,0,0,0
,,Atakan Aytar,Male,0,Sabanci University,,Turkey,,,,,,,,,0,0,0
,,Giray Coskun,Male,0,Sabanci University,,Turkey,,,,,,,,,0,0,0
,,Dilara Mustecep,Female,1,Sabanci University,,Turkey,,,,,,,,,0,0,0
,,GuÌˆlsuÌˆm Uzer,Female,1,Sabanci University,,Turkey,,,,,,,,,0,0,0
,,Cemal Yilmaz,Male,0,Sabanci University,,Turkey,,,,,,,,,1,0,1
Classifying crowdsourced mobile test reports with image features: An empirical study,"Crowdsourced testing, Mobile testing, Image features, Test report classification, Machine learning",Yuying Li,Female,1,"The State Key Laboratory for Novel Software Technology, Nanjing University",1,China,1,7,1,1,0,1,1,0,0,0,0
,,Yang Feng,Male,0,"The State Key Laboratory for Novel Software Technology, Nanjing University",,China,,,,,,,,,0,0,0
,,Rui Hao,Male,0,"The State Key Laboratory for Novel Software Technology, Nanjing University",,China,,,,,,,,,0,0,0
,,Di Liu,Male,0,"The State Key Laboratory for Novel Software Technology, Nanjing University",,China,,,,,,,,,0,0,0
,,Chunrong Fang,Male,0,"The State Key Laboratory for Novel Software Technology, Nanjing University",,China,,,,,,,,,0,0,0
,,Zhenyu Chen,Male,0,"The State Key Laboratory for Novel Software Technology, Nanjing University",,China,,,,,,,,,0,0,0
,,Baowen Xu,Male,0,"The State Key Laboratory for Novel Software Technology, Nanjing University",,China,,,,,,,,,1,0,1
Conformance assessment of Architectural Design Decisions on API endpoint designs derived from domain modelsâœ©,"Microservices, API design, DDD, conformance, automation",Apitchaka Singjai,Female,1,"University of Vienna, Faculty of Computer Science, Research Group Software Architecture",1,Austria,1,2,1,1,0,1,1,0,0,0,0
,,Uwe Zdun,Male,0,"University of Vienna, Faculty of Computer Science, Research Group Software Architecture",,Austria,,,,,,,,,1,0,1
Deep learning application on code clone detection: A review of current knowledge,"Code quality, code clone detection, bad smells, deep learning, maintainability",Maggie Lei,Female,1,"Computer Science and Engineering, Oakland University, Rochester, MI, 48309, United States",1,United States,1,5,2,1,0,1,1,0,0,0,0
,,Hao Li,Male,0,"Computer Science and Engineering, Oakland University, Rochester, MI, 48309, United States",,United States,,,,,,,,,0,0,0
,,Ji Li,Male,0,"Computer Science and Engineering, Oakland University, Rochester, MI, 48309, United States",,United States,,,,,,,,,0,0,0
,,Namrata Aundhkar,Female,1,"Computer Science and Engineering, Oakland University, Rochester, MI, 48309, United States",,United States,,,,,,,,,0,0,0
,,Dae-Kyoo Kim,Male,0,"Computer Science and Engineering, Oakland University, Rochester, MI, 48309, United States",,United States,,,,,,,,,1,0,1
Estimating the potential of program repair search spaces with commit analysis,"Program repair, commit analysis, GitHub, repair strategy, static analysis",Khashayar Etemadi,Male,0,KTH Royal Institute of Technology,4,Sweden,4,5,1,0,1,0,0,1,0,0,0
,,Niloofar Tarighat,Female,1,Sharif University of Technology,,Iran,,,,,,,,,0,0,0
,,Siddharth Yadav,Male,0,Indraprastha Institute of Information Technology Delhi,,India,,,,,,,,,0,0,0
,,Matias Martinez,Male,0,UniversitÃ© Polytechnique Hauts-de-France,,France,,,,,,,,,1,0,1
,,Martin Monperrus,Male,0,KTH Royal Institute of Technology,,Sweden,,,,,,,,,1,0,1
Exploiting gated graph neural network for detecting and explaining self-admitted technical debts,"SATD, Gated Graph Neural Network, Technical Debt, Software Maintenance, Hybrid Attention-Based",Jiaojiao Yu,Female,1,"School of Computer Science, Wuhan University, Wuhan, China",3,China,2,6,1,1,0,0,0,1,0,0,0
,,Kunsong Zhao,Male,0,"School of Computer Science, Wuhan University, Wuhan, China",,China,,,,,,,,,0,0,0
,,Jin Liu,Male,0,"School of Computer Science, Wuhan University, Wuhan, China",,China,,,,,,,,,1,0,1
,,Xiao Liu,Male,0,"School of Information Technology, Deakin University, Geelong, Australia",,Australia,,,,,,,,,0,0,0
,,Zhou Xu,Male,0,"School of Big Data and Software Engineering, Chongqing University, Chongqing, China",,China,,,,,,,,,0,0,0
,,Xin Wang,Male,0,"School of Computer Science, Wuhan University, Wuhan, China",,China,,,,,,,,,0,0,0
Exploring factors and metrics to select open source software components for integration: An empirical study,"Open Source Software, OSS selection, Metrics, APIs, GitHub",Xiaozhou Li,Male,0,Tampere University,1,Finland,1,4,1,0,1,1,1,0,0,0,0
,,Sergio Moreschini,Male,0,Tampere University,,Finland,,,,,,,,,0,0,0
,,Zheying Zhang,Female,1,Tampere University,,Finland,,,,,,,,,0,0,0
,,Davide Taibi,Male,0,Tampere University,,Finland,,,,,,,,,1,0,1
"GitHub repositories with links to academic papers: Public access, traceability, and evolutionâœ©","Traceability, GitHub, academic papers, access, evolution",Supatsara Wattanakriengkrai,Female,1,Nara Institute of Science and Technology,4,Japan,3,7,2,1,0,0,0,1,0,0,0
,,Bodin Chinthanet,Male,0,Nara Institute of Science and Technology,,Japan,,,,,,,,,0,0,0
,,Hideaki Hata,Male,0,Shinshu University,,Japan,,,,,,,,,0,0,0
,,Raula Gaikovina Kula,Male,0,Nara Institute of Science and Technology,,Japan,,,,,,,,,0,0,0
,,Christoph Treude,Male,0,University of Melbourne,,Australia,,,,,,,,,0,0,0
,,Jin Guo,Female,1,McGill University,,Canada,,,,,,,,,0,0,0
,,Kenichi Matsumoto,Male,0,Nara Institute of Science and Technology,,Japan,,,,,,,,,1,0,1
GT-SimNet: Improving code automatic summarization via multi-modal similarity networks,"code summarization, multi-modal similarity, semantic modelling, API dependency graph, feature fusion",Xuejian Gao,Male,0,"Shandong Provincial Key Laboratory for Distributed Computer Software Novel Technology, School of Information Science and Engineering, Shandong Normal University",1,China,1,6,2,0,1,1,1,0,0,0,0
,,Xue Jiang,Female,1,"Shandong Provincial Key Laboratory for Distributed Computer Software Novel Technology, School of Information Science and Engineering, Shandong Normal University",,China,,,,,,,,,0,0,0
,,Qiong Wu,Female,1,"Shandong Provincial Key Laboratory for Distributed Computer Software Novel Technology, School of Information Science and Engineering, Shandong Normal University",,China,,,,,,,,,0,0,0
,,Xiao Wang,Male,0,"Shandong Provincial Key Laboratory for Distributed Computer Software Novel Technology, School of Information Science and Engineering, Shandong Normal University",,China,,,,,,,,,0,0,0
,,Chen Lyu,Male,0,"Shandong Provincial Key Laboratory for Distributed Computer Software Novel Technology, School of Information Science and Engineering, Shandong Normal University",,China,,,,,,,,,1,0,1
,,Lei Lyu,Male,0,"Shandong Provincial Key Laboratory for Distributed Computer Software Novel Technology, School of Information Science and Engineering, Shandong Normal University",,China,,,,,,,,,0,0,0
Hierarchical semantic-aware neural code representationâœ©,"Code representation, Program comprehension, Tree-LSTM, Semantic graph, DFS-based method",Yuan Jiang,Male,0,"School of Computer Science and Technology, Harbin Institute of Technology",2,China,2,4,1,0,1,0,0,1,0,0,0
,,Xiaohong Su,Male,0,"School of Computer Science and Technology, Harbin Institute of Technology",,China,,,,,,,,,1,0,1
,,Christoph Treude,Male,0,"School of Computing and Information Systems, University of Melbourne",,Australia,,,,,,,,,0,0,0
,,Tiantian Wang,Female,1,"School of Computer Science and Technology, Harbin Institute of Technology",,China,,,,,,,,,0,0,0
Identification and measurement of Requirements Technical Debt in software development: A systematic literature review,"Requirements Technical Debt, Systematic Literature Review, Software Evolution, Metrics, Requirements Engineering",Ana Melo,Female,1,"University of Pernambuco, Recife, Brazil",2,Brazil,2,4,3,1,0,0,0,1,0,0,0
,,Roberta Fagundes,Female,1,"University of Pernambuco, Recife, Brazil",,Brazil,,,,,,,,,0,0,0
,,Valentina Lenarduzzi,Female,1,"University of Oulu, Oulu, Finland",,Finland,,,,,,,,,0,0,0
,,Wylliams Barbosa Santos,Male,0,"University of Pernambuco, Recife, Brazil",,Brazil,,,,,,,,,1,0,1
Just-in-time software vulnerability detection: Are we there yet?,"Software vulnerabilities, Machine learning, Source code, Vulnerability detection, Ensemble algorithms",Francesco Lomio,Male,0,Tampere University,3,Finland,2,5,1,0,1,0,0,1,0,0,0
,,Emanuele Iannone,Male,0,"SeSa Lab â€” Department of Computer Science, University of Salerno",,Italy,,,,,,,,,0,0,0
,,Andrea De Lucia,Male,0,"SeSa Lab â€” Department of Computer Science, University of Salerno",,Italy,,,,,,,,,1,0,1
,,Fabio Palomba,Male,0,"SeSa Lab â€” Department of Computer Science, University of Salerno",,Italy,,,,,,,,,0,0,0
,,Valentina Lenarduzzi,Female,1,"University of Oulu, Tampere University",,Finland,,,,,,,,,0,0,0
Mutation testing of PL/SQL programsâœ©,"Mutation testing, PL/SQL, mutant generation, automation, industrial case study",Arzu Behiye TarÄ±mcÄ±,Female,1,"Turkcell Technology, Istanbul, Turkey",2,Turkey,1,2,1,1,0,0,1,0,0,0,0
,,Hasan SÃ¶zer,Male,0,"Ozyegin University, Istanbul, Turkey",,Turkey,,,,,,,,,1,0,1
Profiling gas consumption in Solidity smart contracts,"Blockchain, Smart Contracts, Gas, Solidity, Ethereum",Andrea Di Sorbo,Male,0,"Department of Engineering, University of Sannio",1,Italy,1,5,2,0,1,1,1,0,0,0,0
,,Sonia Laudanna,Female,1,"Department of Engineering, University of Sannio",,Italy,,,,,,,,,0,0,0
,,Anna Vacca,Female,1,"Department of Engineering, University of Sannio",,Italy,,,,,,,,,0,0,0
,,Corrado A. Visaggio,Male,0,"Department of Engineering, University of Sannio",,Italy,,,,,,,,,0,0,0
,,Gerardo Canfora,Male,0,"Department of Engineering, University of Sannio",,Italy,,,,,,,,,1,0,1
Quantitative verification with adaptive uncertainty reduction,"stochastic models, epistemic uncertainty, Markov chains, unit testing, quantitative verification",Naif Alasmari,Male,0,"Department of Computer Science, University of York",2,UK,2,4,1,0,1,0,0,1,0,0,0
