Paper Title,Conceptualization,FemaleConCep,MaleConCep,Female Conceptualization Ratio,Male Conceptualization Ratio,Data Curation,Female,Male,Female Data_Curation Ratio,Male Data_Curation Ratio,Formal Analysis,Female,Male,Female Formal_Analysis Ratio,Male Formal_Analysis Ratio,Funding Acquisition,Female,Male,Female Funding Acquisition Ratio,Male Funding Acquisition Ratio,Investigation,Female,Male,Female Investigation Ratio,Male Investigation Ratio,Methodology,Female,Male,Female Methodology Ratio,Male Methodology Ratio,Project Administration,Female,Male,Female Project Administration Ratio,Male Project Administration Ratio,Resources,Feamle,Male,Female Resources Ratio,Male Resources Ratio,Software,FemaleSoftware,MaleSoftware,Female Software Ratio,Male Software Ratio,Supervision,FemaleSup,MaleSup,Female Supervision Ratio,Male Supervision Ratio,Validation,FemaleValidation,MaleValidation,Female Validation Ratio,Male Validation Ratio,Visualization,FemaleVisualization,MaleVisualization,Female Visualization Ratio,Male Visualization Ratio,Writing â€“ Original Draft,FemaleOriginalDraft,MaleOriginalDraft,Female Writing â€“ Original Draft Ratio,Male Writing â€“ Original Draft Ratio,Writing â€“ Review & Editing,FemaleReview,MaleReview,Female Writing â€“ Review & Editing Ratio,Male Writing â€“ Review & Editing Ratio
,1,0,1,,,0,0,0,,,0,0,0,,,1,0,1,,,1,0,1,,,0,0,0,,,1,0,1,,,0,0,0,,,0,0,0,,,1,0,1,,,0,0,0,,,1,0,1,,,1,0,1,,,1,0,1,,
,1,0,1,,,0,0,0,,,0,0,0,,,0,0,0,,,1,0,1,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,1,0,1,,,0,0,0,,,1,0,1,,
,1,0,1,,,0,0,0,,,0,0,0,,,0,0,0,,,1,0,1,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,1,0,1,,,0,0,0,,,1,0,1,,,0,0,0,,,1,0,1,,
,1,0,1,,,0,0,0,,,0,0,0,,,0,0,0,,,1,0,1,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,1,0,1,,,1,0,1,,,1,0,1,,
,1,1,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,1,1,0,,,0,0,0,,,0,0,0,,,1,1,0,,,0,0,0,,,1,1,0,,,0,0,0,,,1,1,0,,
,1,0,1,,,0,0,0,,,0,0,0,,,0,0,0,,,1,0,1,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,1,0,1,,,0,0,0,,,1,0,1,,
,1,1,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,1,1,0,,,0,0,0,,,1,1,0,,
How to identify class comment types? A multi-language approach for class comment classification,1,1,0,1.00,0.75,1,1,0,1.00,0.00,0,0,0,0.00,0.25,0,0,0,0.00,0.50,1,1,0,1.00,0.75,1,1,0,1.00,0.75,1,1,0,1.00,0.25,0,0,0,0.00,0.00,1,1,0,1.00,0.75,0,0,0,0.00,0.25,1,1,0,1.00,0.50,1,1,0,1.00,0.00,1,1,0,1.00,0.00,1,1,0,1.00,0.75
,1,0,1,,,0,0,0,,,1,0,1,,,1,0,1,,,1,0,1,,,1,0,1,,,1,0,1,,,0,0,0,,,1,0,1,,,0,0,0,,,1,0,1,,,0,0,0,,,0,0,0,,,1,0,1,,
,1,0,1,,,0,0,0,,,0,0,0,,,0,0,0,,,1,0,1,,,1,0,1,,,0,0,0,,,0,0,0,,,1,0,1,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,
,1,0,1,,,0,0,0,,,0,0,0,,,1,0,1,,,1,0,1,,,1,0,1,,,0,0,0,,,0,0,0,,,1,0,1,,,0,0,0,,,1,0,1,,,0,0,0,,,0,0,0,,,1,0,1,,
,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,1,0,1,,,0,0,0,,,0,0,0,,,0,0,0,,,1,0,1,,
"Architecture information communication in two OSS projects: The why, who, when, and what",1,1,0,1.00,1.00,1,1,0,1.00,0.33,0,0,0,0.00,0.00,0,0,0,0.00,0.33,1,1,0,1.00,1.00,0,0,0,0.00,0.00,0,0,0,0.00,0.33,0,0,0,0.00,0.33,0,0,0,0.00,0.00,0,0,0,0.00,0.67,0,0,0,0.00,0.00,1,1,0,1.00,0.33,1,1,0,1.00,0.00,0,0,0,0.00,1.00
,1,0,1,,,1,0,1,,,0,0,0,,,0,0,0,,,1,0,1,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,1,0,1,,,0,0,0,,,1,0,1,,
,1,0,1,,,0,0,0,,,0,0,0,,,1,0,1,,,1,0,1,,,0,0,0,,,1,0,1,,,1,0,1,,,0,0,0,,,1,0,1,,,0,0,0,,,0,0,0,,,0,0,0,,,1,0,1,,
,1,0,1,,,0,0,0,,,0,0,0,,,0,0,0,,,1,0,1,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,1,0,1,,,0,0,0,,,0,0,0,,,0,0,0,,,1,0,1,,
Investigating and recommending co-changed entities for JavaScript programs,0,0,0,1.00,0.00,1,0,1,0.00,0.50,1,0,1,0.00,0.50,0,0,0,0.00,0.00,1,0,1,0.00,0.50,1,0,1,1.00,1.00,0,0,0,1.00,0.00,1,0,1,0.00,0.50,1,0,1,0.00,0.50,0,0,0,1.00,0.00,1,0,1,0.00,0.50,1,0,1,0.00,0.50,1,0,1,0.00,0.50,0,0,0,1.00,0.50
,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,1,0,1,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,1,0,1,,
,1,1,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,1,1,0,,,1,1,0,,,0,0,0,,,0,0,0,,,1,1,0,,,0,0,0,,,0,0,0,,,0,0,0,,,1,1,0,,
Software defect prediction based on enhanced metaheuristic feature selection optimization and a hybrid deep neural network,1,0,1,0.00,0.50,0,0,0,0.50,0.00,0,0,0,0.00,0.00,0,0,0,0.00,0.00,0,0,0,0.00,0.00,1,0,1,1.00,1.00,0,0,0,0.00,0.00,0,0,0,0.00,0.00,1,0,1,0.00,0.50,0,0,0,0.50,0.00,0,0,0,0.00,0.00,0,0,0,0.00,0.00,1,0,1,0.50,0.50,0,0,0,0.00,0.00
,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,1,1,0,,,0,0,0,,,0,0,0,,,0,0,0,,,1,1,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,
,0,0,0,,,1,1,0,,,0,0,0,,,0,0,0,,,0,0,0,,,1,1,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,1,1,0,,,0,0,0,,
,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,1,0,1,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,
Tuning configuration of Apache Spark on public clouds by combining multi-objective optimization and performance prediction model,1,0,1,0.00,0.50,0,0,0,0.00,0.50,0,0,0,0.00,0.00,0,0,0,1.00,0.00,0,0,0,0.00,0.00,1,0,1,0.00,0.50,0,0,0,1.00,0.00,0,0,0,0.00,0.00,1,0,1,0.00,0.50,0,0,0,1.00,0.00,0,0,0,0.00,0.50,0,0,0,0.00,0.50,1,0,1,0.00,0.50,1,0,1,0.00,0.50
,0,0,0,,,0,0,0,,,0,0,0,,,1,1,0,,,0,0,0,,,0,0,0,,,1,1,0,,,0,0,0,,,0,0,0,,,1,1,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,
,0,0,0,,,1,0,1,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,1,0,1,,,1,0,1,,,0,0,0,,,0,0,0,,
Model-based testing in practice: An experience report from the web applications domain,1,0,1,0.00,0.25,0,0,0,0.00,0.50,0,0,0,0.00,0.00,0,0,0,0.00,0.00,1,0,1,0.00,0.75,1,0,1,0.00,0.25,1,0,1,1.00,0.50,0,0,0,1.00,0.00,0,0,0,0.00,0.25,0,0,0,1.00,0.25,0,0,0,0.00,0.50,0,0,0,0.00,0.00,1,0,1,0.00,0.25,0,0,0,1.00,0.75
,0,0,0,,,1,0,1,,,0,0,0,,,0,0,0,,,1,0,1,,,0,0,0,,,1,0,1,,,0,0,0,,,0,0,0,,,1,0,1,,,1,0,1,,,0,0,0,,,0,0,0,,,1,0,1,,
,0,0,0,,,1,0,1,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,1,0,1,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,1,0,1,,
,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,1,1,0,,,1,1,0,,,0,0,0,,,1,1,0,,,0,0,0,,,0,0,0,,,0,0,0,,,1,1,0,,
,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,1,0,1,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,1,0,1,,,0,0,0,,,0,0,0,,,1,0,1,,
A sustainable-development approach for self-adaptive cyberâ€“physical systemâ€™s life cycle: A systematic mapping study,1,1,0,1.00,1.00,1,1,0,0.50,0.00,1,1,0,1.00,1.00,0,0,0,0.00,0.00,0,0,0,0.00,0.00,0,0,0,0.00,0.00,0,0,0,0.00,0.00,0,0,0,0.00,0.00,0,0,0,0.00,0.00,0,0,0,0.00,0.00,0,0,0,0.00,0.00,0,0,0,0.00,0.00,1,1,0,0.50,0.00,0,0,0,0.50,1.00
,1,0,1,,,0,0,0,,,1,0,1,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,1,0,1,,
,1,0,1,,,0,0,0,,,1,0,1,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,1,0,1,,
,1,1,0,,,0,0,0,,,1,1,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,1,1,0,,
ARTINALI++: Multi-dimensional Specification Mining for Complex Cyber-Physical System Security,1,1,0,1.00,1.00,1,1,0,1.00,0.00,1,1,0,1.00,1.00,0,0,0,0.00,0.00,1,1,0,1.00,0.00,1,1,0,1.00,1.00,0,0,0,0.00,0.00,1,1,0,1.00,0.00,1,1,0,1.00,0.00,0,0,0,0.00,1.00,1,1,0,1.00,1.00,0,0,0,0.00,0.00,1,1,0,1.00,0.00,0,0,0,0.00,1.00
,1,0,1,,,0,0,0,,,1,0,1,,,0,0,0,,,0,0,0,,,1,0,1,,,0,0,0,,,0,0,0,,,0,0,0,,,1,0,1,,,1,0,1,,,0,0,0,,,0,0,0,,,1,0,1,,
,1,0,1,,,0,0,0,,,1,0,1,,,0,0,0,,,0,0,0,,,1,0,1,,,0,0,0,,,0,0,0,,,0,0,0,,,1,0,1,,,1,0,1,,,0,0,0,,,0,0,0,,,1,0,1,,
Deployment and communication patterns in microservice architectures: A systematic literature review,1,1,0,1.00,1.00,1,1,0,1.00,0.67,0,0,0,0.00,0.00,0,0,0,0.00,0.00,1,1,0,1.00,0.00,0,0,0,0.00,0.00,0,0,0,0.00,0.00,0,0,0,0.00,0.00,0,0,0,0.00,0.00,0,0,0,0.00,0.67,0,0,0,0.00,0.00,1,1,0,1.00,0.67,1,1,0,1.00,0.00,1,1,0,1.00,1.00
,1,0,1,,,1,0,1,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,1,0,1,,,0,0,0,,,1,0,1,,
,1,0,1,,,1,0,1,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,1,0,1,,,0,0,0,,,1,0,1,,,0,0,0,,,1,0,1,,
,1,0,1,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,1,0,1,,,0,0,0,,,0,0,0,,,0,0,0,,,1,0,1,,
Understanding the perceived relevance of capability measures: A survey of Agile Software Development practitioners,1,0,1,0.00,0.50,1,0,1,1.00,0.50,1,0,1,0.00,0.50,0,0,0,0.00,0.00,1,0,1,0.00,1.00,1,0,1,0.00,0.50,0,0,0,0.00,0.00,0,0,0,0.00,0.00,0,0,0,0.00,0.00,0,0,0,1.00,0.00,0,0,0,0.00,0.00,0,0,0,0.00,0.00,1,0,1,0.00,0.50,1,0,1,1.00,1.00
,0,0,0,,,1,1,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,1,1,0,,,0,0,0,,,0,0,0,,,0,0,0,,,1,1,0,,
,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,1,0,1,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,1,0,1,,
Mining guidelines for architecting robotics software,1,0,1,0.00,0.33,1,0,1,0.00,0.33,0,0,0,0.00,0.00,0,0,0,0.00,0.00,0,0,0,0.00,0.00,1,0,1,1.00,0.67,0,0,0,0.00,0.00,0,0,0,0.00,0.00,1,0,1,0.00,0.33,0,0,0,0.00,0.00,0,0,0,0.00,0.00,1,0,1,1.00,0.67,0,0,0,1.00,0.33,0,0,0,0.00,0.33
,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,1,1,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,1,1,0,,,1,1,0,,,0,0,0,,
,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,1,0,1,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,1,0,1,,,1,0,1,,,0,0,0,,
,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,1,1,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,1,1,0,,,1,1,0,,,0,0,0,,
,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,1,0,1,,
Finding security threats that matter: Two industrial case studies,1,1,0,1.00,0.80,1,1,0,1.00,0.00,1,1,0,1.00,0.00,0,0,0,0.00,0.00,1,1,0,1.00,0.20,1,1,0,1.00,0.20,0,0,0,0.00,0.00,0,0,0,0.00,0.80,0,0,0,0.00,0.00,0,0,0,0.00,0.20,0,0,0,0.00,0.00,1,1,0,1.00,0.00,1,1,0,1.00,0.00,0,0,0,0.00,0.20
,1,0,1,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,1,0,1,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,
,1,0,1,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,1,0,1,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,
,1,0,1,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,1,0,1,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,
,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,1,0,1,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,
,1,0,1,,,0,0,0,,,0,0,0,,,0,0,0,,,1,0,1,,,1,0,1,,,0,0,0,,,0,0,0,,,0,0,0,,,1,0,1,,,0,0,0,,,0,0,0,,,0,0,0,,,1,0,1,,
A study on correlations between architectural smells and design patterns,0,0,0,0.50,0.00,0,0,0,0.00,0.00,1,1,0,0.50,0.00,0,0,0,0.00,0.00,1,1,0,0.50,0.00,0,0,0,0.00,0.00,0,0,0,0.00,0.00,0,0,0,0.00,0.00,0,0,0,0.00,0.00,0,0,0,0.50,0.00,0,0,0,0.00,1.00,0,0,0,0.00,0.00,1,1,0,1.00,0.00,0,0,0,0.00,1.00
,1,1,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,1,1,0,,,0,0,0,,,0,0,0,,,1,1,0,,,0,0,0,,
,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,1,0,1,,,0,0,0,,,0,0,0,,,1,0,1,,
Android code smells: From introduction to refactoring,1,1,0,1.00,1.00,0,0,0,0.00,0.00,0,0,0,0.00,0.00,0,0,0,0.50,1.00,1,1,0,0.50,0.00,1,1,0,0.50,0.00,0,0,0,0.00,0.00,0,0,0,0.00,0.00,0,0,0,0.00,0.00,0,0,0,0.00,1.00,0,0,0,0.00,0.00,0,0,0,0.00,0.00,1,1,0,0.50,0.00,0,0,0,0.50,1.00
,1,1,0,,,0,0,0,,,0,0,0,,,1,1,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,1,1,0,,
,1,0,1,,,0,0,0,,,0,0,0,,,1,0,1,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,1,0,1,,,0,0,0,,,0,0,0,,,0,0,0,,,1,0,1,,
System quality and security certification in seven weeks: A multi-case study in Spanish SMEs,0,0,0,0.00,0.00,0,0,0,0.00,0.00,0,0,0,0.00,0.00,0,0,0,0.00,0.00,0,0,0,0.00,0.00,0,0,0,0.00,0.00,0,0,0,0.00,0.00,0,0,0,0.00,0.00,0,0,0,0.00,0.00,0,0,0,0.00,0.00,0,0,0,0.00,0.00,0,0,0,0.00,0.00,0,0,0,0.00,0.00,0,0,0,0.00,0.00
,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,
,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,
An extensive study on smell-aware bug localization,1,1,0,1.00,0.67,0,0,0,0.00,0.00,0,0,0,0.00,0.00,0,0,0,0.00,0.00,1,1,0,1.00,0.33,1,1,0,1.00,1.00,0,0,0,0.00,0.33,0,0,0,0.00,0.00,1,1,0,1.00,0.33,0,0,0,0.00,0.00,1,1,0,1.00,1.00,0,0,0,0.00,0.00,1,1,0,1.00,1.00,1,1,0,1.00,1.00
,1,0,1,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,1,0,1,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,1,0,1,,,0,0,0,,,1,0,1,,,1,0,1,,
,1,0,1,,,0,0,0,,,0,0,0,,,0,0,0,,,1,0,1,,,1,0,1,,,1,0,1,,,0,0,0,,,1,0,1,,,0,0,0,,,1,0,1,,,0,0,0,,,1,0,1,,,1,0,1,,
,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,1,0,1,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,1,0,1,,,0,0,0,,,1,0,1,,,1,0,1,,
Digging into group establishment: Intervention design and evaluation,1,0,1,0.00,1.00,0,0,0,0.00,0.00,0,0,0,0.00,0.00,0,0,0,0.00,0.00,1,0,1,1.00,1.00,1,0,1,0.00,1.00,0,0,0,0.00,0.00,0,0,0,0.00,0.00,0,0,0,0.00,0.00,0,0,0,0.00,0.00,0,0,0,0.00,0.00,0,0,0,0.00,0.00,1,0,1,1.00,1.00,1,0,1,0.00,1.00
,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,1,1,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,1,1,0,,,0,0,0,,
Application of agile methods in traditional logistics companies and logistics startups,1,1,0,1.00,0.00,0,0,0,0.00,0.00,0,0,0,0.00,0.00,0,0,0,0.00,0.00,1,1,0,1.00,0.00,0,0,0,0.00,0.00,0,0,0,0.00,0.00,0,0,0,0.00,0.00,0,0,0,0.00,0.00,0,0,0,0.00,1.00,1,1,0,1.00,1.00,1,1,0,1.00,0.00,1,1,0,1.00,0.00,1,1,0,1.00,1.00
,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,1,0,1,,,1,0,1,,,0,0,0,,,0,0,0,,,1,0,1,,
An empirical study on the co-occurrence between refactoring actions and Self-Admitted Technical Debt removal,0,0,0,0.33,1.00,1,1,0,0.67,0.00,1,1,0,1.00,1.00,0,0,0,0.00,0.00,1,1,0,0.33,0.00,0,0,0,0.00,1.00,0,0,0,0.00,0.00,0,0,0,0.00,0.00,0,0,0,0.33,0.00,0,0,0,0.00,0.00,1,1,0,1.00,1.00,0,0,0,0.00,0.00,1,1,0,1.00,1.00,0,0,0,0.00,0.00
,0,0,0,,,1,1,0,,,1,1,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,1,1,0,,,0,0,0,,,1,1,0,,,0,0,0,,,1,1,0,,,0,0,0,,
,1,1,0,,,0,0,0,,,1,1,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,1,1,0,,,0,0,0,,,1,1,0,,,0,0,0,,
,1,0,1,,,0,0,0,,,1,0,1,,,0,0,0,,,0,0,0,,,1,0,1,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,1,0,1,,,0,0,0,,,1,0,1,,,0,0,0,,
Multilayered review of safety approaches for machine learning-based systems in the days of AI,1,1,0,1.00,1.00,1,1,0,1.00,0.00,0,0,0,0.00,0.00,0,0,0,0.00,0.00,1,1,0,1.00,1.00,0,0,0,0.00,0.00,0,0,0,0.00,0.00,0,0,0,0.00,0.00,0,0,0,0.00,0.00,0,0,0,0.00,1.00,0,0,0,0.00,1.00,0,0,0,0.00,0.00,1,1,0,1.00,0.00,0,0,0,0.00,1.00
,1,0,1,,,0,0,0,,,0,0,0,,,0,0,0,,,1,0,1,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,1,0,1,,,1,0,1,,,0,0,0,,,0,0,0,,,1,0,1,,
Evaluating the effectiveness of risk containers to isolate change propagation,1,0,1,1.00,1.00,1,0,1,0.00,0.50,1,0,1,1.00,1.00,0,0,0,0.00,0.00,1,0,1,0.00,0.50,1,0,1,1.00,1.00,1,0,1,0.00,0.50,0,0,0,0.00,0.00,1,0,1,0.00,0.50,0,0,0,1.00,0.50,1,0,1,1.00,1.00,1,0,1,0.00,0.50,1,0,1,0.00,0.50,1,0,1,1.00,1.00
,1,0,1,,,0,0,0,,,1,0,1,,,0,0,0,,,0,0,0,,,1,0,1,,,0,0,0,,,0,0,0,,,0,0,0,,,1,0,1,,,1,0,1,,,0,0,0,,,0,0,0,,,1,0,1,,
,1,1,0,,,0,0,0,,,1,1,0,,,0,0,0,,,0,0,0,,,1,1,0,,,0,0,0,,,0,0,0,,,0,0,0,,,1,1,0,,,1,1,0,,,0,0,0,,,0,0,0,,,1,1,0,,
Tigris: A DSL and framework for monitoring software systems at runtime,1,0,1,1.00,1.00,0,0,0,0.00,0.00,0,0,0,0.00,0.00,0,0,0,0.00,0.00,1,0,1,0.00,1.00,1,0,1,1.00,1.00,0,0,0,0.00,0.00,0,0,0,0.00,0.00,1,0,1,0.00,1.00,0,0,0,1.00,0.00,1,0,1,0.00,1.00,1,0,1,0.00,1.00,1,0,1,1.00,1.00,0,0,0,0.00,0.00
,1,1,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,1,1,0,,,0,0,0,,,0,0,0,,,0,0,0,,,1,1,0,,,0,0,0,,,0,0,0,,,1,1,0,,,0,0,0,,
"The symptoms, causes, and repairs of bugs inside a deep learning library",0,0,0,0.50,0.33,1,1,0,0.50,0.00,1,1,0,0.50,0.00,0,0,0,0.00,0.00,1,1,0,0.50,0.00,1,1,0,0.50,0.33,0,0,0,0.00,0.00,0,0,0,0.00,0.67,1,1,0,0.50,0.00,0,0,0,0.00,0.33,0,0,0,0.00,0.33,1,1,0,0.50,0.00,1,1,0,0.50,0.00,0,0,0,0.50,1.00
,1,0,1,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,1,0,1,,,0,0,0,,,1,0,1,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,1,0,1,,
,1,1,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,1,1,0,,
,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,1,0,1,,,0,0,0,,,1,0,1,,,0,0,0,,,0,0,0,,,0,0,0,,,1,0,1,,
,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,1,0,1,,,0,0,0,,,0,0,0,,,1,0,1,,
A Kubernetes controller for managing the availability of elastic microservice based stateful applications,0,0,0,0.50,0.50,0,0,0,0.00,0.00,0,0,0,0.00,0.00,0,0,0,0.00,0.00,1,1,0,1.00,1.00,0,0,0,0.00,0.00,0,0,0,0.00,0.00,0,0,0,0.00,0.00,0,0,0,0.00,0.00,1,1,0,1.00,1.00,0,0,0,0.00,0.00,0,0,0,0.00,0.00,0,0,0,0.00,0.00,1,1,0,1.00,1.00
,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,1,0,1,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,1,0,1,,,0,0,0,,,0,0,0,,,0,0,0,,,1,0,1,,
,1,1,0,,,0,0,0,,,0,0,0,,,0,0,0,,,1,1,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,1,1,0,,,0,0,0,,,0,0,0,,,0,0,0,,,1,1,0,,
,1,0,1,,,0,0,0,,,0,0,0,,,0,0,0,,,1,0,1,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,1,0,1,,,0,0,0,,,0,0,0,,,0,0,0,,,1,0,1,,
ProDSPL: Proactive self-adaptation based on Dynamic Software Product Lines,1,1,0,0.67,1.00,1,1,0,0.33,1.00,1,1,0,0.33,1.00,0,0,0,0.00,1.00,1,1,0,0.67,1.00,1,1,0,0.33,1.00,0,0,0,0.33,0.00,1,1,0,0.67,0.00,0,0,0,0.00,1.00,0,0,0,0.33,0.00,1,1,0,0.33,1.00,1,1,0,0.67,1.00,1,1,0,0.67,1.00,1,1,0,1.00,1.00
