Paper Title,Study Domain Terms,Study_Area,Study_Area2
Developersâ€™ need for the rationale of code commits: An in-breadth and in-depth study,"Software Engineering, Code Commits, Rationale, Documentation, Mixed Methods",Human factors and management concerns of software development,
,,,
,,,
Emotimonitor: A Trello power-up to capture and monitor emotions of Agile teamsâœ©,"Agile, Trello, Emotional monitoring, Teams, Visualization",Human factors and management concerns of software development,
,,,
,,,
,,,
,,,
,,,
,,,
Estimating the potential of program repair search spaces with commit analysis,"Program repair, commit analysis, GitHub, repair strategy, static analysis","Methods and tools for software requirements, design, architecture, verification and validation, testing, maintenance and evolution, testing, maintenance and evolution",
,,,
,,,
,,,
,,,
Exploiting gated graph neural network for detecting and explaining self-admitted technical debts,"SATD, Gated Graph Neural Network, Technical Debt, Software Maintenance, Hybrid Attention-Based","Artificial Intelligence, data analytics and big data applied in software engineering",
,,,
,,,
,,,
,,,
,,,
Exploring factors and metrics to select open source software components for integration: An empirical study,"Open Source Software, OSS selection, Metrics, APIs, GitHub",Methods and tools for empirical software engineering research,
,,,
,,,
,,,
Exploring multi-programming-language commits and their impacts on software quality: An empirical study on Apache projects,"Multi-programming, Software quality, Apache projects, Development difficulty, Software bug-proneness",Methods and tools for empirical software engineering research,
,,,
,,,
,,,
,,,
,,,
Factors affecting Agile adoption: An industry research study of the mobile app sector in Saudi Arabia,"Agile, adoption, software, human factors, SMEs",Human factors and management concerns of software development,
,,,
"GitHub repositories with links to academic papers: Public access, traceability, and evolutionâœ©","Traceability, GitHub, academic papers, access, evolution",Methods and tools for empirical software engineering research,
,,,
,,,
,,,
,,,
,,,
,,,
GT-SimNet: Improving code automatic summarization via multi-modal similarity networks,"code summarization, multi-modal similarity, semantic modelling, API dependency graph, feature fusion","Artificial Intelligence, data analytics and big data applied in software engineering",
,,,
,,,
,,,
,,,
,,,
Hierarchical semantic-aware neural code representationâœ©,"Code representation, Program comprehension, Tree-LSTM, Semantic graph, DFS-based method","Artificial Intelligence, data analytics and big data applied in software engineering",
,,,
,,,
,,,
How has design thinking being used and integrated into software development activities? A systematic mapping,"Design Thinking, Software Development, Systematic Mapping, Models, Techniques",Methods and tools for empirical software engineering research,
,,,
,,,
,,,
How secondary school girls perceive Computational Thinking practices through collaborative programming with the micro,"Computational Thinking, Collaborative Programming, Micro
, Mixed-methods, Secondary School Education",Software Engineering education,
,,,
,,,
,,,
,,,
,,,
Identification and measurement of Requirements Technical Debt in software development: A systematic literature review,"Requirements Technical Debt, Systematic Literature Review, Software Evolution, Metrics, Requirements Engineering",Methods and tools for empirical software engineering research,
,,,
,,,
,,,
Just-in-time software vulnerability detection: Are we there yet?,"Software vulnerabilities, Machine learning, Source code, Vulnerability detection, Ensemble algorithms","Artificial Intelligence, data analytics and big data applied in software engineering",
,,,
,,,
,,,
,,,
Modelling and executing IoT-enhanced business processes through BPMN and microservices,"IoT, BPMN, Microservices, Process Automation, Ontologies",Approaches for cloud/fog/edge computing and virtualized systems,
,,,
,,,
Moderator factors of software security and performance verificationâœ©,"Security, performance, verification, methodology, review","Methods and tools for software requirements, design, architecture, verification and validation, testing, maintenance and evolution",
,,,
,,,
Multi-paradigm modeling for cyberâ€“physical systems: A systematic mapping review,"Cyberâ€“Physical Systems, Multi-Paradigm Modeling, Cross-Domain Expertise, Heterogeneous Systems, Model Integration",Methods and tools for empirical software engineering research,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Mutation-based analysis of queueing network performance models,"Performance, Software Engineering, System Performance, Mutation Operators, Queueing Networks","Methods and tools for software requirements, design, architecture, verification and validation, testing, maintenance and evolution, testing, maintenance and evolution",
,,,
,,,
,,,
Mutation testing of PL/SQL programsâœ©,"Mutation testing, PL/SQL, mutant generation, automation, industrial case study","Methods and tools for software requirements, design, architecture, verification and validation, testing, maintenance and evolution, testing, maintenance and evolution",
,,,
On the benefits and problems related to using Definition of Doneâ€”A survey studyâœ©,"Scrum, Agile, Definition of Done, Survey, Empirical study",Human factors and management concerns of software development,
,,,
,,,
,,,
On the evaluation of usability design guidelines for improving network monitoring tools interfaces,"Usability, Network Monitoring, Human-Computer Interaction, User Interface Design, Software Development",Human factors and management concerns of software development,
,,,
,,,
,,,
On the use of artificial intelligence to deal with privacy in IoT systems: A systematic literature review,"IoT, AI, Privacy, Malware Detection, Network Analysis","Artificial Intelligence, data analytics and big data applied in software engineering",
,,,
,,,
Preventing accessibility barriers: Guidelines for using user interface design patterns in mobile applications,"Accessibility, UI Design, Mobile Apps, Guidelines, Prototyping",Human factors and management concerns of software development,
,,,
,,,
,,,
,,,
Profiling gas consumption in Solidity smart contracts,"Blockchain, Smart Contracts, Gas, Solidity, Ethereum","Methods and tools for software requirements, design, architecture, verification and validation, testing, maintenance and evolution, testing, maintenance and evolution",
,,,
,,,
,,,
,,,
Quality measurement in agile and rapid software development: A systematic mapping,"Quality measurement, Agile development, QR management, Bibliometrics, Software quality",Methods and tools for empirical software engineering research,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Quantitative verification with adaptive uncertainty reduction,"stochastic models, epistemic uncertainty, Markov chains, unit testing, quantitative verification","Methods and tools for software requirements, design, architecture, verification and validation, testing, maintenance and evolution, testing, maintenance and evolution",
,,,
,,,
,,,
Random or heuristic? An empirical study on path search strategies for test generation in KLEE,"Path search, test generation, random strategy, heuristic strategy, optimization","Methods and tools for software requirements, design, architecture, verification and validation, testing, maintenance and evolution, testing, maintenance and evolution",
,,,
,,,
,,,
,,,
,,,
Revealing the state of the art of large-scale agile development research: A systematic mapping study,"Agile methods, Systematic review, Research themes, Classification framework, Software development",Methods and tools for empirical software engineering research,
,,,
,,,
,,,
,,,
,,,
Self-adaptive mobile web service discovery framework for Dynamic Mobile Environment,"Mobile web service, Dynamic mobile environment, Context-based discovery, Service categorization, Meta-context ontology",Approaches for cloud/fog/edge computing and virtualized systems,
,,,
,,,
SEXTAMT: A systematic map to navigate the wide seas of factors affecting expert judgment software estimates,"software estimation, expert judgment, factors, systematic mapping, software projects",Methods and tools for empirical software engineering research,
,,,
,,,
,,,
Sharing runtime permission issues for developers based on similar-app review mining,"Android permissions, Runtime issues, Sentiment analysis, Deep learning, Developer tools","Artificial Intelligence, data analytics and big data applied in software engineering",
,,,
,,,
,,,
,,,
,,,
,,,
Spreadsheet debugging: The perils of tool over-reliance,"spreadsheets, debugging, heuristic, fault identification, tool reliance",Human factors and management concerns of software development,
,,,
,,,
,,,
Systematic literature review of domain-oriented specification techniques,"Domain-specific languages, System specification, Cognitive concepts, Model integration, Domain models",Methods and tools for empirical software engineering research,
,,,
Taxonomy of security weaknesses in Java and Kotlin Android apps,"Security, Mobile apps, Android, Java, Kotlin",Methods and tools for empirical software engineering research,
,,,
,,,
,,,
,,,
,,,
,,,
Technical debts and faults in open-source quantum software systems: An empirical study,"Quantum computing, software maintenance, technical debt, fault occurrence, code design",Methods and tools for empirical software engineering research,
,,,
,,,
,,,
,,,
The state of research on software engineering competencies: A systematic mapping study,"Software engineering, Competencies, Agile, DevOps, Systematic review",Software Engineering education,
,,,
,,,
Towards a logical framework for ideal MBSE tool selection based on discipline specific requirements,"Model-Based Systems Engineering, Product Development, Market Research, Quality Function Deployment, Decision Matrix","Methods and tools for software requirements, design, architecture, verification and validation, testing, maintenance and evolution, testing, maintenance and evolution",
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Transformation-based model checking temporal trust in multi-agent systems,"Multi-Agent Systems, Model Checking, Temporal Logic, Trust Frameworks, Formal Methods","Methods and tools for software requirements, design, architecture, verification and validation, testing, maintenance and evolution, testing, maintenance and evolution",
,,,
,,,
,,,
Usability inspection: Novice crowd inspectors versus expertâœ©,"Usability, Crowdsourcing, Heuristic Evaluation, Experiment Design, Cost-effectiveness",Human factors and management concerns of software development,
,,,
,,,
Using deep temporal convolutional networks to just-in-time forecast technical debt principal,"Technical debt, software maintenance, deep learning, source code, process metrics","Artificial Intelligence, data analytics and big data applied in software engineering",
,,,
,,,
,,,
,,,
Visualization of aggregated information to support class-level software evolution,"Software Evolution, Source Code Changes, Visualization, GitHub, Jira","Methods and tools for software requirements, design, architecture, verification and validation, testing, maintenance and evolution, testing, maintenance and evolution",
,,,
VulSlicer: Vulnerability detection through code slicing,"Vulnerability detection, code slicing, open-source projects, vulnerability-relevant statements, program analysis","Methods and tools for software requirements, design, architecture, verification and validation, testing, maintenance and evolution, testing, maintenance and evolution",
,,,
Wayback Machine: A tool to capture the evolutionary behavior of the bug reports and their triage process in open-source software systems,"Bug tracking systems, Triage process, Evolutionary metrics, Developer loads, Open-source projects",Methods and tools for empirical software engineering research,
,,,
,,,
,,,
,,,
What factors affect the UX in mobile apps? A systematic mapping study on the analysis of app store reviews,"User Experience, Mobile Apps, App Store Reviews, Sentiment Analysis, Systematic Mapping Study",Human factors and management concerns of software development,
,,,
,,,
,,,
,,,
Identifying refactoring opportunities for large packages by analyzing maintainability characteristics in Java OSS,"Maintainability, refactoring, Java, cohesion, complexity","Methods and tools for software requirements, design, architecture, verification and validation, testing, maintenance and evolution, testing, maintenance and evolution",
,,,
,,,
Studying the association between Gitcoinâ€™s issues and resolving outcomes,"Open-source software, Bug bounty platforms, Statistical analysis, Machine learning, Issue resolution",Methods and tools for empirical software engineering research,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Continuous verification with acknowledged MAPE-K pattern and time logic-based slicing: A platooning system of systems case study,"SoS, platooning, control loop, resilience, verification","Methods and tools for software requirements, design, architecture, verification and validation, testing, maintenance and evolution, testing, maintenance and evolution",
,,,
Enhancing Ethereum smart-contracts static analysis by computing a precise Control-Flow Graph of Ethereum bytecode,"Ethereum, Smart contracts, Static analysis, Control-Flow Graph, Blockchain","Methods and tools for software requirements, design, architecture, verification and validation, testing, maintenance and evolution, testing, maintenance and evolution",
,,,
,,,
,,,
,,,
,,,
VsusFL: Variable-suspiciousness-based Fault Localization for novice programs,"programming, fault localization, novice programs, debugging, empirical studies",Methods and tools for empirical software engineering research,
,,,
,,,
,,,
,,,
,,,
,,,
Behaviour driven development: A systematic mapping study,"software, research, BDD, development, engineering",Methods and tools for empirical software engineering research,
,,,
Empathy models and software engineering â€” A preliminary analysis and taxonomy,"software engineering, empathy, psychology, sociology, healthcare",Human factors and management concerns of software development,
,,,
,,,
,,,
Boosting multi-objective just-in-time software defect prediction by fusing expert metrics and semantic metrics,"software, prediction, code, metrics, learning","Artificial Intelligence, data analytics and big data applied in software engineering",
,,,
,,,
,,,
,,,
TitleGen-FL: Quality prediction-based filter for automated issue title generation,"Automated issue title generation, Quality prediction, Software engineering, Deep learning, Information retrieval","Artificial Intelligence, data analytics and big data applied in software engineering",
,,,
,,,
,,,
,,,
,,,
,,,
,,,
ExploitGen: Template-augmented exploit code generation based on CodeBERT,"code generation, vulnerabilities, code, security, evaluation","Artificial Intelligence, data analytics and big data applied in software engineering",
,,,
,,,
,,,
,,,
,,,
Software engineering research on the Robot Operating System: A systematic mapping study,"robotics, software engineering, research, industry, evaluation",Methods and tools for empirical software engineering research,
,,,
,,,
,,,
Open tracing tools: Overview and critical comparison,"software, tracing, tools, architecture, engineers","Methods and tools for software requirements, design, architecture, verification and validation, testing, maintenance and evolution, testing, maintenance and evolution",
,,,
,,,
"A critical comparison on six static analysis tools: Detection, agreement, and precision","Static Analysis Tools, Software Engineering, Quality Assurance, Technical Debt, Java Projects","Methods and tools for software requirements, design, architecture, verification and validation, testing, maintenance and evolution, testing, maintenance and evolution",
,,,
,,,
,,,
,,,
"Test flakinessâ€™ causes, detection, impact and responses: A multivocal review","Software Testing, Software Development, Software Quality, Software Engineering, Computer Science",Methods and tools for empirical software engineering research,
,,,
,,,
,,,
,,,
Transitioning a project-based course between onsite and online. An experience report,"Software engineering, Online learning, Project-based courses, Education, Qualitative research",Software Engineering education,
,,,
,,,
Catalog and detection techniques of microservice anti-patterns and bad smells: A tertiary study,"microservices, anti-patterns, detection, architecture, quality",Methods and tools for empirical software engineering research,
,,,
,,,
,,,
,,,
Automatic prediction of developersâ€™ resolutions for software merge conflicts,"software, machine learning, developers, conflicts, prediction","Artificial Intelligence, data analytics and big data applied in software engineering",
,,,
,,,
Investigating the role of Product Owner in Scrum teams: Differentiation between organisational and individual impacts and opportunities,"agile, software, Product Owner, organisational, stakeholders",Human factors and management concerns of software development,
,,,
,,,
,,,
,,,
The impact of unequal contributions in student software engineering team projects,"software engineering, education, teamwork, contribution, performance",Software Engineering education,
,,,
,,,
,,,
,,,
Pragmatic evidence of cross-language link detection: A systematic literature review,"software, engineering, applications, multilingual, analysis",Methods and tools for empirical software engineering research,
,,,
,,,
,,,
,,,
,,,
CharM â€” Evaluating a model for characterizing service-based architectures,"service, architecture, microservice, software, model","Methods and tools for software requirements, design, architecture, verification and validation, testing, maintenance and evolution, testing, maintenance and evolution",
,,,
,,,
,,,
Comparing software product lines and Clone and Own for game software engineering under two paradigms: Model-driven development and code-driven development,"Software engineering, Game development, Code reuse, Empirical evaluation, Model-driven development","Agile, model-driven, service-oriented, open source and global software development",
,,,
,,,
,,,
,,,
,,,
Human factors in developing automated vehicles: A requirements engineering perspective,"automated vehicles, engineering, human factors, agile development, requirements engineering",Human factors and management concerns of software development,
,,,
,,,
On the impact of single and co-occurrent refactorings on quality attributes in android applications,"Software refactoring, Android applications, Software quality, Empirical study, Quality metrics",Methods and tools for empirical software engineering research,
,,,
,,,
,,,
,,,
,,,
An effective fault localization approach based on PageRank and mutation analysis,"mutation testing, PageRank, fault localization, software testing, experimental results","Methods and tools for software requirements, design, architecture, verification and validation, testing, maintenance and evolution, testing, maintenance and evolution",
,,,
,,,
,,,
An empirical study on real bug fixes from solidity smart contract projects,"blockchain, security, smart contracts, bug fixes, Solidity",Methods and tools for empirical software engineering research,
,,,
,,,
,,,
,,,
,,,
A catalogue of game-specific anti-patterns based on GitHub and Game Development Stack Exchange,"Game Development, Anti-patterns, Software Engineering, Code Quality, Open-Source",Methods and tools for empirical software engineering research,
,,,
,,,
,,,
Automatic software vulnerability assessment by extracting vulnerability elements,"Software security, Vulnerability assessment, BERT, Automated assessment, Machine learning","Artificial Intelligence, data analytics and big data applied in software engineering",
,,,
,,,
,,,
,,,
,,,
,,,
Semantic feature learning for software defect prediction from source code and external knowledge,"software, defect, prediction, machine learning, model","Artificial Intelligence, data analytics and big data applied in software engineering",
,,,
,,,
,,,
,,,
ARist: An effective API argument recommendation approach,"API, Recommendation, Software, Programming, Evaluation","Artificial Intelligence, data analytics and big data applied in software engineering",
,,,
,,,
,,,
,,,
,,,
,,,
On the roles of software testers: An exploratory study,"software testing, thematic analysis, skill acquisition, software development, job ads",Human factors and management concerns of software development,
,,,
,,,
Dialog summarization for software collaborative platform via tuning pre-trained models,"Summarization, Transformer, Pre-trained models, Few-shot learning, Software maintenance","Artificial Intelligence, data analytics and big data applied in software engineering",
,,,
,,,
,,,
,,,
,,,
,,,
On the maintenance support for microservice-based systems through the specification and the detection of microservice antipatterns,"microservices, software, systems, architectures, antipatterns",Methods and tools for empirical software engineering research,
,,,
,,,
,,,
,,,
,,,
Application of metamorphic testing on UAV path planning software," Software test, Path planning, Oracle problem, Metamorphic testing","Methods and tools for software requirements, design, architecture, verification and validation, testing, maintenance and evolution, testing, maintenance and evolution",
,,,
,,,
,,,
Transforming Numerical Feature Models into Propositional Formulas and the Universal Variability Language,"software product lines, numeric attributes, boolean constraints, #SAT, Binary Decision Tree","Methods and tools for software requirements, design, architecture, verification and validation, testing, maintenance and evolution, testing, maintenance and evolution",
,,,
,,,
,,,
BPEL process defects prediction using multi-objective evolutionary search,"web services, BPEL, software, defects, programming",Methods and tools for empirical software engineering research,
,,,
,,,
,,,
Adaptive robustness evaluation for complex system prognostics and health management software platform,"complex systems, reliability, software platforms, genetic algorithms, random forest","Methods and tools for software requirements, design, architecture, verification and validation, testing, maintenance and evolution, testing, maintenance and evolution",
,,,
,,,
,,,
"Characteristics, causes, and consequences of technical debt in the automation domain","Technical debt, Automation, Software development, Interdisciplinary collaboration, Causal chains",Human factors and management concerns of software development,
,,,
,,,
,,,
An Investigation of Confusing Code Patterns in JavaScript,"software, JavaScript, programming, research, cognitive",Methods and tools for empirical software engineering research,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
CausalRCA: Causal inference based precise fine-grained root cause localization for microservice applications,"microservices, performance, cloud, root cause, localization","Methods and tools for software requirements, design, architecture, verification and validation, testing, maintenance and evolution, testing, maintenance and evolution",
,,,
,,,
Predicting resource consumption of Kubernetes container systems using resource models,"cloud computing, Kubernetes, microservices, service management, orchestration",Approaches for cloud/fog/edge computing and virtualized systems,
,,,
,,,
,,,
,,,
,,,
A comprehensive evaluation of SZZ Variants through a developer-informed oracle,"Empirical Studies, Software Engineering, Bug Inducing Changes, Natural Language Processing (NLP), SZZ Algorithm",Methods and tools for empirical software engineering research,
,,,
,,,
,,,
,,,
,,,
,,,
A decade of code comment quality assessment: A systematic literature review,"Software Engineering, Code Quality, Literature Review, Software Maintenance, Program Comprehension",Methods and tools for empirical software engineering research,
,,,
,,,
,,,
,,,
,,,
A first look at bug report templates on GitHub,"bug report templates, GitHub, empirical study, software engineering, template mechanism",Methods and tools for empirical software engineering research,
,,,
,,,
,,,
,,,
GitHub Copilot AI pair programmer: Asset or Liability?,"AI Programming, Software Engineering, Deep Learning, Code Synthesis, Empirical Study","Artificial Intelligence, data analytics and big data applied in software engineering",
,,,
,,,
,,,
,,,
,,,
Reliability in software engineering qualitative research through Inter-Coder Agreement,"Empirical Software Engineering, Qualitative Research, Data Analysis, Inter-Coder Agreement, DevOps Culture",Methods and tools for empirical software engineering research,
,,,
,,,
,,,
Software runtime monitoring with adaptive sampling rate to collect representative samples of execution traces,"Software Monitoring, Runtime Analysis, Adaptive Sampling, Performance Evaluation, Data Collection","Methods and tools for software requirements, design, architecture, verification and validation, testing, maintenance and evolution, testing, maintenance and evolution",
,,,
An empirical study of software architecture resilience evaluation methods,"Software Architecture, Resilience Evaluation, Empirical Study, Security, Method Comparison",Methods and tools for empirical software engineering research,
,,,
,,,
,,,
,,,
A systematic literature review on the impact of formatting elements on code legibility,"Code Legibility, Formatting Elements, Literature Review, Software Engineering",Methods and tools for empirical software engineering research,
,,,
,,,
,,,
,,,
ProCon: An automated process-centric quality constraints checking framework,"Quality Assurance, Software Engineering, Safety-Critical Systems","Methods and tools for software requirements, design, architecture, verification and validation, testing, maintenance and evolution, testing, maintenance and evolution",
,,,
,,,
,,,
,,,
,,,
,,,
Optimal dynamic partial order reduction with context-sensitive independence and observers,"Model Checking, Algorithms, Software Engineering","Methods and tools for software requirements, design, architecture, verification and validation, testing, maintenance and evolution, testing, maintenance and evolution",
,,,
,,,
,,,
,,,
A taxonomy of assets for the development of software-intensive products and services,"Software Engineering, Asset Management",Human factors and management concerns of software development,
,,,
,,,
,,,
,,,
,,,
Simple stupid insecure practices and GitHubâ€™s code search: A looming threat?,"Software Security, Open Source",Human factors and management concerns of software development,
,,,
,,,
,,,
,,,
CM-CASL: Comparison-based performance modeling of software systems via collaborative active and semisupervised learning,"Software Engineering, Data Science","Artificial Intelligence, data analytics and big data applied in software engineering",
,,,
,,,
,,,
,,,
,,,
An evidence-based roadmap for IoT software systems engineering,"IoT, Software Engineering",Approaches for cloud/fog/edge computing and virtualized systems,
,,,
,,,
A symbolic algorithm for the case-split rule in solving word constraints with extensions,Computer Science,"Methods and tools for software requirements, design, architecture, verification and validation, testing, maintenance and evolution, testing, maintenance and evolution",
,,,
,,,
,,,
Automatic modelling and verification of Autosar architectures,"Software Engineering, Computer Science","Methods and tools for software requirements, design, architecture, verification and validation, testing, maintenance and evolution, testing, maintenance and evolution",
,,,
,,,
,,,
,,,
,,,
,,,
Graph collaborative filtering-based bug triaging,"Software Engineering, AI","Artificial Intelligence, data analytics and big data applied in software engineering",
,,,
,,,
,,,
,,,
,,,
MSTIL: Multi-cue Shape-aware Transferable Imbalance Learning for effective graphic API recommendation,"Software Engineering, AI","Artificial Intelligence, data analytics and big data applied in software engineering",
,,,
,,,
,,,
On measuring coupling between microservices,Software Engineering,"Methods and tools for software requirements, design, architecture, verification and validation, testing, maintenance and evolution, testing, maintenance and evolution",
,,,
,,,
,,,
,,,
Analyzing the impact of API changes on Android apps,"Software Engineering, Android",Methods and tools for empirical software engineering research,
,,,
,,,
Decentralized decision-making and scaled autonomy at Spotify,"Software Engineering, Autonomy",Human factors and management concerns of software development,
,,,
,,,
,,,
,,,
,,,
"A literature review of IoT and CPSâ€”What they are, and what they are not","IoT, Cyber-Physical Systems",Approaches for cloud/fog/edge computing and virtualized systems,
,,,
,,,
,,,
,,,
,,,
Distributed state model inference for scriptless GUI testing,Software Testing,"Methods and tools for software requirements, design, architecture, verification and validation, testing, maintenance and evolution, testing, maintenance and evolution",
,,,
,,,
,,,
,,,
Investigating end-usersâ€™ values in agriculture mobile applications development: An empirical study on Bangladeshi female farmers,Software Engineering,Human factors and management concerns of software development,
,,,
,,,
,,,
,,,
,,,
,,,
Can gamification help in software testing education? Findings from an empirical study,Software Engineering,Software Engineering education,
,,,
,,,
,,,
,,,
,,,
Towards a cognitive engineering of transactional services in IoT based systems,"Cognitive Computing, IoT",Approaches for cloud/fog/edge computing and virtualized systems,
,,,
An estimation of distribution algorithm based on interactions between requirements to solve the bi-objective Next Release Problem,"Software Engineering, Requirements Engineering","Methods and tools for software requirements, design, architecture, verification and validation, testing, maintenance and evolution, testing, maintenance and evolution",
,,,
,,,
Trustworthiness models to categorize and prioritize code for security improvement,"Software Security, Trustworthiness Models, Machine Learning, Code Analysis, Software Metrics","Artificial Intelligence, data analytics and big data applied in software engineering",
,,,
,,,
,,,
Collaborative Model-Driven Software Engineering â€” A systematic survey of practices and needs in industry,"Model-Driven Software Engineering, Collaborative Software Engineering, Industry Practices, Software Development, Stakeholder Collaboration",Methods and tools for empirical software engineering research,
,,,
,,,
,,,
Web API evolution patterns: A usage-driven approach,"Software Engineering, Computer Science","Methods and tools for software requirements, design, architecture, verification and validation, testing, maintenance and evolution, testing, maintenance and evolution",
,,,
,,,
,,,
The pipeline for the continuous development of artificial intelligence modelsâ€”Current state of research and practice,"Artificial Intelligence, Machine Learning, DevOps, Continuous Integration, MLOps","Artificial Intelligence, data analytics and big data applied in software engineering",
,,,
,,,
Timed pattern-based analysis of collaboration failures in system-of-systems,"System of Systems, Collaboration Failures, Pattern Mining","Methods and tools for software requirements, design, architecture, verification and validation, testing, maintenance and evolution, testing, maintenance and evolution",
,,,
,,,
,,,
Does Deep Learning improve the performance of duplicate bug report detection? An empirical study,"Bug Detection, Deep Learning, Information Retrieval","Artificial Intelligence, data analytics and big data applied in software engineering",
,,,
,,,
,,,
,,,
The uphill journey of FaaS in the open-source community,"Cloud Computing, Software Engineering",Approaches for cloud/fog/edge computing and virtualized systems,
,,,
Colla-Config: A stakeholders preferences-based approach for product lines collaborative configuration,"Software Engineering, Collaborative Software Systems","Methods and tools for software requirements, design, architecture, verification and validation, testing, maintenance and evolution, testing, maintenance and evolution",
,,,
,,,
,,,
,,,
A modular metamodel and refactoring rules to achieve software product line interoperability,"Software Product Lines, Software Engineering","Methods and tools for software requirements, design, architecture, verification and validation, testing, maintenance and evolution, testing, maintenance and evolution",
,,,
,,,
A systematic literature review on blockchain governance,"Blockchain, Software Engineering, Governance",Methods and tools for empirical software engineering research,
,,,
,,,
,,,
,,,
Configuring mission-specific behavior in a product line of collaborating Small Unmanned Aerial Systems,"Software Engineering, Unmanned Aerial Systems","Methods and tools for software requirements, design, architecture, verification and validation, testing, maintenance and evolution, testing, maintenance and evolution",
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Towards automated Android app internationalisation: An exploratory study,"Software Engineering, Mobile Applications","Methods and tools for software requirements, design, architecture, verification and validation, testing, maintenance and evolution, testing, maintenance and evolution",
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Automated data validation: An industrial experience report,"Software Engineering, Data Science","Methods and tools for software requirements, design, architecture, verification and validation, testing, maintenance and evolution, testing, maintenance and evolution",
,,,
,,,
,,,
,,,
,,,
The role of knowledge-based resources in Agile Software Development contexts,"Software Engineering, Agile Development",Human factors and management concerns of software development,
,,,
,,,
,,,
An empirical study of security practices for microservices systems,"Software Engineering, Cybersecurity",Methods and tools for empirical software engineering research,
,,,
,,,
,,,
,,,
,,,
Efficient transformer with code token learner for code clone detection,Software Engineering,"Artificial Intelligence, data analytics and big data applied in software engineering",
,,,
,,,
,,,
,,,
Software practitionersâ€™ point of view on technical debt payment,Software Engineering,Human factors and management concerns of software development,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
End-usersâ€™ knowledge and perception about security of clinical mobile health apps: A case study with two Saudi Arabian mHealth providers,"Cybersecurity, Health Informatics",Human factors and management concerns of software development,
,,,
,,,
,,,
Privacy explanations â€“ A means to end-user trust,"Privacy, Software Engineering",Human factors and management concerns of software development,
,,,
,,,
,,,
Automatic creation of acceptance tests by extracting conditionals from requirements: NLP approach and case study,"Software Engineering, NLP","Artificial Intelligence, data analytics and big data applied in software engineering",
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Explaining quality attribute tradeoffs in automated planning for self-adaptive systems,"Software Engineering, AI",Software Engineering for AI systems,
,,,
,,,
,,,
The perspective of Brazilian software developers on data privacy,"Software Engineering, Data Privacy",Ethical/societal aspects of Software Engineering,
,,,
,,,
,,,
,,,
,,,
,,,
Applying Inter-Rater Reliability and Agreement in collaborative Grounded Theory studies in software engineering,"Qualitative Research, Software Engineering",Methods and tools for empirical software engineering research,
,,,
,,,
,,,
Revisiting the practices and pains of microservice architecture in reality: An industrial inquiry,"Software Architecture, Microservices","Agile, model-driven, service-oriented, open source and global software development",
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
AMon: A domain-specific language and framework for adaptive monitoring of Cyberâ€“Physical Systems,"Cyber-Physical Systems, Software Engineering",Approaches for cloud/fog/edge computing and virtualized systems,
,,,
,,,
,,,
From forced Working-From-Home to voluntary working-from-anywhere: Two revolutions in telework,"Telework, Software Engineering",Human factors and management concerns of software development,
,,,
,,,
,,,
How are websites used during development and what are the implications for the coding process?,"Websites, Coding, Software quality, Code reuse, Programmer behavior",Human factors and management concerns of software development,
,,,
,,,
,,,
Explaining software fault predictions to spreadsheet users,"software fault prediction, machine learning, spreadsheets, explanations, debugging tools","Artificial Intelligence, data analytics and big data applied in software engineering",
,,,
,,,
,,,
A systematic review on security and safety of self-adaptive systems,"Cyberâ€“physical systems, self-adaptive systems, security, safety, modeling",Software Engineering for AI systems,
,,,
,,,
,,,
,,,
,,,
,,,
A-B Testing: A Systematic Literature Review,A/B Testing; Online Controlled Experiments; Experimentation Frameworks; Data-Driven Decision Making; Hypothesis Testing,Methods and tools for empirical software engineering research,
,,,
,,,
,,,
ACCESS: Assurance Case Centric Engineering of Safetyâ€“critical Systems,Safetyâ€“critical systems; Assurance cases; Formal methods; Robotics; Autonomous Systems,"Methods and tools for software requirements, design, architecture, verification and validation, testing, maintenance and evolution, testing, maintenance and evolution",
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
A conceptual and architectural characterization of antifragile systems,"Information and Communications Technology, Antifragility, Dependability, System Design, Trustworthy Systems","Methods and tools for software requirements, design, architecture, verification and validation, testing, maintenance and evolution, testing, maintenance and evolution",
,,,
,,,
Actionable light-weight process guidance,"Software Engineering, QA, Process Guidance, Safety-Critical, Open Source","Methods and tools for software requirements, design, architecture, verification and validation, testing, maintenance and evolution, testing, maintenance and evolution",
,,,
,,,
,,,
,,,
,,,
