Paper Title,Author Name,Gender,Affiliation,Industrial/Institutional,Country,local_Contribution?,national_collaboration?,International_collaboration?
,Patrick Koch,Male,"Department of Computer Science, University of Klagenfurt, Austria",,Austria,,,
,Konstantin Schekotihin,Male,"Department of Computer Science, University of Klagenfurt, Austria",,Austria,,,
,Franz Wotawa,Male,"Department of Software Engineering, Graz University of Technology, Austria",,Austria,,,
"Accessibility in the mobile development industry in Brazil: Awareness, knowledge, adoption, motivations and barriers",Manoel Victor Rodrigues Leite,Male,"School of Arts, Sciences and Humanities, University of SÃ£o Paulo",TRUE,Brazil,0,1,0
,Lilian Passos Scatalon,Female,"School of Arts, Sciences and Humanities, University of SÃ£o Paulo",,Brazil,,,
,AndrÃ© Pimenta Freire,Male,Federal University of Lavras,,Brazil,,,
,Marcelo Medeiros Eler,Male,"School of Arts, Sciences and Humanities, University of SÃ£o Paulo",,Brazil,,,
GEML: A grammar-based evolutionary machine learning approach for design-pattern detection,Rafael Barbudo,Male,"Department of Computer Science and Numerical Analysis, University of CÃ³rdoba, 14071, CÃ³rdoba, Spain",FALSE,Spain,0,0,1
,Aurora RamÃ­rez,Female,"Department of Computer Science and Numerical Analysis, University of CÃ³rdoba, 14071, CÃ³rdoba, Spain",,Spain,,,
,Francisco Servant,Male,"Department of Computer Science, Virginia Tech, VA 24060, Blacksburg, USA",,USA,,,
,JosÃ© RaÃºl Romero,Male,"Department of Computer Science and Numerical Analysis, University of CÃ³rdoba, 14071, CÃ³rdoba, Spain",,Spain,,,
Code smell detection by deep direct-learning and transfer-learning,Tushar Sharma,Male,"Siemens Technology, Charlotte, USA",FALSE,USA,0,0,1
,Vasiliki Efstathiou,Female,"Athens University of Economics and Business, Athens, Greece",,Greece,,,
,Panos Louridas,Male,"Athens University of Economics and Business, Athens, Greece",,Greece,,,
,Diomidis Spinellis,Male,"Athens University of Economics and Business, Athens, Greece",,Greece,,,
How to kill them all: An exploratory study on the impact of code observability on mutation testing,Qianqian Zhu,Female,Delft University of Technology,TRUE,Netherlands,1,0,0
,Andy Zaidman,Male,Delft University of Technology,,Netherlands,,,
,Annibale Panichella,Male,Delft University of Technology,,Netherlands,,,
Requirements engineering challenges and practices in large-scale agile system development,Rashidah Kasauli,Female,"Department of Computer Science and Engineering, Chalmers â€” University of Gothenburg",TRUE,Sweden,0,0,1
,Eric Knauss,Male,"Department of Computer Science and Engineering, Chalmers â€” University of Gothenburg",,Sweden,,,
,Jennifer Horkoff,Female,"Department of Computer Science and Engineering, Chalmers â€” University of Gothenburg",,Sweden,,,
,Grischa Liebel,Male,"School of Computer Science, Reykjavik University",,Iceland,,,
,Francisco Gomes de Oliveira Neto,Male,"Department of Computer Science and Engineering, Chalmers â€” University of Gothenburg",,Sweden,,,
Mining Architecture Tactics and Quality Attributes knowledge in Stack Overflow,Tingting Bi,Female,"School of Computer Science, Wuhan University, Wuhan, China; Faculty of Information Technology, Monash University, Melbourne, Australia",TRUE,"China, Australia",0,0,1
,Peng Liang,Male,"School of Computer Science, Wuhan University, Wuhan, China",,China,,,
,Antony Tang,Male,"Faculty of Science, Engineering and Technology, Swinburne University of Technology, Melbourne, Australia; Software and Services Research Group, Vrije Universiteit Amsterdam, Netherlands",,"Australia, Netherlands",,,
,Xin Xia,Male,"Faculty of Information Technology, Monash University, Melbourne, Australia",,Australia,,,
A qualitative analysis of themes in instant messaging communication of software developers,Camila Costa Silva,Female,University of Canterbury,TRUE,New Zealand,1,0,0
,Matthias Galster,Male,University of Canterbury,,New Zealand,,,
,Fabian Gilson,Male,University of Canterbury,,New Zealand,,,
A sampling-based online Co-Location-Resistant Virtual Machine placement strategy,Marwa Thabet,Female,"University of Sousse, ISITCom, CES-Laboratory, University of Sfax",TRUE,Tunisia,0,0,1
,Brahim Hnich,Male,"Faculty of Sciences, University of Monastir, CES-Laboratory, University of Sfax",,Tunisia,,,
,Mouhebeddine Berrima,Male,"Department of Applied Natural Sciences, Applied College, Qassim University, LIPSIC, University of Tunis El Manar",,"Saudi Arabia, Tunisia",,,
A software reliability growth model for imperfect debugging,Yeu-Shiang Huang,Male,"Department of Industrial and Information Management, Center for Innovative FinTech Business Models, National Cheng Kung University",TRUE,Taiwan,0,1,0
,Kuei-Chen Chiu,Male,"Department of Finance, Shih Chien University (Kaohsiung Campus)",,Taiwan,,,
,Wan-Ming Chen,Female,"Department of Industrial and Information Management, National Cheng Kung University",,Taiwan,,,
A user survey on the adoption of crowd-based software engineering instructional screencasts by the new generation of software developers,Parisa Moslehi,Female,"Concordia University, Montreal, Canada",TRUE,Canada,0,1,0
,Juergen Rilling,Male,"Concordia University, Montreal, Canada",,Canada,,,
,Bram Adams,Male,"Queens University, Kingston, Canada",,Canada,,,
Agile methods used by traditional logistics companies and logistics start-ups: a systematic literature review,Malena Zielske,Female,"Hamburg University of Applied Sciences, Lufthansa Industry Solutions GmbH & Co. KG",TRUE,Germany,0,1,0
,Tobias Held,Male,Hamburg University of Applied Sciences,,Germany,,,
An automated extract method refactoring approach to correct the long method code smell,Mahnoosh Shahidi,Female,Iran University of Science and Technology,TRUE,Iran,1,0,0
,Mehrdad Ashtiani,Male,Iran University of Science and Technology,,Iran,,,
,Morteza Zakeri-Nasrabadi,Male,Iran University of Science and Technology,,Iran,,,
CIT-daily: A combinatorial interaction testing-based daily build process,Hanefi Mercan,Male,Sabanci University,TRUE,Turkey,1,0,0
,Atakan Aytar,Male,Sabanci University,,Turkey,,,
,Giray Coskun,Male,Sabanci University,,Turkey,,,
,Dilara Mustecep,Female,Sabanci University,,Turkey,,,
,GuÌˆlsuÌˆm Uzer,Female,Sabanci University,,Turkey,,,
,Cemal Yilmaz,Male,Sabanci University,,Turkey,,,
Classifying crowdsourced mobile test reports with image features: An empirical study,Yuying Li,Female,"The State Key Laboratory for Novel Software Technology, Nanjing University",TRUE,China,1,0,0
,Yang Feng,Male,"The State Key Laboratory for Novel Software Technology, Nanjing University",,China,,,
,Rui Hao,Male,"The State Key Laboratory for Novel Software Technology, Nanjing University",,China,,,
,Di Liu,Male,"The State Key Laboratory for Novel Software Technology, Nanjing University",,China,,,
,Chunrong Fang,Male,"The State Key Laboratory for Novel Software Technology, Nanjing University",,China,,,
,Zhenyu Chen,Male,"The State Key Laboratory for Novel Software Technology, Nanjing University",,China,,,
,Baowen Xu,Male,"The State Key Laboratory for Novel Software Technology, Nanjing University",,China,,,
Conformance assessment of Architectural Design Decisions on API endpoint designs derived from domain modelsâœ©,Apitchaka Singjai,Female,"University of Vienna, Faculty of Computer Science, Research Group Software Architecture",TRUE,Austria,1,0,0
,Uwe Zdun,Male,"University of Vienna, Faculty of Computer Science, Research Group Software Architecture",,Austria,,,
Deep learning application on code clone detection: A review of current knowledge,Maggie Lei,Female,"Computer Science and Engineering, Oakland University, Rochester, MI, 48309, United States",TRUE,United States,1,0,0
,Hao Li,Male,"Computer Science and Engineering, Oakland University, Rochester, MI, 48309, United States",,United States,,,
,Ji Li,Male,"Computer Science and Engineering, Oakland University, Rochester, MI, 48309, United States",,United States,,,
,Namrata Aundhkar,Female,"Computer Science and Engineering, Oakland University, Rochester, MI, 48309, United States",,United States,,,
,Dae-Kyoo Kim,Male,"Computer Science and Engineering, Oakland University, Rochester, MI, 48309, United States",,United States,,,
Estimating the potential of program repair search spaces with commit analysis,Khashayar Etemadi,Male,KTH Royal Institute of Technology,TRUE,Sweden,0,0,1
,Niloofar Tarighat,Female,Sharif University of Technology,,Iran,,,
,Siddharth Yadav,Male,Indraprastha Institute of Information Technology Delhi,,India,,,
,Matias Martinez,Male,UniversitÃ© Polytechnique Hauts-de-France,,France,,,
,Martin Monperrus,Male,KTH Royal Institute of Technology,,Sweden,,,
Exploiting gated graph neural network for detecting and explaining self-admitted technical debts,Jiaojiao Yu,Female,"School of Computer Science, Wuhan University, Wuhan, China",TRUE,China,0,0,1
,Kunsong Zhao,Male,"School of Computer Science, Wuhan University, Wuhan, China",,China,,,
,Jin Liu,Male,"School of Computer Science, Wuhan University, Wuhan, China",,China,,,
,Xiao Liu,Male,"School of Information Technology, Deakin University, Geelong, Australia",,Australia,,,
,Zhou Xu,Male,"School of Big Data and Software Engineering, Chongqing University, Chongqing, China",,China,,,
,Xin Wang,Male,"School of Computer Science, Wuhan University, Wuhan, China",,China,,,
Exploring factors and metrics to select open source software components for integration: An empirical study,Xiaozhou Li,Male,Tampere University,TRUE,Finland,1,0,0
,Sergio Moreschini,Male,Tampere University,,Finland,,,
,Zheying Zhang,Female,Tampere University,,Finland,,,
,Davide Taibi,Male,Tampere University,,Finland,,,
"GitHub repositories with links to academic papers: Public access, traceability, and evolutionâœ©",Supatsara Wattanakriengkrai,Female,Nara Institute of Science and Technology,TRUE,Japan,0,0,1
,Bodin Chinthanet,Male,Nara Institute of Science and Technology,,Japan,,,
,Hideaki Hata,Male,Shinshu University,,Japan,,,
,Raula Gaikovina Kula,Male,Nara Institute of Science and Technology,,Japan,,,
,Christoph Treude,Male,University of Melbourne,,Australia,,,
,Jin Guo,Female,McGill University,,Canada,,,
,Kenichi Matsumoto,Male,Nara Institute of Science and Technology,,Japan,,,
GT-SimNet: Improving code automatic summarization via multi-modal similarity networks,Xuejian Gao,Male,"Shandong Provincial Key Laboratory for Distributed Computer Software Novel Technology, School of Information Science and Engineering, Shandong Normal University",TRUE,China,1,0,0
,Xue Jiang,Female,"Shandong Provincial Key Laboratory for Distributed Computer Software Novel Technology, School of Information Science and Engineering, Shandong Normal University",,China,,,
,Qiong Wu,Female,"Shandong Provincial Key Laboratory for Distributed Computer Software Novel Technology, School of Information Science and Engineering, Shandong Normal University",,China,,,
,Xiao Wang,Male,"Shandong Provincial Key Laboratory for Distributed Computer Software Novel Technology, School of Information Science and Engineering, Shandong Normal University",,China,,,
,Chen Lyu,Male,"Shandong Provincial Key Laboratory for Distributed Computer Software Novel Technology, School of Information Science and Engineering, Shandong Normal University",,China,,,
,Lei Lyu,Male,"Shandong Provincial Key Laboratory for Distributed Computer Software Novel Technology, School of Information Science and Engineering, Shandong Normal University",,China,,,
Hierarchical semantic-aware neural code representationâœ©,Yuan Jiang,Male,"School of Computer Science and Technology, Harbin Institute of Technology",TRUE,China,0,0,1
,Xiaohong Su,Male,"School of Computer Science and Technology, Harbin Institute of Technology",,China,,,
,Christoph Treude,Male,"School of Computing and Information Systems, University of Melbourne",,Australia,,,
,Tiantian Wang,Female,"School of Computer Science and Technology, Harbin Institute of Technology",,China,,,
Identification and measurement of Requirements Technical Debt in software development: A systematic literature review,Ana Melo,Female,"University of Pernambuco, Recife, Brazil",TRUE,Brazil,0,0,1
,Roberta Fagundes,Female,"University of Pernambuco, Recife, Brazil",,Brazil,,,
,Valentina Lenarduzzi,Female,"University of Oulu, Oulu, Finland",,Finland,,,
,Wylliams Barbosa Santos,Male,"University of Pernambuco, Recife, Brazil",,Brazil,,,
Just-in-time software vulnerability detection: Are we there yet?,Francesco Lomio,Male,Tampere University,TRUE,Finland,0,0,1
,Emanuele Iannone,Male,"SeSa Lab â€” Department of Computer Science, University of Salerno",,Italy,,,
,Andrea De Lucia,Male,"SeSa Lab â€” Department of Computer Science, University of Salerno",,Italy,,,
,Fabio Palomba,Male,"SeSa Lab â€” Department of Computer Science, University of Salerno",,Italy,,,
,Valentina Lenarduzzi,Female,"University of Oulu, Tampere University",,Finland,,,
Mutation testing of PL/SQL programsâœ©,Arzu Behiye TarÄ±mcÄ±,Female,"Turkcell Technology, Istanbul, Turkey",FALSE,Turkey,0,1,0
,Hasan SÃ¶zer,Male,"Ozyegin University, Istanbul, Turkey",,Turkey,,,
Profiling gas consumption in Solidity smart contracts,Andrea Di Sorbo,Male,"Department of Engineering, University of Sannio",TRUE,Italy,1,0,0
,Sonia Laudanna,Female,"Department of Engineering, University of Sannio",,Italy,,,
,Anna Vacca,Female,"Department of Engineering, University of Sannio",,Italy,,,
,Corrado A. Visaggio,Male,"Department of Engineering, University of Sannio",,Italy,,,
,Gerardo Canfora,Male,"Department of Engineering, University of Sannio",,Italy,,,
Quantitative verification with adaptive uncertainty reduction,Naif Alasmari,Male,"Department of Computer Science, University of York",FALSE,UK,0,0,1
,Radu Calinescu,Male,"Department of Computer Science, University of York",,UK,,,
,Colin Paterson,Male,"Department of Computer Science, University of York",,UK,,,
,Raffaela Mirandola,Female,Politecnico di Milano,,Italy,,,
Random or heuristic? An empirical study on path search strategies for test generation in KLEE,Zhiyi Zhang,Male,"Nanjing University of Aeronautics and Astronautics, National Key Laboratory for Novel Software Technology, Collaborative Innovation Center of Novel Software Technology and Industrialization",TRUE,China,0,1,0
,Ziyuan Wang,Male,Nanjing University of Posts and Telecommunications,,China,,,
,Fan Yang,Male,Nanjing University of Posts and Telecommunications,,China,,,
,Jiahao Wei,Male,Nanjing University of Posts and Telecommunications,,China,,,
,Yuqian Zhou,Female,"Nanjing University of Aeronautics and Astronautics, Ministry Key Laboratory for Safety-Critical Software Development and Verification",,China,,,
,Zhiqiu Huang,Male,"Nanjing University of Aeronautics and Astronautics, Ministry Key Laboratory for Safety-Critical Software Development and Verification",,China,,,
Spreadsheet debugging: The perils of tool over-reliance,Adil Mukhtar,Male,Graz University of Technology,TRUE,Austria,0,1,0
,Birgit Hofer,Female,Graz University of Technology,,Austria,,,
,Dietmar Jannach,Male,University of Klagenfurt,,Austria,,,
,Franz Wotawa,Male,Graz University of Technology,,Austria,,,
Taxonomy of security weaknesses in Java and Kotlin Android apps,Alejandro Mazuera-Rozo,Male,"UniversitÃ della Svizzera Italiana, Lugano, Switzerland; Universidad de los Andes, BogotÃ¡, Colombia",TRUE,"Switzerland, Colombia",0,0,1
,Camilo Escobar-VelÃ¡squez,Male,"Universidad de los Andes, BogotÃ¡, Colombia",,Colombia,,,
,Juan Espitia-Acero,Male,"Universidad de los Andes, BogotÃ¡, Colombia",,Colombia,,,
,David Vega-GuzmÃ¡n,Male,"Universidad de los Andes, BogotÃ¡, Colombia",,Colombia,,,
,Catia Trubiani,Female,"Gran Sasso Science Institute, Lâ€™Aquila, Italy",,Italy,,,
,Mario Linares-VÃ¡squez,Male,"Universidad de los Andes, BogotÃ¡, Colombia",,Colombia,,,
,Gabriele Bavota,Male,"UniversitÃ della Svizzera Italiana, Lugano, Switzerland",,Switzerland,,,
Technical debts and faults in open-source quantum software systems: An empirical study,Moses Openja,Male,"SWAT Lab, Ã‰cole Polytechnique de MontrÃ©al",FALSE,Canada,1,0,0
,Mohammad Mehdi Morovati,Male,"SWAT Lab, Ã‰cole Polytechnique de MontrÃ©al",,Canada,,,
,Le An,Male,"SWAT Lab, Ã‰cole Polytechnique de MontrÃ©al",,Canada,,,
,Foutse Khomh,Male,"SWAT Lab, Ã‰cole Polytechnique de MontrÃ©al",,Canada,,,
,Mouna Abidi,Female,"SWAT Lab, Ã‰cole Polytechnique de MontrÃ©al",,Canada,,,
Towards a logical framework for ideal MBSE tool selection based on discipline specific requirements,Azad Khandoker,Male,"Institute of Mechatronic Design and Production, Johannes Kepler University Linz",FALSE,Austria,0,1,0
,Sabine Sint,Female,"Christian Doppler Laboratory for Model-Integrated Smart Production (CDL-MINT), Department of Business Informatics",,Austria,,,
,Guido Gessl,Male,"Institute of Mechatronic Design and Production, Johannes Kepler University Linz",,Austria,,,
,Klaus Zeman,Male,"Institute of Mechatronic Design and Production, Johannes Kepler University Linz",,Austria,,,
,Franz Jungreitmayr,Male,"Institute of Mechatronic Design and Production, Johannes Kepler University Linz",,Austria,,,
,Helmut Wahl,Male,"Institute of Mechatronic Design and Production, Johannes Kepler University Linz",,Austria,,,
,Andreas Wenigwieser,Male,"Institute of Mechatronic Design and Production, Johannes Kepler University Linz",,Austria,,,
,Roland Kretschmer,Male,"Institute for Software Systems Engineering, Johannes Kepler University Linz",,Austria,,,
Usability inspection: Novice crowd inspectors versus expertâœ©,Muhammad Nasir,Male,"Faculty of Basic and Applied Sciences, International Islamic University, Islamabad, Pakistan; Faculty of Computing, Riphah International University, Islamabad, Pakistan",TRUE,Pakistan,0,1,0
,Naveed Ikram,Male,"Faculty of Computing, Riphah International University, Islamabad, Pakistan",,Pakistan,,,
,Zakia Jalil,Female,"Faculty of Basic and Applied Sciences, International Islamic University, Islamabad, Pakistan",,Pakistan,,,
VulSlicer: Vulnerability detection through code slicing,Solmaz Salimi,Female,"S4Lab, Department of Computer Engineering, Sharif University of Technology",TRUE,Iran,1,0,0
,Mehdi Kharrazi,Male,"S4Lab, Department of Computer Engineering, Sharif University of Technology",,Iran,,,
Studying the association between Gitcoinâ€™s issues and resolving outcomes,Morakot Choetkiertikul,Male,"Faculty of Information and Communication Technology, Mahidol University, Thailand",TRUE,Thailand,0,0,1
,Arada Puengmongkolchaikit,Female,"Faculty of Information and Communication Technology, Mahidol University, Thailand",,Thailand,,,
,Pandaree Chandra,Female,"Faculty of Information and Communication Technology, Mahidol University, Thailand",,Thailand,,,
,Chaiyong Ragkhitwetsagul,Male,"Faculty of Information and Communication Technology, Mahidol University, Thailand",,Thailand,,,
,Rungroj Maipradit,Male,"Nara Institute of Science and Technology, Japan",,Japan,,,
,Hideaki Hata,Male,"Shinshu University, Japan",,Japan,,,
,Thanwadee Sunetnanta,Female,"Faculty of Information and Communication Technology, Mahidol University, Thailand",,Thailand,,,
,Kenichi Matsumoto,Male,"Nara Institute of Science and Technology, Japan",,Japan,,,
Continuous verification with acknowledged MAPE-K pattern and time logic-based slicing: A platooning system of systems case study,Jiyoung Song,Female,"Computer Engineering, Hannam University, 70 Hannamro, Daedeok-Gu, Daejeon, 34430",TRUE,Republic of Korea,0,1,0
,Doo-Hwan Bae,Male,"School of Computing, Korea Advanced Institute of Science and Technology (KAIST), 291 Daehak-ro, Yuseong-gu, Daejeon, 34141",,Republic of Korea,,,
Enhancing Ethereum smart-contracts static analysis by computing a precise Control-Flow Graph of Ethereum bytecode,Michele Pasqua,Male,"University of Verona, Strada le Grazie 15, Verona 37134, Verona, Italy",TRUE,Italy,1,0,0
,Andrea Benini,Male,"University of Verona, Strada le Grazie 15, Verona 37134, Verona, Italy",,Italy,,,
,Filippo Contro,Male,"University of Verona, Strada le Grazie 15, Verona 37134, Verona, Italy",,Italy,,,
,Marco Crosara,Male,"University of Verona, Strada le Grazie 15, Verona 37134, Verona, Italy",,Italy,,,
,Mila Dalla Preda,Female,"University of Verona, Strada le Grazie 15, Verona 37134, Verona, Italy",,Italy,,,
,Mariano Ceccato,Male,"University of Verona, Strada le Grazie 15, Verona 37134, Verona, Italy",,Italy,,,
VsusFL: Variable-suspiciousness-based Fault Localization for novice programs,Zheng Li,Male,"College of Information Science and Technology, Beijing University of Chemical Technology",TRUE,China,0,1,0
,Shumei Wu,Female,"College of Information Science and Technology, Beijing University of Chemical Technology",,China,,,
,Yong Liu,Male,"College of Information Science and Technology, Beijing University of Chemical Technology",,China,,,
,Jitao Shen,Male,"College of Information Science and Technology, Beijing University of Chemical Technology",,China,,,
,Yonghao Wu,Male,"College of Information Science and Technology, Beijing University of Chemical Technology",,China,,,
,Zhanwen Zhang,Male,"College of Information Science and Technology, Beijing University of Chemical Technology",,China,,,
,Xiang Chen,Male,"School of Information Science and Technology, Nantong University",,China,,,
Boosting multi-objective just-in-time software defect prediction by fusing expert metrics and semantic metrics,Xiang Chen,Male,"School of Information Science and Technology, Nantong University, Nantong, China",TRUE,China,0,1,0
,Hongling Xia,Female,"School of Information Science and Technology, Nantong University, Nantong, China",,China,,,
,Wenlong Pei,Male,"School of Information Science and Technology, Nantong University, Nantong, China",,China,,,
,Chao Ni,Male,"School of Software Technology, Zhejiang University, Hangzhou, China",,China,,,
,Ke Liu,Male,"School of Information Science and Technology, Nantong University, Nantong, China",,China,,,
TitleGen-FL: Quality prediction-based filter for automated issue title generation,Hao Lin,Male,"School of Information Science and Technology, Nantong University, Nantong, China",FALSE,China,0,1,0
,Xiang Chen,Male,"School of Information Science and Technology, Nantong University, Nantong, China, Key Laboratory of Safety-Critical Software (Nanjing University of Aeronautics and Astronautics), Ministry of Industry and Information Technology, Nanjing, China",,China,,,
,Xuejiao Chen,Female,"School of Information Science and Technology, Nantong University, Nantong, China",,China,,,
,Zhanqi Cui,Male,"Computer School, Beijing Information Science and Technology University, Beijing, China",,China,,,
,Yun Miao,Male,"School of Information Science and Technology, Nantong University, Nantong, China",,China,,,
,Shan Zhou,Male,"Technology and Engineering Center for Space Utilization, Chinese Academy of Sciences, Beijing, China",,China,,,
,Jianmin Wang,Male,"Technology and Engineering Center for Space Utilization, Chinese Academy of Sciences, Beijing, China",,China,,,
,Zhan Su,Male,"School of Information Science and Technology, Nantong University, Nantong, China",,China,,,
ExploitGen: Template-augmented exploit code generation based on CodeBERT,Guang Yang,Male,"College of Computer Science and Technology, Nanjing University of Aeronautics and Astronautics, Nanjing, China, Key Laboratory of Safety-Critical Software, Ministry of Industry and Information Technology, Nanjing, China",TRUE,China,0,0,1
,Yu Zhou,Male,"College of Computer Science and Technology, Nanjing University of Aeronautics and Astronautics, Nanjing, China, Key Laboratory of Safety-Critical Software, Ministry of Industry and Information Technology, Nanjing, China",,China,,,
,Xiang Chen,Male,"Key Laboratory of Safety-Critical Software, Ministry of Industry and Information Technology, Nanjing, China, School of Information Science and Technology, Nantong University, Nantong, China",,China,,,
,Xiangyu Zhang,Male,"College of Computer Science and Technology, Nanjing University of Aeronautics and Astronautics, Nanjing, China, Key Laboratory of Safety-Critical Software, Ministry of Industry and Information Technology, Nanjing, China",,China,,,
,Tingting Han,Female,"Department of Computer Science and Data Science, Birkbeck, University of London, UK",,UK,,,
,Taolue Chen,Male,"Department of Computer Science and Data Science, Birkbeck, University of London, UK",,UK,,,
Software engineering research on the Robot Operating System: A systematic mapping study,Michel Albonico,Male,"Federal University of Technology, ParanÃ¡ (UTFPR), Brazil",FALSE,Brazil,0,0,1
,Milica ÄorÄ‘eviÄ‡,Female,"Vrije Universiteit Amsterdam, Netherlands",,Netherlands,,,
,Engel Hamer,Male,"Vrije Universiteit Amsterdam, Netherlands",,Netherlands,,,
,Ivano Malavolta,Male,"Vrije Universiteit Amsterdam, Netherlands",,Netherlands,,,
"A critical comparison on six static analysis tools: Detection, agreement, and precision",Valentina Lenarduzzi,Female,M3S Research Unit - University of Oulu,TRUE,Finland,0,0,1
,Fabiano Pecorelli,Male,Clowee Research group - Tampere University,,Finland,,,
,Nyyti Saarimaki,Female,Clowee Research group - Tampere University,,Finland,,,
,Savanna Lujan,Female,Clowee Research group - Tampere University,,Finland,,,
,Fabio Palomba,Male,SeSa Lab - University of Salerno,,Italy,,,
Catalog and detection techniques of microservice anti-patterns and bad smells: A tertiary study,Tomas Cerny,Male,"SIE, University of Arizona, Tucson, AZ, USA",TRUE,USA,0,0,1
,Amr S. Abdelfattah,Male,"Baylor University, Waco, TX, USA",,USA,,,
,Abdullah Al Maruf,Male,"Baylor University, Waco, TX, USA",,USA,,,
,Andrea Janes,Female,"FHV Vorarlberg University of Applied Sciences, Dornbirn, Austria",,Austria,,,
,Davide Taibi,Male,"Tampere University, Tampere, Finland",,Finland,,,
Pragmatic evidence of cross-language link detection: A systematic literature review,Saira Latif a,Female,"University of Central Punjab, Lahore 54000, Pakistan",TRUE,Pakistan,0,0,1
,Zaigham Mushtaq b,Male,"The Islamia University, Bahawalpur 63102, Pakistan",,Pakistan,,,
,Ghulam Rasool c,Male,"COMSATS University Islamabad, Lahore Campus, 54000, Pakistan",,Pakistan,,,
,Furqan Rustam d,Male,"School of Computer Science, University College Dublin, Belfield Dublin 4, Ireland",,Ireland,,,
,Naila Aslam e,Female,"School of Electronics and Information Engineering, Hebei University of Technology, Tianjin 300401, China",,China,,,
,Imran Ashraf f,Male,"Information and Communication Engineering, Yeungnam University, Gyeongsan 38541, Republic of Korea",,South Korea,,,
CharM â€” Evaluating a model for characterizing service-based architectures,Thatiane de Oliveira Rosa,Female,"Mathematics and Statistics Institute of the University of SÃ£o Paulo - IME-USP, Federal Institute of Tocantins",TRUE,Brazil,0,0,1
,Eduardo Martins Guerra,Male,Computer Science Faculty of the Free University of Bozen-Bolzano,,Italy,,,
,Filipe Figueiredo Correia,Male,"Faculty of Engineering of the University of Porto, INESCTEC",,Portugal,,,
,Alfredo Goldman,Male,Mathematics and Statistics Institute of the University of SÃ£o Paulo - IME-USP,,Brazil,,,
Comparing software product lines and Clone and Own for game software engineering under two paradigms: Model-driven development and code-driven development,Jorge Chueca,Male,"Universidad San Jorge, SVIT Research Group",TRUE,Spain,1,0,0
,Jose Ignacio Trasobares,Male,"Universidad San Jorge, SVIT Research Group",,Spain,,,
,Ãfrica Domingo,Female,"Universidad San Jorge, SVIT Research Group",,Spain,,,
,Lorena Arcega,Female,"Universidad San Jorge, SVIT Research Group",,Spain,,,
,Carlos Cetina,Male,"Universidad San Jorge, SVIT Research Group",,Spain,,,
,Jaime Font,Male,"Universidad San Jorge, SVIT Research Group",,Spain,,,
On the impact of single and co-occurrent refactorings on quality attributes in android applications,Ali Ouni,Male,"Ecole de Technologie Superieure, University of Quebec, Montreal, QC, Canada",TRUE,Canada,0,0,1
,Eman Abdullah AlOmar,Female,"Stevens Institute of Technology, Hoboken, NJ, USA",,USA,,,
,Oumayma Hamdi,Female,"Ecole de Technologie Superieure, University of Quebec, Montreal, QC, Canada",,Canada,,,
,Mel Ã“ CinnÃ©ide,Male,"University College Dublin, Dublin, Ireland",,Ireland,,,
,Mohamed Wiem Mkaouer,Male,"Rochester Institute of Technology, Rochester, NY, USA",,USA,,,
,Mohamed Aymen Saied,Male,"Laval University, Quebec, QC, Canada",,Canada,,,
An empirical study on real bug fixes from solidity smart contract projects,Yilin Wang,Female,"School of Computer Science and Engineering, Sun Yat-sen University, Guangzhou, China",TRUE,China,0,0,1
,Xiangping Chen,Male,"School of Journalism and Communication, Sun Yat-sen University, Guangzhou, China",,China,,,
,Yuan Huang,Male,"School of Software Engineering, Sun Yat-sen University, Zhuhai, China",,China,,,
,Hao-Nan Zhu,Male,"Department of Computer Science, University of California, Davis, United States of America",,United States of America,,,
,Jing Bian,Female,"School of Computer Science and Engineering, Sun Yat-sen University, Guangzhou, China",,China,,,
,Zibin Zheng,Male,"School of Software Engineering, Sun Yat-sen University, Zhuhai, China",,China,,,
A catalogue of game-specific anti-patterns based on GitHub and Game Development Stack Exchange,Vartika Agrahari,Female,Indian Institute of Technology Tirupati,TRUE,India,1,0,0
,Shriram Shanbhag,Male,Indian Institute of Technology Tirupati,,India,,,
,Sridhar Chimalakonda,Male,Indian Institute of Technology Tirupati,,India,,,
,A. Eashaan Rao,Male,Indian Institute of Technology Tirupati,,India,,,
ARist: An effective API argument recommendation approach,Son Nguyen,Male,"Faculty of Information Technology, VNU University of Engineering and Technology",TRUE,Viet Nam,1,0,0
,Cuong Tran Manh,Male,"Faculty of Information Technology, VNU University of Engineering and Technology",,Viet Nam,,,
,Kien T. Tran,Male,"Faculty of Information Technology, VNU University of Engineering and Technology",,Viet Nam,,,
,Tan M. Nguyen,Male,"Faculty of Information Technology, VNU University of Engineering and Technology",,Viet Nam,,,
,Thu-Trang Nguyen,Female,"Faculty of Information Technology, VNU University of Engineering and Technology",,Viet Nam,,,
,Kien-Tuan Ngo,Male,"Faculty of Information Technology, VNU University of Engineering and Technology",,Viet Nam,,,
,Hieu Dinh Vo,Male,"Faculty of Information Technology, VNU University of Engineering and Technology",,Viet Nam,,,
On the maintenance support for microservice-based systems through the specification and the detection of microservice antipatterns,Rafik Tighilt,Male,"University of Quebec in Montreal, Ã‰cole de Technologie SupÃ©rieure, Concordia University",FALSE,Canada,0,0,1
,Manel Abdellatif,Male,Ã‰cole de Technologie SupÃ©rieure,,Canada,,,
,Imen Trabelsi,Female,Ã‰cole de Technologie SupÃ©rieure,,Canada,,,
,LoÃ¯c Madern,Male,Polytech Nice Sophia,,France,,,
