Paper Title,Author Name,Gender,Affiliation,Industrial/Institutional,local_Contribution?,national_collaboration?,International_collaboration?
,Li Li,Female,"Faculty of Information Technology, Monash University, Australia",,,,
,Meng Yan,Male,"Key Laboratory of Dependable Service Computing in Cyber Physical Society (Chongqing University), Ministry of Education, China, School of Big Data and Software Engineering, Chongqing University, Chongqing, China",,,,
,Jin Liu,Male,"School of Computer Science, Wuhan University, Wuhan, China",,,,
,Xiapu Luo,Male,"Department of Computing, The Hong Kong Polytechnic University, Hong Kong, China",,,,
,John Grundy,Male,"Faculty of Information Technology, Monash University, Australia",,,,
,Yifeng Zhang,Male,"School of Computer Science, Wuhan University, Wuhan, China",,,,
,Xiaohong Zhang,Female,"Key Laboratory of Dependable Service Computing in Cyber Physical Society (Chongqing University), Ministry of Education, China, School of Big Data and Software Engineering, Chongqing University, Chongqing, China",,,,
Assurance and certification of cyberâ€“physical systems: The AMASS open source ecosystem,Jose Luis de la Vara,Male,"University of Castilla-La Mancha, Avda. EspaÃ±a s/n, 02071 Albacete, Spain",FALSE,0,0,1
,Alejandra Ruiz,Female,"Tecnalia Research & Innovation, Parque TecnolÃ³gico de Bizkaia, Edif. 700, 48160 Derio, Bizkaia, Spain",,,,
,GaÃ«l Blondelle,Male,"Eclipse Foundation, AnnastraÃŸe 46, 64673 Zwingenberg, Germany",,,,
A critical review on the evaluation of automated program repair systems,Kui Liu,Male,"College of Computer Science and Technology, Nanjing University of Aeronautics and Astronautics, China",TRUE,0,0,1
,Li Li,Female,"Faculty of Information Technology, Monash University, Australia",,,,
,Anil Koyuncu,Male,"Interdisciplinary Centre for Security, Reliability and Trust (SnT), University of Luxembourg, Luxembourg",,,,
,Dongsun Kim,Male,"School of Computer Science and Engineering, Kyungpook National University, South Korea",,,,
,Zhe Liu,Male,"College of Computer Science and Technology, Nanjing University of Aeronautics and Astronautics, China",,,,
,Jacques Klein,Male,"Interdisciplinary Centre for Security, Reliability and Trust (SnT), University of Luxembourg, Luxembourg",,,,
,TegawendÃ© F. BissyandÃ©,Male,"Interdisciplinary Centre for Security, Reliability and Trust (SnT), University of Luxembourg, Luxembourg",,,,
An evolutionary approach for generating software models: The case of Kromaia in Game Software Engineering,Daniel Blasco,Male,"Universidad San Jorge. SVIT Research Group, AutovÃ­a A-23 Zaragoza-Huesca Km.299, 50830, Zaragoza, Spain",TRUE,1,0,0
,Jaime Font,Male,"Universidad San Jorge. SVIT Research Group, AutovÃ­a A-23 Zaragoza-Huesca Km.299, 50830, Zaragoza, Spain",,,,
,Mar Zamorano,Female,"Universidad San Jorge. SVIT Research Group, AutovÃ­a A-23 Zaragoza-Huesca Km.299, 50830, Zaragoza, Spain",,,,
,Carlos Cetina,Male,"Universidad San Jorge. SVIT Research Group, AutovÃ­a A-23 Zaragoza-Huesca Km.299, 50830, Zaragoza, Spain",,,,
Facilitating program comprehension with call graph multilevel hierarchical abstractions,Rakan Alanazi,Male,"School of Computing and Engineering, University of Missouri-Kansas City, MO, USA, Faculty of Computing and Information Technology, Northern Border University, Rafha, Saudi Arabia",TRUE,0,0,1
,Gharib Gharibi,Male,"School of Computing and Engineering, University of Missouri-Kansas City, MO, USA",,,,
,Yugyung Lee,Female,"School of Computing and Engineering, University of Missouri-Kansas City, MO, USA",,,,
"Accessibility in the mobile development industry in Brazil: Awareness, knowledge, adoption, motivations and barriers",Manoel Victor Rodrigues Leite,Male,"School of Arts, Sciences and Humanities, University of SÃ£o Paulo",TRUE,0,1,0
,Lilian Passos Scatalon,Female,"School of Arts, Sciences and Humanities, University of SÃ£o Paulo",,,,
,AndrÃ© Pimenta Freire,Male,Federal University of Lavras,,,,
,Marcelo Medeiros Eler,Male,"School of Arts, Sciences and Humanities, University of SÃ£o Paulo",,,,
Concept drift-aware temporal cloud service APIs recommendation for building composite cloud systems,Lei Wang,Male,Nanjing Forestry University,FALSE,0,1,0
,Yunqiu Zhang,Female,Nanjing Forestry University,,,,
,Xiaohu Zhu,Male,"Center for Safe AGI, Shanghai",,,,
Product-line assurance cases from contract-based design,Damir NeÅ¡iÄ‡,Male,"KTH Royal Institute of Technology, BrinellvÃ¤gen 83, 100 44 Stockholm, Sweden",TRUE,0,1,0
,Mattias Nyberg,Male,"KTH Royal Institute of Technology, BrinellvÃ¤gen 83, 100 44 Stockholm, Sweden",,,,
,Barbara Gallina,Female,"MÃ¤lardalen University, HÃ¶gskoleplan 1, 722 20 VÃ¤sterÃ¥s, Sweden",,,,
GEML: A grammar-based evolutionary machine learning approach for design-pattern detection,Rafael Barbudo,Male,"Department of Computer Science and Numerical Analysis, University of CÃ³rdoba, 14071, CÃ³rdoba, Spain",FALSE,0,0,1
,Aurora RamÃ­rez,Female,"Department of Computer Science and Numerical Analysis, University of CÃ³rdoba, 14071, CÃ³rdoba, Spain",,,,
,Francisco Servant,Male,"Department of Computer Science, Virginia Tech, VA 24060, Blacksburg, USA",,,,
,JosÃ© RaÃºl Romero,Male,"Department of Computer Science and Numerical Analysis, University of CÃ³rdoba, 14071, CÃ³rdoba, Spain",,,,
Code smell detection by deep direct-learning and transfer-learning,Tushar Sharma,Male,"Siemens Technology, Charlotte, USA",FALSE,0,0,1
,Vasiliki Efstathiou,Female,"Athens University of Economics and Business, Athens, Greece",,,,
,Panos Louridas,Male,"Athens University of Economics and Business, Athens, Greece",,,,
,Diomidis Spinellis,Male,"Athens University of Economics and Business, Athens, Greece",,,,
A software reliability growth model for imperfect debugging,Yeu-Shiang Huang,Male,"Department of Industrial and Information Management, Center for Innovative FinTech Business Models, National Cheng Kung University",TRUE,0,1,0
,Kuei-Chen Chiu,Male,"Department of Finance, Shih Chien University (Kaohsiung Campus)",,,,
,Wan-Ming Chen,Female,"Department of Industrial and Information Management, National Cheng Kung University",,,,
A survey of software architectural change detection and categorization techniques,Amit Kumar Mondal,Male,University of Saskatchewan,TRUE,1,0,0
,Kevin A. Schneider,Male,University of Saskatchewan,,,,
,Banani Roy,Female,University of Saskatchewan,,,,
,Chanchal K. Roy,Male,University of Saskatchewan,,,,
A systematic literature review on benchmarks for evaluating debugging approaches,Thomas Hirsch,Male,"Institute of Software Technology, Graz University of Technology",TRUE,1,0,0
,Birgit Hofer,Female,"Institute of Software Technology, Graz University of Technology",,,,
An architecture for mission coordination of heterogeneous robots,Gabriel Rodrigues,Male,"University of Brasilia, Brasilia, Brazil",TRUE,0,0,1
,Ricardo Caldas,Male,"Chalmers University of Technology, Gothenburg, Sweden",,,,
,Gabriel Araujo,Male,"University of Brasilia, Brasilia, Brazil",,,,
,Vicente de Moraes,Male,"University of Brasilia, Brasilia, Brazil",,,,
,GenaÃ­na Rodrigues,Female,"University of Brasilia, Brasilia, Brazil",,,,
,Patrizio Pelliccione,Male,"Gran Sasso Science Institute (GSSI), Lâ€™Aquila, Italy",,,,
Assessing the linguistic quality of REST APIs for IoT applications,Francis Palma,Male,"Department of Computer Science and Media Technology, Linnaeus University",TRUE,0,1,0
,Tobias Olsson,Male,"Department of Computer Science and Media Technology, Linnaeus University",,,,
,Anna Wingkvist,Female,"Department of Computer Science and Media Technology, Linnaeus University",,,,
,Javier Gonzalez-Huerta,Male,"Department of Software Engineering, Blekinge Institute of Technology",,,,
Automatically recognizing the semantic elements from UML class diagram images,Fangwei Chen,Male,"State Key Laboratory of Software Development Environment, Beihang University",TRUE,0,0,1
,Li Zhang,Male,"State Key Laboratory of Software Development Environment, Beihang University",,,,
,Xiaoli Lian,Female,"State Key Laboratory of Software Development Environment, Beihang University",,,,
,Nan Niu,Male,University of Cincinnati,,,,
CIT-daily: A combinatorial interaction testing-based daily build process,Hanefi Mercan,Male,Sabanci University,TRUE,1,0,0
,Atakan Aytar,Male,Sabanci University,,,,
,Giray Coskun,Male,Sabanci University,,,,
,Dilara Mustecep,Female,Sabanci University,,,,
,GuÌˆlsuÌˆm Uzer,Female,Sabanci University,,,,
,Cemal Yilmaz,Male,Sabanci University,,,,
Emotimonitor: A Trello power-up to capture and monitor emotions of Agile teamsâœ©,Mohammed-Amr Abd El-Migid,Male,"Monash University, Melbourne, Australia",TRUE,1,0,0
,Damon Cai,Male,"Monash University, Melbourne, Australia",,,,
,Thomas Niven,Male,"Monash University, Melbourne, Australia",,,,
,Jeffrey Vo,Male,"Monash University, Melbourne, Australia",,,,
,Kashumi Madampe,Female,"Monash University, Melbourne, Australia",,,,
,John Grundy,Male,"Monash University, Melbourne, Australia",,,,
,Rashina Hoda,Female,"Monash University, Melbourne, Australia",,,,
Estimating the potential of program repair search spaces with commit analysis,Khashayar Etemadi,Male,KTH Royal Institute of Technology,TRUE,0,0,1
,Niloofar Tarighat,Female,Sharif University of Technology,,,,
,Siddharth Yadav,Male,Indraprastha Institute of Information Technology Delhi,,,,
,Matias Martinez,Male,UniversitÃ© Polytechnique Hauts-de-France,,,,
,Martin Monperrus,Male,KTH Royal Institute of Technology,,,,
Exploring factors and metrics to select open source software components for integration: An empirical study,Xiaozhou Li,Male,Tampere University,TRUE,1,0,0
,Sergio Moreschini,Male,Tampere University,,,,
,Zheying Zhang,Female,Tampere University,,,,
,Davide Taibi,Male,Tampere University,,,,
Exploring multi-programming-language commits and their impacts on software quality: An empirical study on Apache projects,Zengyang Li,Male,"School of Computer Science & Hubei Provincial Key Laboratory of Artificial Intelligence and Smart Learning, Central China Normal University",TRUE,0,1,0
,Xiaoxiao Qi,Female,"School of Computer Science & Hubei Provincial Key Laboratory of Artificial Intelligence and Smart Learning, Central China Normal University",,,,
,Qinyi Yu,Female,"School of Computer Science & Hubei Provincial Key Laboratory of Artificial Intelligence and Smart Learning, Central China Normal University",,,,
,Peng Liang,Male,"School of Computer Science, Wuhan University",,,,
,Ran Mo,Male,"School of Computer Science & Hubei Provincial Key Laboratory of Artificial Intelligence and Smart Learning, Central China Normal University",,,,
,Chen Yang,Male,"School of Artificial Intelligence, Shenzhen Polytechnic, State Key Laboratory for Novel Software Technology, Nanjing University",,,,
Factors affecting Agile adoption: An industry research study of the mobile app sector in Saudi Arabia,Fahad S. Altuwaijri,Male,"a) School of Computing and Communications, Lancaster University, UK; b) Department of Information Technology, College of Computer, Qassim University, Saudi Arabia",TRUE,0,0,1
,Maria Angela Ferrario,Female,"c) School of Electronics, Electrical Engineering and Computer Science, Queenâ€™s University, Belfast, UK",,,,
GT-SimNet: Improving code automatic summarization via multi-modal similarity networks,Xuejian Gao,Male,"Shandong Provincial Key Laboratory for Distributed Computer Software Novel Technology, School of Information Science and Engineering, Shandong Normal University",TRUE,1,0,0
,Xue Jiang,Female,"Shandong Provincial Key Laboratory for Distributed Computer Software Novel Technology, School of Information Science and Engineering, Shandong Normal University",,,,
,Qiong Wu,Female,"Shandong Provincial Key Laboratory for Distributed Computer Software Novel Technology, School of Information Science and Engineering, Shandong Normal University",,,,
,Xiao Wang,Male,"Shandong Provincial Key Laboratory for Distributed Computer Software Novel Technology, School of Information Science and Engineering, Shandong Normal University",,,,
,Chen Lyu,Male,"Shandong Provincial Key Laboratory for Distributed Computer Software Novel Technology, School of Information Science and Engineering, Shandong Normal University",,,,
,Lei Lyu,Male,"Shandong Provincial Key Laboratory for Distributed Computer Software Novel Technology, School of Information Science and Engineering, Shandong Normal University",,,,
Hierarchical semantic-aware neural code representationâœ©,Yuan Jiang,Male,"School of Computer Science and Technology, Harbin Institute of Technology",TRUE,0,0,1
,Xiaohong Su,Male,"School of Computer Science and Technology, Harbin Institute of Technology",,,,
,Christoph Treude,Male,"School of Computing and Information Systems, University of Melbourne",,,,
,Tiantian Wang,Female,"School of Computer Science and Technology, Harbin Institute of Technology",,,,
How has design thinking being used and integrated into software development activities? A systematic mapping,Rafael Parizi,Male,Pontifical Catholic University of Rio Grande do Sul - PUCRS,TRUE,0,1,0
,Matheus Prestes,Male,Pontifical Catholic University of Rio Grande do Sul - PUCRS,,,,
,Sabrina Marczak,Female,Pontifical Catholic University of Rio Grande do Sul - PUCRS,,,,
,Tayana Conte,Female,Federal University of Amazonas - UFAM,,,,
How secondary school girls perceive Computational Thinking practices through collaborative programming with the micro,Mojtaba Shahin,Male,"Monash University, Australia",FALSE,0,1,0
,Christabel Gonsalvez,Female,"Monash University, Australia",,,,
,Jon Whittle,Male,"CSIROâ€™s Data61, Australia",,,,
,Chunyang Chen,Male,"Monash University, Australia",,,,
,Li Li,Male,"Monash University, Australia",,,,
,Xin Xia,Male,"Monash University, Australia",,,,
Just-in-time software vulnerability detection: Are we there yet?,Francesco Lomio,Male,Tampere University,TRUE,0,0,1
,Emanuele Iannone,Male,"SeSa Lab â€” Department of Computer Science, University of Salerno",,,,
,Andrea De Lucia,Male,"SeSa Lab â€” Department of Computer Science, University of Salerno",,,,
,Fabio Palomba,Male,"SeSa Lab â€” Department of Computer Science, University of Salerno",,,,
,Valentina Lenarduzzi,Female,"University of Oulu, Tampere University",,,,
Modelling and executing IoT-enhanced business processes through BPMN and microservices,Pedro Valderas,Male,Universitat PolitÃ¨cnica de ValÃ¨ncia,FALSE,0,0,1
,Victoria Torres,Female,Universitat PolitÃ¨cnica de ValÃ¨ncia,,,,
,EstefanÃ­a Serral,Female,"KU Leuven, LIRIS",,,,
Moderator factors of software security and performance verificationâœ©,Victor Vidigal Ribeiro,Male,Federal University of Rio de Janeiro,FALSE,0,0,1
,Daniela Soares Cruzes,Female,SINTEF DIGITAL,,,,
,Guilherme Horta Travassos,Male,Federal University of Rio de Janeiro,,,,
Mutation-based analysis of queueing network performance models,Thomas Laurent,Male,Lero & University College Dublin,TRUE,0,0,1
,Paolo Arcaini,Male,National Institute of Informatics,,,,
,Catia Trubiani,Female,Gran Sasso Science Institute,,,,
,Anthony Ventresque,Male,Lero & University College Dublin,,,,
On the use of artificial intelligence to deal with privacy in IoT systems: A systematic literature review,Giammaria Giordano,Male,"SeSa Lab - Department of Computer Science, University of Salerno",TRUE,1,0,0
,Fabio Palomba,Male,"SeSa Lab - Department of Computer Science, University of Salerno",,,,
,Filomena Ferrucci,Female,"SeSa Lab - Department of Computer Science, University of Salerno",,,,
Profiling gas consumption in Solidity smart contracts,Andrea Di Sorbo,Male,"Department of Engineering, University of Sannio",TRUE,1,0,0
,Sonia Laudanna,Female,"Department of Engineering, University of Sannio",,,,
,Anna Vacca,Female,"Department of Engineering, University of Sannio",,,,
,Corrado A. Visaggio,Male,"Department of Engineering, University of Sannio",,,,
,Gerardo Canfora,Male,"Department of Engineering, University of Sannio",,,,
Quantitative verification with adaptive uncertainty reduction,Naif Alasmari,Male,"Department of Computer Science, University of York",FALSE,0,0,1
,Radu Calinescu,Male,"Department of Computer Science, University of York",,,,
,Colin Paterson,Male,"Department of Computer Science, University of York",,,,
,Raffaela Mirandola,Female,Politecnico di Milano,,,,
Random or heuristic? An empirical study on path search strategies for test generation in KLEE,Zhiyi Zhang,Male,"Nanjing University of Aeronautics and Astronautics, National Key Laboratory for Novel Software Technology, Collaborative Innovation Center of Novel Software Technology and Industrialization",TRUE,0,1,0
,Ziyuan Wang,Male,Nanjing University of Posts and Telecommunications,,,,
,Fan Yang,Male,Nanjing University of Posts and Telecommunications,,,,
,Jiahao Wei,Male,Nanjing University of Posts and Telecommunications,,,,
,Yuqian Zhou,Female,"Nanjing University of Aeronautics and Astronautics, Ministry Key Laboratory for Safety-Critical Software Development and Verification",,,,
,Zhiqiu Huang,Male,"Nanjing University of Aeronautics and Astronautics, Ministry Key Laboratory for Safety-Critical Software Development and Verification",,,,
Revealing the state of the art of large-scale agile development research: A systematic mapping study,Ã–mer UludaÄŸ,Male,"Technical University of Munich, Department of Informatics, Munich, Germany",TRUE,0,0,1
,Pascal Philipp,Male,"Technical University of Munich, Department of Informatics, Munich, Germany",,,,
,Abheeshta Putta,Female,"Aalto University, Department of Computer Science, Espoo, Finland",,,,
,Maria Paasivaara,Female,"Aalto University, Department of Computer Science, Espoo, Finland, LUT University, Finland",,,,
,Casper Lassenius,Male,"Aalto University, Department of Computer Science, Espoo, Finland, Simula Research Laboratory, Oslo, Norway",,,,
,Florian Matthes,Male,"Technical University of Munich, Department of Informatics, Munich, Germany",,,,
Self-adaptive mobile web service discovery framework for Dynamic Mobile Environment,Salisu Garba,Male,Universiti Teknologi Malaysia,FALSE,1,0,0
,Radziah Mohamad,Female,Universiti Teknologi Malaysia,,,,
,Nor Azizah Saadon,Female,Universiti Teknologi Malaysia,,,,
Sharing runtime permission issues for developers based on similar-app review mining,Hongcan Gao,Male,"College of Computer Science, Nankai University, Tianjin 300350, China",TRUE,0,0,1
,Chenkai Guo,Male,"College of Computer Science, Nankai University, Tianjin 300350, China",,,,
,Guangdong Bai,Male,"School of Information Technology and Electrical Engineering, The University of Queensland, Australia",,,,
,Dengrong Huang,Male,"College of Computer Science, Nankai University, Tianjin 300350, China",,,,
,Zhen He,Male,"College of Artificial Intelligence, Nankai University, Tianjin 300350, China",,,,
,Yanfeng Wu,Male,"College of Artificial Intelligence, Nankai University, Tianjin 300350, China",,,,
,Jing Xu,Female,"College of Artificial Intelligence, Nankai University, Tianjin 300350, China",,,,
Spreadsheet debugging: The perils of tool over-reliance,Adil Mukhtar,Male,Graz University of Technology,TRUE,0,1,0
,Birgit Hofer,Female,Graz University of Technology,,,,
,Dietmar Jannach,Male,University of Klagenfurt,,,,
,Franz Wotawa,Male,Graz University of Technology,,,,
Systematic literature review of domain-oriented specification techniques,Robert Deckers,Male,"Vrije Universiteit Amsterdam, Atom Free IT",FALSE,0,0,1
,Patricia Lago,Female,"Vrije Universiteit Amsterdam, Chalmers University of Technology",,,,
Taxonomy of security weaknesses in Java and Kotlin Android apps,Alejandro Mazuera-Rozo,Male,"UniversitÃ della Svizzera Italiana, Lugano, Switzerland; Universidad de los Andes, BogotÃ¡, Colombia",TRUE,0,0,1
,Camilo Escobar-VelÃ¡squez,Male,"Universidad de los Andes, BogotÃ¡, Colombia",,,,
,Juan Espitia-Acero,Male,"Universidad de los Andes, BogotÃ¡, Colombia",,,,
,David Vega-GuzmÃ¡n,Male,"Universidad de los Andes, BogotÃ¡, Colombia",,,,
,Catia Trubiani,Female,"Gran Sasso Science Institute, Lâ€™Aquila, Italy",,,,
,Mario Linares-VÃ¡squez,Male,"Universidad de los Andes, BogotÃ¡, Colombia",,,,
,Gabriele Bavota,Male,"UniversitÃ della Svizzera Italiana, Lugano, Switzerland",,,,
Technical debts and faults in open-source quantum software systems: An empirical study,Moses Openja,Male,"SWAT Lab, Ã‰cole Polytechnique de MontrÃ©al",FALSE,1,0,0
,Mohammad Mehdi Morovati,Male,"SWAT Lab, Ã‰cole Polytechnique de MontrÃ©al",,,,
,Le An,Male,"SWAT Lab, Ã‰cole Polytechnique de MontrÃ©al",,,,
,Foutse Khomh,Male,"SWAT Lab, Ã‰cole Polytechnique de MontrÃ©al",,,,
,Mouna Abidi,Female,"SWAT Lab, Ã‰cole Polytechnique de MontrÃ©al",,,,
Towards a logical framework for ideal MBSE tool selection based on discipline specific requirements,Azad Khandoker,Male,"Institute of Mechatronic Design and Production, Johannes Kepler University Linz",FALSE,0,1,0
,Sabine Sint,Female,"Christian Doppler Laboratory for Model-Integrated Smart Production (CDL-MINT), Department of Business Informatics",,,,
,Guido Gessl,Male,"Institute of Mechatronic Design and Production, Johannes Kepler University Linz",,,,
,Klaus Zeman,Male,"Institute of Mechatronic Design and Production, Johannes Kepler University Linz",,,,
,Franz Jungreitmayr,Male,"Institute of Mechatronic Design and Production, Johannes Kepler University Linz",,,,
,Helmut Wahl,Male,"Institute of Mechatronic Design and Production, Johannes Kepler University Linz",,,,
,Andreas Wenigwieser,Male,"Institute of Mechatronic Design and Production, Johannes Kepler University Linz",,,,
,Roland Kretschmer,Male,"Institute for Software Systems Engineering, Johannes Kepler University Linz",,,,
Usability inspection: Novice crowd inspectors versus expertâœ©,Muhammad Nasir,Male,"Faculty of Basic and Applied Sciences, International Islamic University, Islamabad, Pakistan; Faculty of Computing, Riphah International University, Islamabad, Pakistan",TRUE,0,1,0
,Naveed Ikram,Male,"Faculty of Computing, Riphah International University, Islamabad, Pakistan",,,,
,Zakia Jalil,Female,"Faculty of Basic and Applied Sciences, International Islamic University, Islamabad, Pakistan",,,,
Using deep temporal convolutional networks to just-in-time forecast technical debt principal,Pasquale Ardimento,Male,"University of Bari Aldo Moro, Department of Informatics, Bari, Italy",TRUE,0,1,0
,Lerina Aversano,Female,"University of Sannio, Department of Engineering, Benevento, Italy",,,,
,Mario Luca Bernardi,Male,"University of Sannio, Department of Engineering, Benevento, Italy",,,,
,Marta Cimitile,Female,"UnitelmaSapienza University, Rome, Italy",,,,
,Martina Iammarino,Female,"University of Sannio, Department of Engineering, Benevento, Italy",,,,
Wayback Machine: A tool to capture the evolutionary behavior of the bug reports and their triage process in open-source software systems,Hadi Jahanshahi,Male,"Data Science Lab at Ryerson University, Toronto, Canada",TRUE,0,0,1
,Mucahit Cevik,Male,"Data Science Lab at Ryerson University, Toronto, Canada",,,,
,JosÃ© Navas-SÃº,Male,"Computer Engineering Department at Costa Rica Institute of Technology, Cartago, Costa Rica",,,,
,AyÅŸe BaÅŸar,Female,"Data Science Lab at Ryerson University, Toronto, Canada",,,,
,Antonio GonzÃ¡lez-Torres,Male,"Computer Engineering Department at Costa Rica Institute of Technology, Cartago, Costa Rica",,,,
What factors affect the UX in mobile apps? A systematic mapping study on the analysis of app store reviews,Walter T. Nakamura,Male,"Federal University of Technology â€“ ParanÃ¡ (UTFPR), Federal University of Amazonas (UFAM)",FALSE,0,0,1
,Edson Cesar de Oliveira,Male,Secretaria de Estado da Fazenda do Amazonas â€“ SEFAZ/AM,,,,
,Elaine H.T. de Oliveira,Female,Federal University of Amazonas (UFAM),,,,
,David Redmiles,Male,University of California Irvine (UCI),,,,
,Tayana Conte,Female,Federal University of Amazonas (UFAM),,,,
Identifying refactoring opportunities for large packages by analyzing maintainability characteristics in Java OSS,Haris Mumtaz,Male,"Department of Electrical, Computer, and Software Engineering at the University of Auckland",TRUE,0,1,0
,Paramvir Singh,Male,School of Computer Science at the University of Auckland,,,,
,Kelly Blincoe,Female,"Department of Electrical, Computer, and Software Engineering at the University of Auckland",,,,
Studying the association between Gitcoinâ€™s issues and resolving outcomes,Morakot Choetkiertikul,Male,"Faculty of Information and Communication Technology, Mahidol University, Thailand",TRUE,0,0,1
,Arada Puengmongkolchaikit,Female,"Faculty of Information and Communication Technology, Mahidol University, Thailand",,,,
,Pandaree Chandra,Female,"Faculty of Information and Communication Technology, Mahidol University, Thailand",,,,
,Chaiyong Ragkhitwetsagul,Male,"Faculty of Information and Communication Technology, Mahidol University, Thailand",,,,
,Rungroj Maipradit,Male,"Nara Institute of Science and Technology, Japan",,,,
,Hideaki Hata,Male,"Shinshu University, Japan",,,,
,Thanwadee Sunetnanta,Female,"Faculty of Information and Communication Technology, Mahidol University, Thailand",,,,
,Kenichi Matsumoto,Male,"Nara Institute of Science and Technology, Japan",,,,
Enhancing Ethereum smart-contracts static analysis by computing a precise Control-Flow Graph of Ethereum bytecode,Michele Pasqua,Male,"University of Verona, Strada le Grazie 15, Verona 37134, Verona, Italy",TRUE,1,0,0
,Andrea Benini,Male,"University of Verona, Strada le Grazie 15, Verona 37134, Verona, Italy",,,,
,Filippo Contro,Male,"University of Verona, Strada le Grazie 15, Verona 37134, Verona, Italy",,,,
,Marco Crosara,Male,"University of Verona, Strada le Grazie 15, Verona 37134, Verona, Italy",,,,
,Mila Dalla Preda,Female,"University of Verona, Strada le Grazie 15, Verona 37134, Verona, Italy",,,,
,Mariano Ceccato,Male,"University of Verona, Strada le Grazie 15, Verona 37134, Verona, Italy",,,,
VsusFL: Variable-suspiciousness-based Fault Localization for novice programs,Zheng Li,Male,"College of Information Science and Technology, Beijing University of Chemical Technology",TRUE,0,1,0
,Shumei Wu,Female,"College of Information Science and Technology, Beijing University of Chemical Technology",,,,
,Yong Liu,Male,"College of Information Science and Technology, Beijing University of Chemical Technology",,,,
,Jitao Shen,Male,"College of Information Science and Technology, Beijing University of Chemical Technology",,,,
,Yonghao Wu,Male,"College of Information Science and Technology, Beijing University of Chemical Technology",,,,
,Zhanwen Zhang,Male,"College of Information Science and Technology, Beijing University of Chemical Technology",,,,
,Xiang Chen,Male,"School of Information Science and Technology, Nantong University",,,,
Behaviour driven development: A systematic mapping study,Leonard Peter Binamungu,Male,"Department of Computer Science and Engineering, College of Information and Communication Technologies, University of Dar es Salaam",TRUE,1,0,0
,Salome Maro,Female,"Department of Computer Science and Engineering, College of Information and Communication Technologies, University of Dar es Salaam",,,,
Boosting multi-objective just-in-time software defect prediction by fusing expert metrics and semantic metrics,Xiang Chen,Male,"School of Information Science and Technology, Nantong University, Nantong, China",TRUE,0,1,0
,Hongling Xia,Female,"School of Information Science and Technology, Nantong University, Nantong, China",,,,
,Wenlong Pei,Male,"School of Information Science and Technology, Nantong University, Nantong, China",,,,
,Chao Ni,Male,"School of Software Technology, Zhejiang University, Hangzhou, China",,,,
,Ke Liu,Male,"School of Information Science and Technology, Nantong University, Nantong, China",,,,
TitleGen-FL: Quality prediction-based filter for automated issue title generation,Hao Lin,Male,"School of Information Science and Technology, Nantong University, Nantong, China",FALSE,0,1,0
,Xiang Chen,Male,"School of Information Science and Technology, Nantong University, Nantong, China, Key Laboratory of Safety-Critical Software (Nanjing University of Aeronautics and Astronautics), Ministry of Industry and Information Technology, Nanjing, China",,,,
,Xuejiao Chen,Female,"School of Information Science and Technology, Nantong University, Nantong, China",,,,
,Zhanqi Cui,Male,"Computer School, Beijing Information Science and Technology University, Beijing, China",,,,
,Yun Miao,Male,"School of Information Science and Technology, Nantong University, Nantong, China",,,,
,Shan Zhou,Male,"Technology and Engineering Center for Space Utilization, Chinese Academy of Sciences, Beijing, China",,,,
,Jianmin Wang,Male,"Technology and Engineering Center for Space Utilization, Chinese Academy of Sciences, Beijing, China",,,,
,Zhan Su,Male,"School of Information Science and Technology, Nantong University, Nantong, China",,,,
ExploitGen: Template-augmented exploit code generation based on CodeBERT,Guang Yang,Male,"College of Computer Science and Technology, Nanjing University of Aeronautics and Astronautics, Nanjing, China, Key Laboratory of Safety-Critical Software, Ministry of Industry and Information Technology, Nanjing, China",TRUE,0,0,1
,Yu Zhou,Male,"College of Computer Science and Technology, Nanjing University of Aeronautics and Astronautics, Nanjing, China, Key Laboratory of Safety-Critical Software, Ministry of Industry and Information Technology, Nanjing, China",,,,
,Xiang Chen,Male,"Key Laboratory of Safety-Critical Software, Ministry of Industry and Information Technology, Nanjing, China, School of Information Science and Technology, Nantong University, Nantong, China",,,,
,Xiangyu Zhang,Male,"College of Computer Science and Technology, Nanjing University of Aeronautics and Astronautics, Nanjing, China, Key Laboratory of Safety-Critical Software, Ministry of Industry and Information Technology, Nanjing, China",,,,
,Tingting Han,Female,"Department of Computer Science and Data Science, Birkbeck, University of London, UK",,,,
,Taolue Chen,Male,"Department of Computer Science and Data Science, Birkbeck, University of London, UK",,,,
Software engineering research on the Robot Operating System: A systematic mapping study,Michel Albonico,Male,"Federal University of Technology, ParanÃ¡ (UTFPR), Brazil",FALSE,0,0,1
,Milica ÄorÄ‘eviÄ‡,Female,"Vrije Universiteit Amsterdam, Netherlands",,,,
,Engel Hamer,Male,"Vrije Universiteit Amsterdam, Netherlands",,,,
,Ivano Malavolta,Male,"Vrije Universiteit Amsterdam, Netherlands",,,,
"Test flakinessâ€™ causes, detection, impact and responses: A multivocal review",Amjed Tahir,Male,"School of Mathematical and Computational Sciences, Massey University, New Zealand; Key Laboratory of High Confidence Software Technologies, MoE and the Department of Computer Science and Technology, Peking University, China",FALSE,0,0,1
,Shawn Rasheed,Male,"Information & Communication Technology Group, UCOL - Te PÅ«kenga, New Zealand",,,,
,Jens Dietrich,Male,"School of Engineering and Computer Science, Victoria University of Wellington, New Zealand",,,,
